sku,unit,target_month,predicted_qty,status,supplier_id,model
010400432_,шт,2026-09-01,6.0,forecast,SYSTEME,mean_3
010400433_,шт,2026-09-01,31.666666666666668,forecast,SYSTEME,mean_3
010400436_,шт,2026-09-01,20.666666666666668,forecast,SYSTEME,mean_3
010400437_,шт,2026-09-01,33.333333333333336,forecast,SYSTEME,mean_3
010400440_,шт,2026-09-01,16.0,forecast,SYSTEME,mean_3
010400441_,шт,2026-09-01,15.333333333333334,forecast,SYSTEME,mean_3
010400444_,шт,2026-09-01,42.333333333333336,forecast,SYSTEME,mean_3
010400445_,шт,2026-09-01,18.666666666666668,forecast,SYSTEME,mean_3
010400447_,шт,2026-09-01,34.0,forecast,SYSTEME,mean_3
010400448_,шт,2026-09-01,17.333333333333332,forecast,SYSTEME,mean_3
020100158_,шт,2026-09-01,247.33333333333331,forecast,SYSTEME,mean_3
020100159_,шт,2026-09-01,8.5,forecast,SYSTEME,mean_3
020100160_,шт,2026-09-01,162.66666666666666,forecast,SYSTEME,mean_3
020100161_,шт,2026-09-01,4.0,forecast,SYSTEME,mean_3
020100162_,шт,2026-09-01,12.0,forecast,SYSTEME,mean_3
020100163_,шт,2026-09-01,142.66666666666666,forecast,SYSTEME,mean_3
030200002_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200003_,шт,2026-09-01,20.666666666666668,forecast,SYSTEME,mean_3
030200005_,шт,2026-09-01,19.0,forecast,SYSTEME,mean_3
030200006_,шт,2026-09-01,1.0,forecast,SYSTEME,mean_3
030200007_,шт,2026-09-01,43.0,forecast,SYSTEME,mean_3
030200008_,шт,2026-09-01,27.142857142857142,forecast,SYSTEME,mean_3
030200009_,шт,2026-09-01,6.666666666666667,forecast,SYSTEME,mean_3
030200010_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200011_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200012_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200013_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200015_,шт,2026-09-01,1.0,forecast,SYSTEME,mean_3
030200016_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200025_,шт,2026-09-01,17.5,forecast,SYSTEME,mean_3
030200026_,шт,2026-09-01,1.0,forecast,SYSTEME,mean_3
030200027_,шт,2026-09-01,2.0,forecast,SYSTEME,mean_3
030200028_,шт,2026-09-01,105.93333333333334,forecast,SYSTEME,mean_3
030200029_,шт,2026-09-01,25.0,forecast,SYSTEME,mean_3
030200030_,шт,2026-09-01,177.07142857142858,forecast,SYSTEME,mean_3
030200031_,шт,2026-09-01,103.3076923076923,forecast,SYSTEME,mean_3
030200032_,шт,2026-09-01,43.285714285714285,forecast,SYSTEME,mean_3
030200034_,шт,2026-09-01,32.0,forecast,SYSTEME,mean_3
030200036_,шт,2026-09-01,39.92857142857143,forecast,SYSTEME,mean_3
030200037_,шт,2026-09-01,146.875,forecast,SYSTEME,mean_3
030200038_,шт,2026-09-01,317.6470588235294,forecast,SYSTEME,mean_3
030200039_,шт,2026-09-01,15.0,forecast,SYSTEME,mean_3
030200042_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200045_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200047_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200052_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200053_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200054_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200060_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200062_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200063_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200069_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200072_,шт,2026-09-01,10.5,forecast,SYSTEME,mean_3
030200073_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200075_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200076_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200090_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200092_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200093_,шт,2026-09-01,9.5,forecast,SYSTEME,mean_3
030200094_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200095_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200096_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200097_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200105_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
030200125_,шт,2026-09-01,,insufficient_history,SYSTEME,mean_3
