split,model,unit,rows,mae,wape,bias
test,boosting_poisson,шт,655,127.574595430321,0.22340638394703208,-0.11649509193258378
test,boosting_squared,шт,655,142.81246209884523,0.25009066760083637,-0.13786226752272798
test,mean_3,шт,655,124.08176844783718,0.2172898068708733,-0.10188425887555379
test,seasonal_12,шт,655,194.70794741306193,0.3409691272041653,-0.106723010477091
validation,boosting_poisson,шт,1861,137.67940665991102,0.3101728394960347,-0.08910445568276244
validation,boosting_squared,шт,1861,157.29787282619566,0.35437055580653964,-0.08515858895488476
validation,mean_3,шт,1861,136.10416228571117,0.30662402974809155,-0.01989467887409623
validation,seasonal_12,шт,1861,149.76000623801536,0.33738877516033533,0.11690393009930936
