supplier,scenario,split,unit,cohort,model,rows,skus,actual_total_qty,prediction_total_qty,mae_qty,mean_error_qty,wape_percent,bias_percent,zero_actual_rows,zero_actual_mae_qty,short_history_rows,macro_sku_wape_percent,macro_sku_wape_skus
IEK,operational_zero_assumption,test,шт,available,last_month,4458,2229,293596.00000000,277075.00000000,22.82166891,-3.70592194,34.65272006,-5.62712026,2463,1.69224523,0,148.07565377,1229
IEK,operational_zero_assumption,test,шт,available,same_month_last_year,4458,2229,293596.00000000,318065.00000000,28.93113504,5.48878421,43.92941321,8.33424161,2463,3.14169712,0,252.04727573,1229
IEK,operational_zero_assumption,test,шт,paired_last_month,current,4458,2229,293596.00000000,292813.06370000,25.83289917,-0.17562501,39.22501141,-0.26667131,2463,1.36061052,0,156.67703735,1229
IEK,operational_zero_assumption,test,шт,paired_last_month,last_month,4458,2229,293596.00000000,277075.00000000,22.82166891,-3.70592194,34.65272006,-5.62712026,2463,1.69224523,0,148.07565377,1229
IEK,operational_zero_assumption,test,шт,paired_same_month_last_year,current,4458,2229,293596.00000000,292813.06370000,25.83289917,-0.17562501,39.22501141,-0.26667131,2463,1.36061052,0,156.67703735,1229
IEK,operational_zero_assumption,test,шт,paired_same_month_last_year,same_month_last_year,4458,2229,293596.00000000,318065.00000000,28.93113504,5.48878421,43.92941321,8.33424161,2463,3.14169712,0,252.04727573,1229
IEK,operational_zero_assumption,test,шт,common_all_models,current,4458,2229,293596.00000000,292813.06370000,25.83289917,-0.17562501,39.22501141,-0.26667131,2463,1.36061052,0,156.67703735,1229
IEK,operational_zero_assumption,test,шт,common_all_models,last_month,4458,2229,293596.00000000,277075.00000000,22.82166891,-3.70592194,34.65272006,-5.62712026,2463,1.69224523,0,148.07565377,1229
IEK,operational_zero_assumption,test,шт,common_all_models,same_month_last_year,4458,2229,293596.00000000,318065.00000000,28.93113504,5.48878421,43.92941321,8.33424161,2463,3.14169712,0,252.04727573,1229
IEK,operational_zero_assumption,validation,компл,available,current,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,available,last_month,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,available,same_month_last_year,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,paired_last_month,current,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,paired_last_month,last_month,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,paired_same_month_last_year,current,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,paired_same_month_last_year,same_month_last_year,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,common_all_models,current,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,common_all_models,last_month,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,компл,common_all_models,same_month_last_year,6,1,0.00000000,0.00000000,0.00000000,0.00000000,,,6,0.00000000,0,,0
IEK,operational_zero_assumption,validation,м,available,current,822,137,183265.00000000,145280.67080000,160.46283723,-46.20964623,71.97252732,-20.72645033,380,11.96495184,0,136.19421059,103
IEK,operational_zero_assumption,validation,м,available,last_month,822,137,183265.00000000,172939.00000000,163.35036496,-12.56204380,73.26767250,-5.63446375,380,15.20526316,0,141.50346804,103
IEK,operational_zero_assumption,validation,м,available,same_month_last_year,822,137,183265.00000000,276695.00000000,229.36009732,113.66180049,102.87507162,50.98082012,380,33.53684211,0,396.42427820,103
IEK,operational_zero_assumption,validation,м,paired_last_month,current,822,137,183265.00000000,145280.67080000,160.46283723,-46.20964623,71.97252732,-20.72645033,380,11.96495184,0,136.19421059,103
IEK,operational_zero_assumption,validation,м,paired_last_month,last_month,822,137,183265.00000000,172939.00000000,163.35036496,-12.56204380,73.26767250,-5.63446375,380,15.20526316,0,141.50346804,103
IEK,operational_zero_assumption,validation,м,paired_same_month_last_year,current,822,137,183265.00000000,145280.67080000,160.46283723,-46.20964623,71.97252732,-20.72645033,380,11.96495184,0,136.19421059,103
IEK,operational_zero_assumption,validation,м,paired_same_month_last_year,same_month_last_year,822,137,183265.00000000,276695.00000000,229.36009732,113.66180049,102.87507162,50.98082012,380,33.53684211,0,396.42427820,103
IEK,operational_zero_assumption,validation,м,common_all_models,current,822,137,183265.00000000,145280.67080000,160.46283723,-46.20964623,71.97252732,-20.72645033,380,11.96495184,0,136.19421059,103
IEK,operational_zero_assumption,validation,м,common_all_models,last_month,822,137,183265.00000000,172939.00000000,163.35036496,-12.56204380,73.26767250,-5.63446375,380,15.20526316,0,141.50346804,103
IEK,operational_zero_assumption,validation,м,common_all_models,same_month_last_year,822,137,183265.00000000,276695.00000000,229.36009732,113.66180049,102.87507162,50.98082012,380,33.53684211,0,396.42427820,103
