split,model,unit,rows,mae,wape,bias
test,boosting_poisson,м,131,442.9889942894304,0.5538102251437729,-0.20149896006434034
test,boosting_poisson,упак,90,32.5054322580802,0.36157321755372857,-0.13391687084623943
test,boosting_poisson,шт,1889,48.98961063181833,0.3164456793992095,-0.08126873244589183
test,boosting_squared,м,131,442.72343212207846,0.5534782280838306,-0.2373071737928035
test,boosting_squared,упак,90,33.187939046370076,0.36916506169488406,-0.179007103551582
test,boosting_squared,шт,1889,49.29739465233872,0.3184337932508133,-0.09209522947544056
test,decomposition,м,131,442.55751353004973,0.5532708021342213,-0.156246730891037
test,decomposition,упак,90,33.388060814516024,0.37139111028382676,-0.192082101089196
test,decomposition,шт,1889,47.81376768213302,0.3088503869222722,-0.05378328852354493
test,mean_3,м,131,458.9033078880407,0.57370577494449,-0.20507828653955046
test,mean_3,упак,90,32.54953703703704,0.36206381576236973,-0.19378012606599934
test,mean_3,шт,1889,49.89044955626746,0.3222645985904433,-0.14506659185318047
test,seasonal_12,м,131,689.1615776081425,0.8615670668473523,0.29394989152494927
test,seasonal_12,упак,90,28.671759259259257,0.3189294689572776,0.08121678408107774
test,seasonal_12,шт,1889,63.47363096396698,0.410004407368806,0.07756060123193463
validation,boosting_poisson,м,436,264.29612770588847,0.6288643946723825,0.17926650871596256
validation,boosting_poisson,упак,238,41.205828010455114,0.5869635543744504,0.22235755208583616
validation,boosting_poisson,шт,5288,47.06278476455001,0.3749118803667053,0.02302226943596318
validation,boosting_squared,м,436,264.59107589759464,0.6295661923780357,0.1640276337578203
validation,boosting_squared,упак,238,40.07784482419944,0.5708958024993696,0.21124561980195655
validation,boosting_squared,шт,5288,45.78803867097591,0.36475698925002054,0.008384260322872669
validation,decomposition,м,436,265.45425039704446,0.6316200238654844,0.060838664918672
validation,decomposition,упак,238,39.43222992073774,0.561699229179769,0.21596750050361652
validation,decomposition,шт,5288,52.35091533487245,0.4170382225638976,0.08115871467949488
validation,mean_3,м,436,298.6843723936614,0.7106875483717331,0.021007678289112486
validation,mean_3,упак,238,38.668767507002805,0.5508239565876627,0.1751955151224962
validation,mean_3,шт,5288,53.75425307452873,0.4282175013379068,0.07574550607074912
validation,seasonal_12,м,436,403.2994335557409,0.959607907827456,0.46198035528831205
validation,seasonal_12,упак,238,57.252801120448176,0.8155474423429894,0.5149529167664193
validation,seasonal_12,шт,5288,62.97739751266131,0.501690978130522,0.07541246677418652
