sku,unit,target_month,predicted_qty,status,model,supplier_id
030200200_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200201_,шт,2026-09-01,28503.74507742775,forecast,decomposition,SYSTEME
030200203_,шт,2026-09-01,4181.5171397611175,forecast,decomposition,SYSTEME
030200219_,шт,2026-09-01,3901.1346524171095,forecast,decomposition,SYSTEME
030200220_,шт,2026-09-01,1557.5699787647923,forecast,decomposition,SYSTEME
030200221_,шт,2026-09-01,872.9446527453421,forecast,decomposition,SYSTEME
030200222_,шт,2026-09-01,557.9334400278102,forecast,decomposition,SYSTEME
030200223_,шт,2026-09-01,959.216932625522,forecast,decomposition,SYSTEME
030200224_,шт,2026-09-01,2951.285897919086,forecast,decomposition,SYSTEME
030200225_,шт,2026-09-01,2507.381282174734,forecast,decomposition,SYSTEME
030200226_,шт,2026-09-01,47.544475943096764,forecast,decomposition,SYSTEME
030200227_,шт,2026-09-01,177.45873891736252,forecast,decomposition,SYSTEME
030200239_,шт,2026-09-01,102.07142857142857,forecast,decomposition,SYSTEME
030200240_,шт,2026-09-01,5.0,forecast,decomposition,SYSTEME
030200243_,шт,2026-09-01,69.0,forecast,decomposition,SYSTEME
030200244_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
030200245_,шт,2026-09-01,3.0,forecast,decomposition,SYSTEME
030200246_,шт,2026-09-01,11.3,forecast,decomposition,SYSTEME
030200247_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
030200248_,шт,2026-09-01,4.0,forecast,decomposition,SYSTEME
030200249_,шт,2026-09-01,10.0,forecast,decomposition,SYSTEME
030200250_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
030200251_,шт,2026-09-01,3.6666666666666665,forecast,decomposition,SYSTEME
030200252_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
030200253_,шт,2026-09-01,4.117647058823529,forecast,decomposition,SYSTEME
030200254_,шт,2026-09-01,1.9,forecast,decomposition,SYSTEME
030200256_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
030200257_,шт,2026-09-01,44.111111111111114,forecast,decomposition,SYSTEME
030200258_,шт,2026-09-01,10.375,forecast,decomposition,SYSTEME
030200259_,шт,2026-09-01,22.294117647058822,forecast,decomposition,SYSTEME
030200260_,шт,2026-09-01,29.692307692307693,forecast,decomposition,SYSTEME
030200261_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
030200262_,шт,2026-09-01,1.8,forecast,decomposition,SYSTEME
030200263_,шт,2026-09-01,4.066666666666666,forecast,decomposition,SYSTEME
030200264_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200265_,шт,2026-09-01,3.6666666666666665,forecast,decomposition,SYSTEME
030200266_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200292_,шт,2026-09-01,5.0,forecast,decomposition,SYSTEME
030200295_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200296_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200297_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200298_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200322_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200323_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200330_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200331_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200345,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200372_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200375_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200379_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200381_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200382_,шт,2026-09-01,4.5,forecast,decomposition,SYSTEME
030200399_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030201459_,шт,2026-09-01,4903.333333333333,forecast,decomposition,SYSTEME
030300013_,шт,2026-09-01,58.0,forecast,decomposition,SYSTEME
030300014_,шт,2026-09-01,111.7666621828678,forecast,decomposition,SYSTEME
030300078_,шт,2026-09-01,5.0,forecast,decomposition,SYSTEME
130300026_,шт,2026-09-01,460.83861719795243,forecast,decomposition,SYSTEME
130300027_,шт,2026-09-01,876.2291742518584,forecast,decomposition,SYSTEME
130300028_,шт,2026-09-01,261.0,forecast,decomposition,SYSTEME
280300174_,шт,2026-09-01,1169.8971099394723,forecast,decomposition,SYSTEME
300100003_,шт,2026-09-01,5.625,forecast,decomposition,SYSTEME
300100004_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300100006_,шт,2026-09-01,2.6666666666666665,forecast,decomposition,SYSTEME
300100012_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300100015_,шт,2026-09-01,17.2,forecast,decomposition,SYSTEME
300100018_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200283_,шт,2026-09-01,51.10777727101642,forecast,decomposition,SYSTEME
300200284_,шт,2026-09-01,50.27472451249615,forecast,decomposition,SYSTEME
300200285_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200286_,шт,2026-09-01,5394.203964673943,forecast,decomposition,SYSTEME
300200287_,шт,2026-09-01,3.0,forecast,decomposition,SYSTEME
300200288_,шт,2026-09-01,56.82590764317892,forecast,decomposition,SYSTEME
300200289_,шт,2026-09-01,152.7953516934931,forecast,decomposition,SYSTEME
300200290_,шт,2026-09-01,4.0,forecast,decomposition,SYSTEME
300200291_,шт,2026-09-01,37.58872410686978,forecast,decomposition,SYSTEME
300200292_,шт,2026-09-01,2.5,forecast,decomposition,SYSTEME
300200293_,шт,2026-09-01,174.98487092762898,forecast,decomposition,SYSTEME
300200294_,шт,2026-09-01,32.975753889452946,forecast,decomposition,SYSTEME
300200295_,шт,2026-09-01,25.147835465487926,forecast,decomposition,SYSTEME
300200296_,шт,2026-09-01,545.5687799117352,forecast,decomposition,SYSTEME
300200297_,шт,2026-09-01,562.0367363898907,forecast,decomposition,SYSTEME
300200298_,шт,2026-09-01,1082.3697896024596,forecast,decomposition,SYSTEME
300200299_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200300_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200301_,шт,2026-09-01,463.458078310111,forecast,decomposition,SYSTEME
300200302_,шт,2026-09-01,268.0242092672863,forecast,decomposition,SYSTEME
300200303_,шт,2026-09-01,3675.7434858250435,forecast,decomposition,SYSTEME
300200304_,шт,2026-09-01,1348.0115629213196,forecast,decomposition,SYSTEME
300200305_,шт,2026-09-01,496.68096416554755,forecast,decomposition,SYSTEME
300200306_,шт,2026-09-01,212.2981824821658,forecast,decomposition,SYSTEME
300200307_,шт,2026-09-01,32.332227633354265,forecast,decomposition,SYSTEME
300200308_,шт,2026-09-01,34.99388388812494,forecast,decomposition,SYSTEME
300200309_,шт,2026-09-01,7.001684177688958,forecast,decomposition,SYSTEME
300200310_,шт,2026-09-01,15.0,forecast,decomposition,SYSTEME
300200311_,шт,2026-09-01,78.24532568483947,forecast,decomposition,SYSTEME
300200312_,шт,2026-09-01,6.0,forecast,decomposition,SYSTEME
300200313_,шт,2026-09-01,34.49454789466793,forecast,decomposition,SYSTEME
300200314_,шт,2026-09-01,18.13716535265114,forecast,decomposition,SYSTEME
300200315_,шт,2026-09-01,6.0,forecast,decomposition,SYSTEME
300200316_,шт,2026-09-01,3.5,forecast,decomposition,SYSTEME
300200317_,шт,2026-09-01,31.49412184725747,forecast,decomposition,SYSTEME
300200318_,шт,2026-09-01,58.648782393322506,forecast,decomposition,SYSTEME
300200319_,шт,2026-09-01,424.49353431302404,forecast,decomposition,SYSTEME
300200320_,шт,2026-09-01,122.9510738322201,forecast,decomposition,SYSTEME
300200321_,шт,2026-09-01,24.346565090645388,forecast,decomposition,SYSTEME
300200322_,шт,2026-09-01,104.06333963100988,forecast,decomposition,SYSTEME
300200323_,шт,2026-09-01,507.6622166235705,forecast,decomposition,SYSTEME
300200324_,шт,2026-09-01,1054.0437293550933,forecast,decomposition,SYSTEME
300200325_,шт,2026-09-01,66.24374992505354,forecast,decomposition,SYSTEME
300200326_,шт,2026-09-01,490.63289327345615,forecast,decomposition,SYSTEME
300200327_,шт,2026-09-01,70.51394393017466,forecast,decomposition,SYSTEME
300200328_,шт,2026-09-01,317.45955091775147,forecast,decomposition,SYSTEME
300200330_,шт,2026-09-01,1.5,forecast,decomposition,SYSTEME
300200331_,шт,2026-09-01,1312.5025506529848,forecast,decomposition,SYSTEME
300200332_,шт,2026-09-01,624.3135013803379,forecast,decomposition,SYSTEME
300200333_,шт,2026-09-01,653.1707160921213,forecast,decomposition,SYSTEME
300200335_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200343_,шт,2026-09-01,1521.4038913836384,forecast,decomposition,SYSTEME
300200346_,шт,2026-09-01,20.5,forecast,decomposition,SYSTEME
300200347_,шт,2026-09-01,19.333333333333332,forecast,decomposition,SYSTEME
300200348_,шт,2026-09-01,2.3333333333333335,forecast,decomposition,SYSTEME
300200350_,шт,2026-09-01,7.538461538461538,forecast,decomposition,SYSTEME
300200351_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200352_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200362_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200363_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200364_,шт,2026-09-01,29.0,forecast,decomposition,SYSTEME
300200365_,шт,2026-09-01,188.28599286784677,forecast,decomposition,SYSTEME
300200366_,шт,2026-09-01,25.0,forecast,decomposition,SYSTEME
300200367_,шт,2026-09-01,6.0,forecast,decomposition,SYSTEME
300200368_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200369_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200370_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200371_,шт,2026-09-01,21.666666666666668,forecast,decomposition,SYSTEME
300200372_,шт,2026-09-01,15.0,forecast,decomposition,SYSTEME
300200373_,шт,2026-09-01,29.5,forecast,decomposition,SYSTEME
300200374_,шт,2026-09-01,26.5,forecast,decomposition,SYSTEME
300200375_,шт,2026-09-01,30.94842956094393,forecast,decomposition,SYSTEME
300200376_,шт,2026-09-01,139.96370506887274,forecast,decomposition,SYSTEME
300200377_,шт,2026-09-01,50.74371447795739,forecast,decomposition,SYSTEME
300200378_,шт,2026-09-01,11.190407991087595,forecast,decomposition,SYSTEME
300200379_,шт,2026-09-01,5.05281301561951,forecast,decomposition,SYSTEME
300200380_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200404_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200410_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200412_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200413_,шт,2026-09-01,18.97251750242968,forecast,decomposition,SYSTEME
300200417_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200418_,шт,2026-09-01,7.0,forecast,decomposition,SYSTEME
300200419_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200420_,шт,2026-09-01,20.0,forecast,decomposition,SYSTEME
300200421_,шт,2026-09-01,9.0,forecast,decomposition,SYSTEME
300200422_,шт,2026-09-01,12.0,forecast,decomposition,SYSTEME
300200423_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200424_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200425_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200426_,шт,2026-09-01,2.6666666666666665,forecast,decomposition,SYSTEME
300200427_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200428_,шт,2026-09-01,255.33038112436776,forecast,decomposition,SYSTEME
300200429_,шт,2026-09-01,19.5,forecast,decomposition,SYSTEME
300200430_,шт,2026-09-01,27.0,forecast,decomposition,SYSTEME
300200431_,шт,2026-09-01,14.333333333333334,forecast,decomposition,SYSTEME
300200432_,шт,2026-09-01,11.333333333333334,forecast,decomposition,SYSTEME
300200433_,шт,2026-09-01,3.114725740021857,forecast,decomposition,SYSTEME
300200434_,шт,2026-09-01,14.0,forecast,decomposition,SYSTEME
300200435_,шт,2026-09-01,111.91550739348042,forecast,decomposition,SYSTEME
300200436_,шт,2026-09-01,18.051205475182638,forecast,decomposition,SYSTEME
300200437_,шт,2026-09-01,54.483676682751316,forecast,decomposition,SYSTEME
300200438_,шт,2026-09-01,26.68302248576449,forecast,decomposition,SYSTEME
300200439_,шт,2026-09-01,7.333333333333333,forecast,decomposition,SYSTEME
300200440_,шт,2026-09-01,19.0,forecast,decomposition,SYSTEME
300200441_,шт,2026-09-01,1.5,forecast,decomposition,SYSTEME
300200442_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200443_,шт,2026-09-01,39.0,forecast,decomposition,SYSTEME
300200444_,шт,2026-09-01,10.0,forecast,decomposition,SYSTEME
300200445_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200446_,шт,2026-09-01,4.0,forecast,decomposition,SYSTEME
300200447_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200448_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200449_,шт,2026-09-01,4.0,forecast,decomposition,SYSTEME
300200450_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200451_,шт,2026-09-01,6.4,forecast,decomposition,SYSTEME
300200452_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200454_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200456_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200458_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200459_,шт,2026-09-01,42.50994921887636,forecast,decomposition,SYSTEME
300200460_,шт,2026-09-01,39.324311786217464,forecast,decomposition,SYSTEME
300200461_,шт,2026-09-01,22.732361592535508,forecast,decomposition,SYSTEME
300200462_,шт,2026-09-01,59.2095379494725,forecast,decomposition,SYSTEME
300200463_,шт,2026-09-01,660.7043830239867,forecast,decomposition,SYSTEME
300200464_,шт,2026-09-01,410.9847361581803,forecast,decomposition,SYSTEME
300200465_,шт,2026-09-01,170.57378470265343,forecast,decomposition,SYSTEME
300200466_,шт,2026-09-01,155.98602989799863,forecast,decomposition,SYSTEME
300200467_,шт,2026-09-01,20.736356169170293,forecast,decomposition,SYSTEME
300200468_,шт,2026-09-01,68.42048435146768,forecast,decomposition,SYSTEME
300200469_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200470_,шт,2026-09-01,7.636363636363637,forecast,decomposition,SYSTEME
300200471_,шт,2026-09-01,9.28683931439651,forecast,decomposition,SYSTEME
300200472_,шт,2026-09-01,54.8350074897369,forecast,decomposition,SYSTEME
300200473_,шт,2026-09-01,2.6666666666666665,forecast,decomposition,SYSTEME
300200474_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200495_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200496_,шт,2026-09-01,25.333333333333332,forecast,decomposition,SYSTEME
300200497_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200498_,шт,2026-09-01,123.44173035094599,forecast,decomposition,SYSTEME
300200511_,шт,2026-09-01,4.0,forecast,decomposition,SYSTEME
300200515_,шт,2026-09-01,94.23407176377773,forecast,decomposition,SYSTEME
300200516_,шт,2026-09-01,35.086863406976946,forecast,decomposition,SYSTEME
300200517_,шт,2026-09-01,7.857142857142857,forecast,decomposition,SYSTEME
300200518_,шт,2026-09-01,16.666666666666668,forecast,decomposition,SYSTEME
