sku,unit,warehouse,day,document_number,order_qty,prior_orders,prior_window_days,historical_median,threshold_iqr,threshold_8median,reason,excluded_qty,exclusion_status,month,comparable,matches_signed,sales_qty_raw,monthly_matches_signed,review_reason
010400433_,шт,Алматы,2025-08-15,20000088143,10.0,38,180,1.0,4.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,False,68.0,False,monthly_and_transactions_not_reconciled
010400433_,шт,Алматы,2025-08-28,20000094016,8.0,38,180,1.0,4.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,False,68.0,False,monthly_and_transactions_not_reconciled
010400433_,шт,Алматы,2025-09-03,20000095229,10.0,40,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,-6.0,False,monthly_and_transactions_not_reconciled
010400433_,шт,Алматы,2025-09-22,20000104011,11.0,42,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,-6.0,False,monthly_and_transactions_not_reconciled
010400433_,шт,Алматы,2026-07-23,20000081743,8.0,25,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,15.0,False,monthly_and_transactions_not_reconciled
010400433_,шт,Алматы,2026-08-08,20000089832,10.0,30,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,False,72.0,False,monthly_and_transactions_not_reconciled
010400433_,шт,Алматы,2026-08-10,20000090012,50.0,31,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,False,72.0,False,monthly_and_transactions_not_reconciled
010400436_,шт,Алматы,2025-04-15,20000036278,20.0,62,180,1.5,9.0,12.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,47.0,False,monthly_and_transactions_not_reconciled
010400436_,шт,Алматы,2025-06-12,20000060529,35.0,90,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,77.0,False,monthly_and_transactions_not_reconciled
010400436_,шт,Алматы,2025-06-19,20000063577,40.0,94,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,77.0,False,monthly_and_transactions_not_reconciled
010400436_,шт,Алматы,2025-07-28,20000079471,50.0,98,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,False,84.0,False,monthly_and_transactions_not_reconciled
010400436_,шт,Алматы,2025-10-23,20000118842,28.0,92,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,61.0,False,monthly_and_transactions_not_reconciled
010400436_,шт,Алматы,2026-04-14,20000037158,10.0,44,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,False,30.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2025-04-15,20000036278,30.0,43,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,21.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2025-09-02,20000095467,35.0,111,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,73.0,False,monthly_and_transactions_not_reconciled
