sku,unit,warehouse,day,document_number,order_qty,prior_orders,prior_window_days,historical_median,threshold_iqr,threshold_8median,reason,excluded_qty,exclusion_status,month,comparable,matches_signed,sales_qty_raw,monthly_matches_signed,review_reason
010400437_,шт,Алматы,2025-09-12,20000099943,10.0,113,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,73.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2025-10-31,20000122120,9.0,113,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,44.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2025-11-27,20000133992,15.0,103,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,38.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2026-01-08,20000001294,10.0,91,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,24.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2026-06-24,20000068488,10.0,62,180,1.0,1.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,False,34.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2026-06-24,20000068754,10.0,62,180,1.0,1.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,False,34.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2026-07-17,20000079476,10.0,82,180,1.0,1.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,48.0,False,monthly_and_transactions_not_reconciled
010400437_,шт,Алматы,2026-07-23,20000082179,10.0,87,180,1.0,1.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,48.0,False,monthly_and_transactions_not_reconciled
010400440_,шт,Алматы,2025-04-25,20000041189,20.0,53,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,43.0,False,monthly_and_transactions_not_reconciled
010400440_,шт,Алматы,2026-01-30,20000009964,8.0,73,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,19.0,False,monthly_and_transactions_not_reconciled
010400440_,шт,Алматы,2026-04-14,20000037158,10.0,43,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,False,19.0,False,monthly_and_transactions_not_reconciled
010400441_,шт,Алматы,2025-02-27,20000019864,8.0,18,180,1.0,7.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-02-01,True,False,19.0,False,monthly_and_transactions_not_reconciled
010400441_,шт,Алматы,2025-04-11,20000035323,20.0,32,180,1.0,6.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,22.0,False,monthly_and_transactions_not_reconciled
010400441_,шт,Алматы,2025-04-25,20000041189,10.0,38,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,22.0,False,monthly_and_transactions_not_reconciled
010400441_,шт,Алматы,2025-11-19,20000130259,8.0,58,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,29.0,False,monthly_and_transactions_not_reconciled
010400441_,шт,Алматы,2025-12-29,20000148620,15.0,63,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,False,22.0,False,monthly_and_transactions_not_reconciled
010400441_,шт,Алматы,2026-07-03,20000073025,10.0,47,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,19.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-02-03,20000010670,23.0,31,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-02-01,True,False,96.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-03-04,20000021546,41.0,67,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,99.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-03-14,20000025050,24.0,79,180,2.0,13.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,99.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-04-11,20000035323,20.0,114,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,93.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-04-15,20000036278,40.0,118,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,93.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-04-25,20000041189,20.0,126,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,93.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-05-30,20000055277,18.0,173,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,102.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-06-20,20000063838,10.0,206,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,104.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-06-20,20000064187,10.0,206,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,104.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-07-14,20000073702,10.0,237,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,False,114.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-07-15,20000073557,10.0,239,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,False,114.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-07-23,20000077359,10.0,231,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,False,114.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-08-30,20000094463,10.0,247,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,False,105.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-09-23,20000104361,10.0,247,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,84.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-09-26,20000106623,27.0,249,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,84.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2025-11-07,20000125451,9.0,248,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,34.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2026-01-09,20000002063,10.0,183,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,33.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2026-02-11,20000014928,10.0,159,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-02-01,True,False,40.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2026-02-18,20000017748,20.0,155,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-02-01,True,False,40.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2026-02-20,20000018418,10.0,157,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-02-01,True,False,40.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2026-04-14,20000037158,10.0,106,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,False,57.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2026-07-03,20000073235,20.0,140,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,32.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2026-08-14,20000093035,10.0,153,180,1.0,1.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,False,42.0,False,monthly_and_transactions_not_reconciled
010400444_,шт,Алматы,2026-09-02,20000101838,8.0,160,180,1.0,1.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-09-01,,,,False,monthly_and_transactions_not_reconciled
010400445_,шт,Алматы,2025-03-04,20000021546,14.0,25,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,23.0,False,monthly_and_transactions_not_reconciled
010400445_,шт,Алматы,2025-03-17,20000025694,8.0,28,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,23.0,False,monthly_and_transactions_not_reconciled
010400445_,шт,Алматы,2025-04-11,20000035323,15.0,43,180,1.0,7.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,48.0,False,monthly_and_transactions_not_reconciled
010400445_,шт,Алматы,2025-04-15,20000036278,15.0,44,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,48.0,False,monthly_and_transactions_not_reconciled
010400445_,шт,Алматы,2025-04-25,20000041189,30.0,50,180,1.0,8.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,48.0,False,monthly_and_transactions_not_reconciled
010400445_,шт,Алматы,2025-04-30,20000043064,10.0,54,180,1.0,8.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,48.0,False,monthly_and_transactions_not_reconciled
010400445_,шт,Алматы,2025-10-07,20000110879,44.0,115,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,62.0,False,monthly_and_transactions_not_reconciled
010400445_,шт,Алматы,2025-11-20,20000131072,14.0,105,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,34.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-02-10,20000013201,10.0,25,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-02-01,True,False,85.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-03-12,20000023750,10.0,56,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,73.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-04-01,20000030384,10.0,77,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,96.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-04-11,20000035323,35.0,87,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,96.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-04-25,20000041189,17.0,107,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,96.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-05-12,20000046115,10.0,124,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,73.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-05-15,20000048330,17.0,128,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,73.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-07-23,20000077359,10.0,210,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,False,90.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-08-13,20000086607,10.0,214,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,False,81.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-10-31,20000121205,10.0,193,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,50.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2025-11-21,20000131731,10.0,177,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,34.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2026-01-09,20000002063,10.0,136,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,27.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2026-02-20,20000018418,10.0,118,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-02-01,True,True,37.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010400447_,шт,Алматы,2026-03-30,20000031273,25.0,107,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,False,36.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2026-04-22,20000041379,10.0,114,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,False,46.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2026-04-29,20000044513,15.0,119,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,False,46.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2026-06-24,20000068754,15.0,143,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,False,40.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2026-07-03,20000073235,12.0,151,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,29.0,False,monthly_and_transactions_not_reconciled
010400447_,шт,Алматы,2026-08-14,20000093035,10.0,166,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,False,33.0,False,monthly_and_transactions_not_reconciled
010400448_,шт,Алматы,2025-04-11,20000035323,15.0,30,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,35.0,False,monthly_and_transactions_not_reconciled
010400448_,шт,Алматы,2025-04-25,20000041189,10.0,43,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,35.0,False,monthly_and_transactions_not_reconciled
010400448_,шт,Алматы,2025-10-31,20000121205,10.0,84,180,1.0,1.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,37.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-01-14,20000003340,75.0,8,180,7.0,58.5,56.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-01-01,True,False,448.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-01-28,30000000286,60.0,28,180,4.5,56.0,36.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-01-01,True,False,448.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-02-07,20000012348,50.0,40,180,5.5,42.75,44.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-02-01,True,False,417.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-02-12,20000014333,60.0,48,180,4.5,45.75,36.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-02-01,True,False,417.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-02-25,20000018794,40.0,67,180,5.0,34.5,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-02-01,True,False,417.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-03-04,20000021354,60.0,85,180,5.0,46.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,491.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-03-12,20000024399,60.0,99,180,5.0,48.5,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,491.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-04-05,20000032483,60.0,127,180,5.0,50.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,431.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-05-06,20000044041,60.0,162,180,6.0,51.0,48.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,310.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-06-10,20000059143,90.0,194,180,6.0,51.0,48.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,441.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-09-17,20000101073,50.0,212,180,6.0,40.0,48.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,378.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2025-12-18,20000143204,115.0,211,180,6.0,31.0,48.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,False,439.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2026-05-23,20000054250,98.0,173,180,5.0,31.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-05-01,True,False,330.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2026-07-22,20000080644,50.0,156,180,5.0,35.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,230.0,False,monthly_and_transactions_not_reconciled
020100158_,шт,Алматы,2026-09-10,20000106021,60.0,162,180,6.0,39.0,48.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-09-01,,,,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2025-04-05,20000032483,40.0,112,180,4.0,34.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,314.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2025-04-11,20000035323,40.0,117,180,4.0,34.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,314.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2025-04-25,20000040567,50.0,131,180,5.0,34.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,314.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2025-05-06,20000044041,60.0,141,180,5.0,34.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,222.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2025-06-03,20000056384,60.0,166,180,5.0,34.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,233.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2025-08-04,20000082844,59.0,184,180,5.0,31.75,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,False,361.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2025-08-08,20000084779,50.0,185,180,5.0,31.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,False,361.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2025-12-18,20000143204,41.0,175,180,4.0,34.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,False,255.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2026-05-23,20000054250,47.0,149,180,4.0,34.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-05-01,True,False,203.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2026-08-05,20000088204,56.0,137,180,4.0,34.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,False,246.0,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2026-09-02,20000099834,40.0,144,180,4.0,34.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-09-01,,,,False,monthly_and_transactions_not_reconciled
020100160_,шт,Алматы,2026-09-10,20000106021,40.0,144,180,4.0,34.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-09-01,,,,False,monthly_and_transactions_not_reconciled
020100162_,шт,Алматы,2025-05-15,20000047873,18.0,36,180,2.0,14.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,54.0,False,monthly_and_transactions_not_reconciled
020100162_,шт,Алматы,2025-05-15,20000047948,18.0,36,180,2.0,14.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,54.0,False,monthly_and_transactions_not_reconciled
020100162_,шт,Алматы,2026-03-04,20000022912,10.0,23,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,True,23.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
020100162_,шт,Алматы,2026-03-13,20000025611,10.0,23,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,True,23.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
030200003_,шт,Алматы,2026-06-19,20000066129,40.0,9,180,3.0,10.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,True,47.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
030200006_,шт,Алматы,2025-09-09,20000098097,30.0,13,180,2.0,17.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,True,67.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
030200006_,шт,Алматы,2025-09-09,20000098108,25.0,13,180,2.0,17.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,True,67.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
030200008_,шт,Алматы,2025-08-20,20000089734,10.0,11,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,True,35.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
030200028_,шт,Алматы,2025-02-12,20000014330,1008.0,16,180,9.5,87.25,76.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-02-01,True,False,88.0,False,monthly_and_transactions_not_reconciled
