sku,unit,target_month,predicted_qty,level_qty,seasonal_factor,trend_per_month,months_from_level_anchor,trend_contribution_qty,deseasonalized_forecast,damping,status,warnings,actual_qty,residual_qty,split,model,trained_before
010400432_,шт,2026-01-01,4.997627399273152,5.7911841915098,0.8629715847408123,0.0,2.0,0.0,5.7911841915098,0.0,forecast,unstable_trend_disabled,5.0,0.002372600726848084,validation,decomposition,2026-01-01
010400433_,шт,2026-01-01,9.0,9.0,1.0,0.0,2.0,0.0,9.0,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,3.0,-6.0,validation,decomposition,2026-01-01
010400436_,шт,2026-01-01,26.01771887214936,29.228647619390227,0.8901444641211952,0.0,2.0,0.0,29.228647619390227,0.0,forecast,unstable_trend_disabled,11.0,-15.01771887214936,validation,decomposition,2026-01-01
010400437_,шт,2026-01-01,36.333333333333336,36.333333333333336,1.0,0.0,2.0,0.0,36.333333333333336,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,24.0,-12.333333333333336,validation,decomposition,2026-01-01
010400440_,шт,2026-01-01,17.713286713286713,23.28031968031968,0.7608695652173914,-0.0,2.0,-0.0,23.28031968031968,0.0,forecast,,19.0,1.2867132867132867,validation,decomposition,2026-01-01
010400441_,шт,2026-01-01,21.333333333333332,21.333333333333332,1.0,0.0,2.0,0.0,21.333333333333332,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,6.0,-15.333333333333332,validation,decomposition,2026-01-01
010400444_,шт,2026-01-01,42.856562411389845,46.36494157515305,0.9243312070591858,-0.0,2.0,-0.0,46.36494157515305,0.0,forecast,,33.0,-9.856562411389845,validation,decomposition,2026-01-01
010400445_,шт,2026-01-01,27.780110424646104,33.959068850019214,0.8180468830678903,0.0,2.0,0.0,33.959068850019214,0.0,forecast,unstable_trend_disabled,20.0,-7.780110424646104,validation,decomposition,2026-01-01
010400447_,шт,2026-01-01,31.067722502655784,40.130405778572154,0.7741691592673743,-0.0,2.0,-0.0,40.130405778572154,0.0,forecast,,27.0,-4.0677225026557835,validation,decomposition,2026-01-01
010400448_,шт,2026-01-01,18.035840526938653,21.604912068477145,0.8348027740068436,0.0,2.0,0.0,21.604912068477145,0.0,forecast,unstable_trend_disabled,11.0,-7.035840526938653,validation,decomposition,2026-01-01
020100158_,шт,2026-01-01,268.6367171319057,347.34814986682704,0.7733932575570095,0.0,2.0,0.0,347.34814986682704,0.0,forecast,unstable_trend_disabled,179.0,-89.6367171319057,validation,decomposition,2026-01-01
020100160_,шт,2026-01-01,205.33333333333334,205.33333333333334,1.0,0.0,2.0,0.0,205.33333333333334,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,130.0,-75.33333333333334,validation,decomposition,2026-01-01
020100162_,шт,2026-01-01,10.849573086247643,11.392105912938632,0.9523764235658303,0.0,2.0,0.0,11.392105912938632,0.0,forecast,unstable_trend_disabled,15.0,4.150426913752357,validation,decomposition,2026-01-01
020100163_,шт,2026-01-01,41.025777988010276,57.63342429808514,0.7118400214400127,-0.0,2.0,-0.0,57.63342429808514,0.0,forecast,,31.0,-10.025777988010276,validation,decomposition,2026-01-01
030200003_,шт,2026-01-01,2.3333333333333335,2.3333333333333335,1.0,0.0,2.0,0.0,2.3333333333333335,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,4.0,1.6666666666666665,validation,decomposition,2026-01-01
030200005_,шт,2026-01-01,8.0,8.0,1.0,0.0,2.0,0.0,8.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,11.0,3.0,validation,decomposition,2026-01-01
030200008_,шт,2026-01-01,33.333333333333336,33.333333333333336,1.0,0.0,2.0,0.0,33.333333333333336,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,6.0,-27.333333333333336,validation,decomposition,2026-01-01
030200039_,шт,2026-01-01,174.53333333333333,174.53333333333333,1.0,0.0,16.933333333334303,0.0,174.53333333333333,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,2.0,-172.53333333333333,validation,decomposition,2026-01-01
030200093_,шт,2026-01-01,75.5,75.5,1.0,0.0,1.5,0.0,75.5,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,278.0,202.5,validation,decomposition,2026-01-01
