sku,month,sales_qty_raw,target_qty,candidate_order_qty,excluded_qty,regular_sales_qty
010400432_,2024-01-01,11.0,11.0,0.0,0.0,11.0
010400432_,2024-02-01,7.0,7.0,0.0,0.0,7.0
010400432_,2024-03-01,2.0,2.0,0.0,0.0,2.0
010400432_,2024-04-01,17.0,17.0,0.0,0.0,17.0
010400432_,2024-05-01,4.0,4.0,0.0,0.0,4.0
010400432_,2024-06-01,28.0,28.0,0.0,0.0,28.0
010400432_,2024-07-01,43.0,43.0,0.0,0.0,43.0
010400432_,2024-08-01,95.0,95.0,0.0,0.0,95.0
010400432_,2024-09-01,21.0,21.0,0.0,0.0,21.0
010400432_,2024-10-01,32.0,32.0,0.0,0.0,32.0
010400432_,2024-11-01,15.0,15.0,0.0,0.0,15.0
010400432_,2024-12-01,12.0,12.0,0.0,0.0,12.0
010400432_,2025-01-01,15.0,15.0,0.0,0.0,15.0
010400432_,2025-02-01,3.0,3.0,0.0,0.0,3.0
010400432_,2025-03-01,10.0,10.0,0.0,0.0,10.0
010400432_,2025-04-01,13.0,13.0,0.0,0.0,13.0
010400432_,2025-05-01,8.0,8.0,0.0,0.0,8.0
010400432_,2025-06-01,7.0,7.0,0.0,0.0,7.0
010400432_,2025-07-01,5.0,5.0,0.0,0.0,5.0
010400432_,2025-08-01,18.0,18.0,0.0,0.0,18.0
010400432_,2025-09-01,1.0,1.0,0.0,0.0,1.0
010400432_,2025-10-01,12.0,12.0,0.0,0.0,12.0
010400432_,2025-11-01,5.0,5.0,0.0,0.0,5.0
010400432_,2025-12-01,2.0,2.0,0.0,0.0,2.0
010400432_,2026-01-01,5.0,5.0,0.0,0.0,5.0
010400432_,2026-02-01,1.0,1.0,0.0,0.0,1.0
010400432_,2026-03-01,6.0,6.0,0.0,0.0,6.0
010400432_,2026-04-01,8.0,8.0,0.0,0.0,8.0
010400432_,2026-05-01,2.0,2.0,0.0,0.0,2.0
010400432_,2026-06-01,9.0,9.0,0.0,0.0,9.0
010400432_,2026-07-01,6.0,6.0,0.0,0.0,6.0
010400432_,2026-08-01,3.0,3.0,0.0,0.0,3.0
010400432_,2026-09-01,,,0.0,0.0,
010400433_,2024-01-01,3.0,3.0,0.0,0.0,3.0
010400433_,2024-02-01,2.0,2.0,0.0,0.0,2.0
010400433_,2024-03-01,3.0,3.0,0.0,0.0,3.0
010400433_,2024-04-01,30.0,30.0,0.0,0.0,30.0
010400433_,2024-05-01,42.0,42.0,0.0,0.0,42.0
010400433_,2024-06-01,16.0,16.0,0.0,0.0,16.0
010400433_,2024-07-01,41.0,41.0,0.0,0.0,41.0
010400433_,2024-08-01,51.0,51.0,0.0,0.0,51.0
010400433_,2024-09-01,66.0,66.0,0.0,0.0,66.0
010400433_,2024-10-01,72.0,72.0,0.0,0.0,72.0
010400433_,2024-11-01,34.0,34.0,0.0,0.0,34.0
010400433_,2024-12-01,59.0,59.0,0.0,0.0,59.0
010400433_,2025-01-01,30.0,30.0,0.0,0.0,30.0
