sku,month,sales_qty_raw,target_qty,candidate_order_qty,excluded_qty,regular_sales_qty
010400433_,2025-02-01,26.0,26.0,0.0,0.0,26.0
010400433_,2025-03-01,2.0,2.0,0.0,0.0,2.0
010400433_,2025-04-01,12.0,12.0,0.0,0.0,12.0
010400433_,2025-05-01,5.0,5.0,0.0,0.0,5.0
010400433_,2025-06-01,11.0,11.0,0.0,0.0,11.0
010400433_,2025-07-01,18.0,18.0,0.0,0.0,18.0
010400433_,2025-08-01,68.0,68.0,18.0,0.0,68.0
010400433_,2025-09-01,-6.0,,21.0,0.0,-6.0
010400433_,2025-10-01,9.0,9.0,0.0,0.0,9.0
010400433_,2025-11-01,6.0,6.0,0.0,0.0,6.0
010400433_,2025-12-01,12.0,12.0,0.0,0.0,12.0
010400433_,2026-01-01,3.0,3.0,0.0,0.0,3.0
010400433_,2026-02-01,2.0,2.0,0.0,0.0,2.0
010400433_,2026-03-01,4.0,4.0,0.0,0.0,4.0
010400433_,2026-04-01,13.0,13.0,0.0,0.0,13.0
010400433_,2026-05-01,7.0,7.0,0.0,0.0,7.0
010400433_,2026-06-01,8.0,8.0,0.0,0.0,8.0
010400433_,2026-07-01,15.0,15.0,8.0,0.0,15.0
010400433_,2026-08-01,72.0,72.0,60.0,0.0,72.0
010400433_,2026-09-01,7.0,,0.0,0.0,7.0
010400436_,2024-01-01,20.0,20.0,0.0,0.0,20.0
010400436_,2024-02-01,3.0,3.0,0.0,0.0,3.0
010400436_,2024-03-01,21.0,21.0,0.0,0.0,21.0
010400436_,2024-04-01,79.0,79.0,0.0,0.0,79.0
010400436_,2024-05-01,58.0,58.0,0.0,0.0,58.0
010400436_,2024-06-01,81.0,81.0,0.0,0.0,81.0
010400436_,2024-07-01,100.0,100.0,0.0,0.0,100.0
010400436_,2024-08-01,100.0,100.0,0.0,0.0,100.0
010400436_,2024-09-01,69.0,69.0,0.0,0.0,69.0
010400436_,2024-10-01,105.0,105.0,0.0,0.0,105.0
010400436_,2024-11-01,114.0,114.0,0.0,0.0,114.0
010400436_,2024-12-01,42.0,42.0,0.0,0.0,42.0
010400436_,2025-01-01,69.0,69.0,0.0,0.0,69.0
010400436_,2025-02-01,40.0,40.0,0.0,0.0,40.0
010400436_,2025-03-01,25.0,25.0,0.0,0.0,25.0
010400436_,2025-04-01,47.0,47.0,20.0,0.0,47.0
010400436_,2025-05-01,27.0,27.0,0.0,0.0,27.0
010400436_,2025-06-01,77.0,77.0,75.0,0.0,77.0
010400436_,2025-07-01,84.0,84.0,50.0,0.0,84.0
010400436_,2025-08-01,33.0,33.0,0.0,0.0,33.0
010400436_,2025-09-01,49.0,49.0,0.0,0.0,49.0
010400436_,2025-10-01,61.0,61.0,28.0,0.0,61.0
010400436_,2025-11-01,25.0,25.0,0.0,0.0,25.0
010400436_,2025-12-01,13.0,13.0,0.0,0.0,13.0
010400436_,2026-01-01,11.0,11.0,0.0,0.0,11.0
010400436_,2026-02-01,6.0,6.0,0.0,0.0,6.0
010400436_,2026-03-01,9.0,9.0,0.0,0.0,9.0
010400436_,2026-04-01,30.0,30.0,10.0,0.0,30.0
010400436_,2026-05-01,22.0,22.0,0.0,0.0,22.0
010400436_,2026-06-01,20.0,20.0,0.0,0.0,20.0
010400436_,2026-07-01,25.0,25.0,0.0,0.0,25.0
010400436_,2026-08-01,17.0,17.0,0.0,0.0,17.0
010400436_,2026-09-01,12.0,,0.0,0.0,12.0
010400437_,2024-01-01,2.0,2.0,0.0,0.0,2.0
010400437_,2024-02-01,,,0.0,0.0,
010400437_,2024-03-01,9.0,9.0,0.0,0.0,9.0
010400437_,2024-04-01,59.0,59.0,0.0,0.0,59.0
010400437_,2024-05-01,56.0,56.0,0.0,0.0,56.0
010400437_,2024-06-01,40.0,40.0,0.0,0.0,40.0
010400437_,2024-07-01,46.0,46.0,0.0,0.0,46.0
010400437_,2024-08-01,91.0,91.0,0.0,0.0,91.0
010400437_,2024-09-01,81.0,81.0,0.0,0.0,81.0
010400437_,2024-10-01,99.0,99.0,0.0,0.0,99.0
010400437_,2024-11-01,79.0,79.0,0.0,0.0,79.0
010400437_,2024-12-01,18.0,18.0,0.0,0.0,18.0
010400437_,2025-01-01,36.0,36.0,0.0,0.0,36.0
010400437_,2025-02-01,32.0,32.0,0.0,0.0,32.0
010400437_,2025-03-01,21.0,21.0,0.0,0.0,21.0
010400437_,2025-04-01,21.0,21.0,30.0,0.0,21.0
010400437_,2025-05-01,51.0,51.0,0.0,0.0,51.0
010400437_,2025-06-01,35.0,35.0,0.0,0.0,35.0
010400437_,2025-07-01,60.0,60.0,0.0,0.0,60.0
010400437_,2025-08-01,48.0,48.0,0.0,0.0,48.0
010400437_,2025-09-01,73.0,73.0,45.0,0.0,73.0
010400437_,2025-10-01,44.0,44.0,9.0,0.0,44.0
010400437_,2025-11-01,38.0,38.0,15.0,0.0,38.0
010400437_,2025-12-01,27.0,27.0,0.0,0.0,27.0
010400437_,2026-01-01,24.0,24.0,10.0,0.0,24.0
010400437_,2026-02-01,13.0,13.0,0.0,0.0,13.0
010400437_,2026-03-01,10.0,10.0,0.0,0.0,10.0
010400437_,2026-04-01,11.0,11.0,0.0,0.0,11.0
010400437_,2026-05-01,13.0,13.0,0.0,0.0,13.0
010400437_,2026-06-01,34.0,34.0,20.0,0.0,34.0
010400437_,2026-07-01,48.0,48.0,20.0,0.0,48.0
010400437_,2026-08-01,18.0,18.0,0.0,0.0,18.0
010400437_,2026-09-01,19.0,,0.0,0.0,19.0
010400440_,2024-01-01,8.0,8.0,0.0,0.0,8.0
010400440_,2024-02-01,3.0,3.0,0.0,0.0,3.0
010400440_,2024-03-01,5.0,5.0,0.0,0.0,5.0
010400440_,2024-04-01,59.0,59.0,0.0,0.0,59.0
010400440_,2024-05-01,62.0,62.0,0.0,0.0,62.0
010400440_,2024-06-01,30.0,30.0,0.0,0.0,30.0
010400440_,2024-07-01,39.0,39.0,0.0,0.0,39.0
010400440_,2024-08-01,73.0,73.0,0.0,0.0,73.0
010400440_,2024-09-01,30.0,30.0,0.0,0.0,30.0
010400440_,2024-10-01,58.0,58.0,0.0,0.0,58.0
010400440_,2024-11-01,44.0,44.0,0.0,0.0,44.0
010400440_,2024-12-01,19.0,19.0,0.0,0.0,19.0
010400440_,2025-01-01,28.0,28.0,0.0,0.0,28.0
010400440_,2025-02-01,32.0,32.0,0.0,0.0,32.0
010400440_,2025-03-01,40.0,40.0,0.0,0.0,40.0
010400440_,2025-04-01,43.0,43.0,20.0,0.0,43.0
010400440_,2025-05-01,41.0,41.0,0.0,0.0,41.0
010400440_,2025-06-01,40.0,40.0,0.0,0.0,40.0
010400440_,2025-07-01,42.0,42.0,0.0,0.0,42.0
010400440_,2025-08-01,38.0,38.0,0.0,0.0,38.0
010400440_,2025-09-01,28.0,28.0,0.0,0.0,28.0
010400440_,2025-10-01,27.0,27.0,0.0,0.0,27.0
010400440_,2025-11-01,17.0,17.0,0.0,0.0,17.0
010400440_,2025-12-01,22.0,22.0,0.0,0.0,22.0
010400440_,2026-01-01,19.0,19.0,8.0,0.0,19.0
010400440_,2026-02-01,18.0,18.0,0.0,0.0,18.0
010400440_,2026-03-01,6.0,6.0,0.0,0.0,6.0
010400440_,2026-04-01,19.0,19.0,10.0,0.0,19.0
010400440_,2026-05-01,17.0,17.0,0.0,0.0,17.0
010400440_,2026-06-01,22.0,22.0,0.0,0.0,22.0
010400440_,2026-07-01,17.0,17.0,0.0,0.0,17.0
010400440_,2026-08-01,9.0,9.0,0.0,0.0,9.0
010400440_,2026-09-01,8.0,,0.0,0.0,8.0
010400441_,2024-01-01,,,0.0,0.0,
010400441_,2024-02-01,,,0.0,0.0,
010400441_,2024-03-01,2.0,2.0,0.0,0.0,2.0
010400441_,2024-04-01,30.0,30.0,0.0,0.0,30.0
010400441_,2024-05-01,32.0,32.0,0.0,0.0,32.0
010400441_,2024-06-01,23.0,23.0,0.0,0.0,23.0
010400441_,2024-07-01,40.0,40.0,0.0,0.0,40.0
010400441_,2024-08-01,41.0,41.0,0.0,0.0,41.0
010400441_,2024-09-01,19.0,19.0,0.0,0.0,19.0
010400441_,2024-10-01,120.0,120.0,0.0,0.0,120.0
010400441_,2024-11-01,10.0,10.0,0.0,0.0,10.0
010400441_,2024-12-01,59.0,59.0,0.0,0.0,59.0
010400441_,2025-01-01,52.0,52.0,0.0,0.0,52.0
010400441_,2025-02-01,19.0,19.0,8.0,0.0,19.0
010400441_,2025-03-01,16.0,16.0,0.0,0.0,16.0
010400441_,2025-04-01,22.0,22.0,30.0,0.0,22.0
010400441_,2025-05-01,13.0,13.0,0.0,0.0,13.0
010400441_,2025-06-01,18.0,18.0,0.0,0.0,18.0
010400441_,2025-07-01,17.0,17.0,0.0,0.0,17.0
010400441_,2025-08-01,34.0,34.0,0.0,0.0,34.0
010400441_,2025-09-01,16.0,16.0,0.0,0.0,16.0
010400441_,2025-10-01,13.0,13.0,0.0,0.0,13.0
010400441_,2025-11-01,29.0,29.0,8.0,0.0,29.0
010400441_,2025-12-01,22.0,22.0,15.0,0.0,22.0
010400441_,2026-01-01,6.0,6.0,0.0,0.0,6.0
010400441_,2026-02-01,15.0,15.0,0.0,0.0,15.0
010400441_,2026-03-01,15.0,15.0,0.0,0.0,15.0
010400441_,2026-04-01,9.0,9.0,0.0,0.0,9.0
010400441_,2026-05-01,17.0,17.0,0.0,0.0,17.0
010400441_,2026-06-01,13.0,13.0,0.0,0.0,13.0
010400441_,2026-07-01,19.0,19.0,10.0,0.0,19.0
010400441_,2026-08-01,14.0,14.0,0.0,0.0,14.0
010400441_,2026-09-01,11.0,,0.0,0.0,11.0
010400444_,2024-01-01,61.0,61.0,0.0,0.0,61.0
010400444_,2024-02-01,2.0,2.0,0.0,0.0,2.0
010400444_,2024-03-01,19.0,19.0,0.0,0.0,19.0
010400444_,2024-04-01,149.0,149.0,0.0,0.0,149.0
010400444_,2024-05-01,115.0,115.0,0.0,0.0,115.0
010400444_,2024-06-01,133.0,133.0,0.0,0.0,133.0
010400444_,2024-07-01,128.0,128.0,0.0,0.0,128.0
010400444_,2024-08-01,152.0,152.0,0.0,0.0,152.0
010400444_,2024-09-01,124.0,124.0,0.0,0.0,124.0
010400444_,2024-10-01,140.0,140.0,0.0,0.0,140.0
010400444_,2024-11-01,128.0,128.0,0.0,0.0,128.0
010400444_,2024-12-01,96.0,96.0,0.0,0.0,96.0
010400444_,2025-01-01,105.0,105.0,0.0,0.0,105.0
010400444_,2025-02-01,96.0,96.0,23.0,0.0,96.0
010400444_,2025-03-01,99.0,99.0,65.0,0.0,99.0
010400444_,2025-04-01,93.0,93.0,80.0,0.0,93.0
010400444_,2025-05-01,102.0,102.0,18.0,0.0,102.0
010400444_,2025-06-01,104.0,104.0,20.0,0.0,104.0
010400444_,2025-07-01,114.0,114.0,30.0,0.0,114.0
010400444_,2025-08-01,105.0,105.0,10.0,0.0,105.0
010400444_,2025-09-01,84.0,84.0,37.0,0.0,84.0
010400444_,2025-10-01,58.0,58.0,0.0,0.0,58.0
010400444_,2025-11-01,34.0,34.0,9.0,0.0,34.0
010400444_,2025-12-01,40.0,40.0,0.0,0.0,40.0
010400444_,2026-01-01,33.0,33.0,10.0,0.0,33.0
010400444_,2026-02-01,40.0,40.0,40.0,0.0,40.0
010400444_,2026-03-01,13.0,13.0,0.0,0.0,13.0
010400444_,2026-04-01,57.0,57.0,10.0,0.0,57.0
010400444_,2026-05-01,55.0,55.0,0.0,0.0,55.0
010400444_,2026-06-01,53.0,53.0,0.0,0.0,53.0
010400444_,2026-07-01,32.0,32.0,20.0,0.0,32.0
010400444_,2026-08-01,42.0,42.0,10.0,0.0,42.0
010400444_,2026-09-01,20.0,,8.0,0.0,20.0
010400445_,2024-01-01,13.0,13.0,0.0,0.0,13.0
010400445_,2024-02-01,2.0,2.0,0.0,0.0,2.0
010400445_,2024-03-01,9.0,9.0,0.0,0.0,9.0
010400445_,2024-04-01,33.0,33.0,0.0,0.0,33.0
010400445_,2024-05-01,28.0,28.0,0.0,0.0,28.0
010400445_,2024-06-01,23.0,23.0,0.0,0.0,23.0
010400445_,2024-07-01,27.0,27.0,0.0,0.0,27.0
010400445_,2024-08-01,77.0,77.0,0.0,0.0,77.0
010400445_,2024-09-01,54.0,54.0,0.0,0.0,54.0
010400445_,2024-10-01,67.0,67.0,0.0,0.0,67.0
010400445_,2024-11-01,46.0,46.0,0.0,0.0,46.0
010400445_,2024-12-01,33.0,33.0,0.0,0.0,33.0
010400445_,2025-01-01,27.0,27.0,0.0,0.0,27.0
010400445_,2025-02-01,16.0,16.0,0.0,0.0,16.0
010400445_,2025-03-01,23.0,23.0,22.0,0.0,23.0
010400445_,2025-04-01,48.0,48.0,70.0,0.0,48.0
010400445_,2025-05-01,28.0,28.0,0.0,0.0,28.0
010400445_,2025-06-01,48.0,48.0,0.0,0.0,48.0
010400445_,2025-07-01,49.0,49.0,0.0,0.0,49.0
010400445_,2025-08-01,34.0,34.0,0.0,0.0,34.0
010400445_,2025-09-01,34.0,34.0,0.0,0.0,34.0
010400445_,2025-10-01,62.0,62.0,44.0,0.0,62.0
010400445_,2025-11-01,34.0,34.0,14.0,0.0,34.0
010400445_,2025-12-01,21.0,21.0,0.0,0.0,21.0
010400445_,2026-01-01,20.0,20.0,0.0,0.0,20.0
010400445_,2026-02-01,7.0,7.0,0.0,0.0,7.0
010400445_,2026-03-01,17.0,17.0,0.0,0.0,17.0
010400445_,2026-04-01,9.0,9.0,0.0,0.0,9.0
010400445_,2026-05-01,16.0,16.0,0.0,0.0,16.0
010400445_,2026-06-01,16.0,16.0,0.0,0.0,16.0
010400445_,2026-07-01,17.0,17.0,0.0,0.0,17.0
010400445_,2026-08-01,23.0,23.0,0.0,0.0,23.0
010400445_,2026-09-01,19.0,,0.0,0.0,19.0
010400447_,2024-01-01,41.0,41.0,0.0,0.0,41.0
010400447_,2024-02-01,21.0,21.0,0.0,0.0,21.0
010400447_,2024-03-01,62.0,62.0,0.0,0.0,62.0
010400447_,2024-04-01,105.0,105.0,0.0,0.0,105.0
010400447_,2024-05-01,74.0,74.0,0.0,0.0,74.0
010400447_,2024-06-01,103.0,103.0,0.0,0.0,103.0
010400447_,2024-07-01,122.0,122.0,0.0,0.0,122.0
010400447_,2024-08-01,143.0,143.0,0.0,0.0,143.0
010400447_,2024-09-01,98.0,98.0,0.0,0.0,98.0
010400447_,2024-10-01,129.0,129.0,0.0,0.0,129.0
010400447_,2024-11-01,89.0,89.0,0.0,0.0,89.0
010400447_,2024-12-01,74.0,74.0,0.0,0.0,74.0
010400447_,2025-01-01,48.0,48.0,0.0,0.0,48.0
010400447_,2025-02-01,85.0,85.0,10.0,0.0,85.0
010400447_,2025-03-01,73.0,73.0,10.0,0.0,73.0
010400447_,2025-04-01,96.0,96.0,62.0,0.0,96.0
010400447_,2025-05-01,73.0,73.0,27.0,0.0,73.0
010400447_,2025-06-01,47.0,47.0,0.0,0.0,47.0
010400447_,2025-07-01,90.0,90.0,10.0,0.0,90.0
010400447_,2025-08-01,81.0,81.0,10.0,0.0,81.0
010400447_,2025-09-01,45.0,45.0,0.0,0.0,45.0
010400447_,2025-10-01,50.0,50.0,10.0,0.0,50.0
010400447_,2025-11-01,34.0,34.0,10.0,0.0,34.0
010400447_,2025-12-01,34.0,34.0,0.0,0.0,34.0
010400447_,2026-01-01,27.0,27.0,10.0,0.0,27.0
010400447_,2026-02-01,37.0,37.0,10.0,0.0,37.0
010400447_,2026-03-01,36.0,36.0,25.0,0.0,36.0
010400447_,2026-04-01,46.0,46.0,25.0,0.0,46.0
010400447_,2026-05-01,48.0,48.0,0.0,0.0,48.0
010400447_,2026-06-01,40.0,40.0,15.0,0.0,40.0
010400447_,2026-07-01,29.0,29.0,12.0,0.0,29.0
010400447_,2026-08-01,33.0,33.0,10.0,0.0,33.0
010400447_,2026-09-01,24.0,,0.0,0.0,24.0
010400448_,2024-01-01,17.0,17.0,0.0,0.0,17.0
010400448_,2024-02-01,2.0,2.0,0.0,0.0,2.0
010400448_,2024-03-01,5.0,5.0,0.0,0.0,5.0
010400448_,2024-04-01,24.0,24.0,0.0,0.0,24.0
010400448_,2024-05-01,36.0,36.0,0.0,0.0,36.0
010400448_,2024-06-01,26.0,26.0,0.0,0.0,26.0
010400448_,2024-07-01,18.0,18.0,0.0,0.0,18.0
010400448_,2024-08-01,54.0,54.0,0.0,0.0,54.0
010400448_,2024-09-01,35.0,35.0,0.0,0.0,35.0
010400448_,2024-10-01,26.0,26.0,0.0,0.0,26.0
010400448_,2024-11-01,31.0,31.0,0.0,0.0,31.0
010400448_,2024-12-01,49.0,49.0,0.0,0.0,49.0
010400448_,2025-01-01,15.0,15.0,0.0,0.0,15.0
010400448_,2025-02-01,15.0,15.0,0.0,0.0,15.0
010400448_,2025-03-01,18.0,18.0,0.0,0.0,18.0
010400448_,2025-04-01,35.0,35.0,25.0,0.0,35.0
010400448_,2025-05-01,21.0,21.0,0.0,0.0,21.0
010400448_,2025-06-01,26.0,26.0,0.0,0.0,26.0
010400448_,2025-07-01,40.0,40.0,0.0,0.0,40.0
010400448_,2025-08-01,12.0,12.0,0.0,0.0,12.0
010400448_,2025-09-01,14.0,14.0,0.0,0.0,14.0
010400448_,2025-10-01,37.0,37.0,10.0,0.0,37.0
010400448_,2025-11-01,13.0,13.0,0.0,0.0,13.0
010400448_,2025-12-01,22.0,22.0,0.0,0.0,22.0
010400448_,2026-01-01,11.0,11.0,0.0,0.0,11.0
010400448_,2026-02-01,6.0,6.0,0.0,0.0,6.0
010400448_,2026-03-01,10.0,10.0,0.0,0.0,10.0
010400448_,2026-04-01,15.0,15.0,0.0,0.0,15.0
010400448_,2026-05-01,10.0,10.0,0.0,0.0,10.0
010400448_,2026-06-01,13.0,13.0,0.0,0.0,13.0
010400448_,2026-07-01,19.0,19.0,0.0,0.0,19.0
010400448_,2026-08-01,20.0,20.0,0.0,0.0,20.0
010400448_,2026-09-01,13.0,,0.0,0.0,13.0
020100158_,2024-01-01,66.0,66.0,0.0,0.0,66.0
020100158_,2024-02-01,21.0,21.0,0.0,0.0,21.0
020100158_,2024-03-01,511.0,511.0,0.0,0.0,511.0
020100158_,2024-04-01,586.0,586.0,0.0,0.0,586.0
020100158_,2024-05-01,564.0,564.0,0.0,0.0,564.0
020100158_,2024-06-01,1003.0,1003.0,0.0,0.0,1003.0
020100158_,2024-07-01,683.0,683.0,0.0,0.0,683.0
020100158_,2024-08-01,621.0,621.0,0.0,0.0,621.0
020100158_,2024-09-01,981.0,981.0,0.0,0.0,981.0
020100158_,2024-10-01,517.0,517.0,0.0,0.0,517.0
020100158_,2024-11-01,437.0,437.0,0.0,0.0,437.0
020100158_,2024-12-01,488.0,488.0,0.0,0.0,488.0
020100158_,2025-01-01,448.0,448.0,135.0,0.0,448.0
020100158_,2025-02-01,417.0,417.0,150.0,0.0,417.0
020100158_,2025-03-01,491.0,491.0,120.0,0.0,491.0
020100158_,2025-04-01,431.0,431.0,60.0,0.0,431.0
020100158_,2025-05-01,310.0,310.0,60.0,0.0,310.0
020100158_,2025-06-01,441.0,441.0,90.0,0.0,441.0
020100158_,2025-07-01,292.0,292.0,0.0,0.0,292.0
020100158_,2025-08-01,476.0,476.0,0.0,0.0,476.0
020100158_,2025-09-01,378.0,378.0,50.0,0.0,378.0
020100158_,2025-10-01,208.0,208.0,0.0,0.0,208.0
020100158_,2025-11-01,371.0,371.0,0.0,0.0,371.0
020100158_,2025-12-01,439.0,439.0,115.0,0.0,439.0
020100158_,2026-01-01,179.0,179.0,0.0,0.0,179.0
020100158_,2026-02-01,237.0,237.0,0.0,0.0,237.0
020100158_,2026-03-01,244.0,244.0,0.0,0.0,244.0
020100158_,2026-04-01,192.0,192.0,0.0,0.0,192.0
020100158_,2026-05-01,330.0,330.0,98.0,0.0,330.0
020100158_,2026-06-01,175.0,175.0,0.0,0.0,175.0
020100158_,2026-07-01,230.0,230.0,50.0,0.0,230.0
020100158_,2026-08-01,337.0,337.0,0.0,0.0,337.0
020100158_,2026-09-01,147.0,,60.0,0.0,147.0
020100159_,2024-01-01,4.0,4.0,0.0,0.0,4.0
020100159_,2024-02-01,64.0,64.0,0.0,0.0,64.0
020100159_,2024-03-01,50.0,50.0,0.0,0.0,50.0
020100159_,2024-04-01,27.0,27.0,0.0,0.0,27.0
020100159_,2024-05-01,41.0,41.0,0.0,0.0,41.0
020100159_,2024-06-01,6.0,6.0,0.0,0.0,6.0
020100159_,2024-07-01,25.0,25.0,0.0,0.0,25.0
020100159_,2024-08-01,33.0,33.0,0.0,0.0,33.0
020100159_,2024-09-01,34.0,34.0,0.0,0.0,34.0
020100159_,2024-10-01,-2.0,,0.0,0.0,-2.0
020100159_,2024-11-01,25.0,25.0,0.0,0.0,25.0
020100159_,2024-12-01,8.0,8.0,0.0,0.0,8.0
020100159_,2025-01-01,18.0,18.0,0.0,0.0,18.0
020100159_,2025-02-01,150.0,150.0,0.0,0.0,150.0
020100159_,2025-03-01,11.0,11.0,0.0,0.0,11.0
020100159_,2025-04-01,39.0,39.0,0.0,0.0,39.0
020100159_,2025-05-01,14.0,14.0,0.0,0.0,14.0
020100159_,2025-06-01,34.0,34.0,0.0,0.0,34.0
020100159_,2025-07-01,29.0,29.0,0.0,0.0,29.0
020100159_,2025-08-01,3.0,3.0,0.0,0.0,3.0
020100159_,2025-09-01,10.0,10.0,0.0,0.0,10.0
020100159_,2025-10-01,6.0,6.0,0.0,0.0,6.0
020100159_,2025-11-01,,,0.0,0.0,
020100159_,2025-12-01,22.0,22.0,0.0,0.0,22.0
020100159_,2026-01-01,,,0.0,0.0,
020100159_,2026-02-01,,,0.0,0.0,
020100159_,2026-03-01,4.0,4.0,0.0,0.0,4.0
020100159_,2026-04-01,,,0.0,0.0,
020100159_,2026-05-01,-30.0,,0.0,0.0,-30.0
020100159_,2026-06-01,9.0,9.0,0.0,0.0,9.0
020100159_,2026-07-01,8.0,8.0,0.0,0.0,8.0
020100159_,2026-08-01,,,0.0,0.0,
020100159_,2026-09-01,,,0.0,0.0,
020100160_,2024-01-01,,,0.0,0.0,
020100160_,2024-02-01,,,0.0,0.0,
020100160_,2024-03-01,228.0,228.0,0.0,0.0,228.0
020100160_,2024-04-01,442.0,442.0,0.0,0.0,442.0
020100160_,2024-05-01,470.0,470.0,0.0,0.0,470.0
020100160_,2024-06-01,767.0,767.0,0.0,0.0,767.0
020100160_,2024-07-01,634.0,634.0,0.0,0.0,634.0
020100160_,2024-08-01,650.0,650.0,0.0,0.0,650.0
020100160_,2024-09-01,406.0,406.0,0.0,0.0,406.0
020100160_,2024-10-01,523.0,523.0,0.0,0.0,523.0
020100160_,2024-11-01,418.0,418.0,0.0,0.0,418.0
020100160_,2024-12-01,292.0,292.0,0.0,0.0,292.0
020100160_,2025-01-01,299.0,299.0,0.0,0.0,299.0
020100160_,2025-02-01,244.0,244.0,0.0,0.0,244.0
020100160_,2025-03-01,278.0,278.0,0.0,0.0,278.0
020100160_,2025-04-01,314.0,314.0,130.0,0.0,314.0
020100160_,2025-05-01,222.0,222.0,60.0,0.0,222.0
020100160_,2025-06-01,233.0,233.0,60.0,0.0,233.0
020100160_,2025-07-01,144.0,144.0,0.0,0.0,144.0
020100160_,2025-08-01,361.0,361.0,109.0,0.0,361.0
020100160_,2025-09-01,232.0,232.0,0.0,0.0,232.0
020100160_,2025-10-01,185.0,185.0,0.0,0.0,185.0
020100160_,2025-11-01,176.0,176.0,0.0,0.0,176.0
020100160_,2025-12-01,255.0,255.0,41.0,0.0,255.0
020100160_,2026-01-01,130.0,130.0,0.0,0.0,130.0
020100160_,2026-02-01,145.0,145.0,0.0,0.0,145.0
020100160_,2026-03-01,151.0,151.0,0.0,0.0,151.0
020100160_,2026-04-01,136.0,136.0,0.0,0.0,136.0
020100160_,2026-05-01,203.0,203.0,47.0,0.0,203.0
020100160_,2026-06-01,79.0,79.0,0.0,0.0,79.0
020100160_,2026-07-01,163.0,163.0,0.0,0.0,163.0
020100160_,2026-08-01,246.0,246.0,56.0,0.0,246.0
020100160_,2026-09-01,113.0,,80.0,0.0,113.0
020100161_,2024-01-01,35.0,35.0,0.0,0.0,35.0
020100161_,2024-02-01,6.0,6.0,0.0,0.0,6.0
020100161_,2024-03-01,51.0,51.0,0.0,0.0,51.0
020100161_,2024-04-01,20.0,20.0,0.0,0.0,20.0
020100161_,2024-05-01,23.0,23.0,0.0,0.0,23.0
020100161_,2024-06-01,30.0,30.0,0.0,0.0,30.0
020100161_,2024-07-01,38.0,38.0,0.0,0.0,38.0
020100161_,2024-08-01,4.0,4.0,0.0,0.0,4.0
020100161_,2024-09-01,26.0,26.0,0.0,0.0,26.0
020100161_,2024-10-01,-7.0,,0.0,0.0,-7.0
