sku,observed_months,seasonality_status,level_qty,anchor_month_index,slope_12,slope_6,stable_trend_per_month,trend_status,latest_observed_month,level_window,leave_one_out_sign_share
010400432_,32,estimated_from_past,4.320527717749246,24318.0,-0.06027617506264313,-0.9823561561720142,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.8333333333333334
010400433_,31,insufficient_history,31.666666666666668,24318.0,3.2545454545454544,9.914285714285715,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
010400436_,32,estimated_from_past,17.438480069116192,24318.0,-1.5612760686374285,-0.5553549154226771,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
010400437_,31,estimated_from_past,29.697552305530902,24318.0,-1.6985459340284617,2.24575040452363,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
010400440_,32,estimated_from_past,15.089628481253646,24318.0,-1.2449613463834515,-0.18406384173718005,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
010400441_,30,estimated_from_past,15.289385061007392,24318.0,-0.28915479750079826,-0.5634789727975789,-0.28915479750079826,stable,2026-08-01,3_calendar_months,0.9166666666666666
010400444_,32,estimated_from_past,35.06251020280806,24318.0,-2.01601986197122,-1.0336497977724903,-2.01601986197122,stable,2026-08-01,3_calendar_months,1.0
010400445_,32,estimated_from_past,19.501048916427504,24318.0,-1.3163903661687408,0.7680049025333482,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
010400447_,32,estimated_from_past,30.316434132094127,24318.0,-1.084706004750977,-3.8372314898450686,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
010400448_,32,estimated_from_past,15.855635764704395,24318.0,-0.31174150419828733,0.8125752515746494,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9166666666666666
020100158_,32,estimated_from_past,234.79257000142255,24318.0,-6.8940373726781,5.869348548668211,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
020100159_,25,insufficient_history,8.5,24317.5,0.0,0.0,0.0,insufficient_recent_history,2026-07-01,3_calendar_months,
020100160_,30,estimated_from_past,136.55741067397403,24318.0,-6.59393135404014,-1.2755518195006061,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
020100161_,23,insufficient_history,4.0,24318.0,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
020100162_,31,estimated_from_past,10.541613177522636,24318.0,0.2360697428804804,-0.7713978896396235,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.8181818181818182
020100163_,32,estimated_from_past,90.07885767760854,24318.0,2.9114588926118468,14.684259501531045,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9166666666666666
030200002_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-08-01,none,
030200003_,14,insufficient_history,20.666666666666668,24318.0,1.6101910828025479,1.828571428571428,1.6101910828025479,stable,2026-08-01,3_calendar_months,1.0
030200005_,19,insufficient_history,19.0,24318.0,0.5727636849132176,2.697674418604651,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9090909090909091
030200006_,5,insufficient_history,1.0,24315.0,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
