sku,observed_months,seasonality_status,level_qty,anchor_month_index,slope_12,slope_6,stable_trend_per_month,trend_status,latest_observed_month,level_window,leave_one_out_sign_share
030200007_,10,insufficient_history,43.0,24317.0,0.0,0.0,0.0,insufficient_recent_history,2026-06-01,3_calendar_months,
030200008_,7,insufficient_history,27.142857142857142,24309.0,0.0,0.0,0.0,insufficient_recent_history,2026-01-01,all_known_history_stale,
030200009_,3,insufficient_history,6.666666666666667,24307.0,0.0,0.0,0.0,insufficient_recent_history,2025-09-01,all_known_history_stale,
030200010_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200011_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200012_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200013_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200015_,4,insufficient_history,1.0,24315.0,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
030200016_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200025_,4,insufficient_history,17.5,24290.75,0.0,0.0,0.0,insufficient_recent_history,2024-09-01,all_known_history_stale,
030200026_,6,insufficient_history,1.0,24316.0,0.0,0.0,0.0,insufficient_recent_history,2026-05-01,6_calendar_months,
030200027_,12,insufficient_history,2.0,24317.0,0.0,0.0,0.0,insufficient_recent_history,2026-06-01,3_calendar_months,
030200028_,15,insufficient_history,105.93333333333334,24295.0,0.0,0.0,0.0,insufficient_recent_history,2025-03-01,all_known_history_stale,
030200029_,13,insufficient_history,25.0,24294.69230769231,0.0,0.0,0.0,insufficient_recent_history,2025-03-01,all_known_history_stale,
030200030_,14,insufficient_history,177.07142857142858,24294.5,0.0,0.0,0.0,insufficient_recent_history,2025-02-01,all_known_history_stale,
030200031_,13,insufficient_history,103.3076923076923,24294.153846153848,0.0,0.0,0.0,insufficient_recent_history,2025-02-01,all_known_history_stale,
030200032_,14,insufficient_history,43.285714285714285,24294.714285714286,0.0,0.0,0.0,insufficient_recent_history,2025-03-01,all_known_history_stale,
030200034_,17,insufficient_history,32.0,24314.0,0.0,0.0,0.0,insufficient_recent_history,2026-03-01,6_calendar_months,
030200036_,14,insufficient_history,39.92857142857143,24294.928571428572,0.0,0.0,0.0,insufficient_recent_history,2025-03-01,all_known_history_stale,
030200037_,16,insufficient_history,146.875,24295.875,0.0,0.0,0.0,insufficient_recent_history,2025-10-01,all_known_history_stale,
030200038_,17,insufficient_history,317.6470588235294,24296.529411764706,0.0,0.0,0.0,insufficient_recent_history,2026-02-01,all_known_history_stale,
030200039_,17,insufficient_history,15.0,24314.0,0.0,0.0,0.0,insufficient_recent_history,2026-03-01,6_calendar_months,
030200042_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200045_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200047_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200052_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2024-01-01,none,
030200053_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2024-06-01,none,
030200054_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2026-03-01,none,
030200060_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200062_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200063_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200069_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200072_,16,insufficient_history,10.5,24315.5,0.0,0.0,0.0,insufficient_recent_history,2026-05-01,6_calendar_months,
030200073_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200075_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200076_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200090_,2,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-11-01,none,
030200092_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200093_,15,insufficient_history,9.5,24314.5,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
030200094_,2,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2024-09-01,none,
030200095_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-08-01,none,
030200096_,2,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-07-01,none,
030200097_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2026-03-01,none,
030200105_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200125_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200126_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200127_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-10-01,none,
030200128_,2,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-10-01,none,
030200129_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200134_,13,insufficient_history,22.666666666666668,24318.0,3.05307855626327,-11.4,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200135_,17,insufficient_history,36.0,24318.0,3.1390977443609027,2.342857142857143,3.1390977443609027,stable,2026-08-01,3_calendar_months,1.0
030200136_,17,insufficient_history,23.5,24318.0,-1.9512195121951221,2.054054054054054,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200140_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200141_,3,insufficient_history,6.0,24311.666666666668,0.0,0.0,0.0,insufficient_recent_history,2026-02-01,all_known_history_stale,
030200142_,6,insufficient_history,1.0,24315.0,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
030200143_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200174_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200175_,4,insufficient_history,3.5,24295.75,0.0,0.0,0.0,insufficient_recent_history,2025-05-01,all_known_history_stale,
030200176_,14,insufficient_history,2.5,24318.5,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
030200179_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200183_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-03-01,none,
030200184_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200191_,8,insufficient_history,8.5,24299.25,0.0,0.0,0.0,insufficient_recent_history,2026-01-01,all_known_history_stale,
030200192_,32,estimated_from_past,60993.37657738315,24318.0,831.7472507541888,3133.2193048316462,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200193_,32,estimated_from_past,31932.17773108254,24318.0,1004.6061166742633,2419.676708248907,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200194_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200198_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200200_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200201_,32,estimated_from_past,24514.085084726437,24318.0,547.0760894748344,651.0245851699711,547.0760894748344,stable,2026-08-01,3_calendar_months,1.0
030200203_,31,estimated_from_past,3863.8561389600436,24318.0,283.36574324924186,308.9166078207125,283.36574324924186,stable,2026-08-01,3_calendar_months,1.0
030200219_,32,estimated_from_past,4135.658856937132,24318.0,46.047400864788365,-35.16501110363593,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.8333333333333334
030200220_,32,estimated_from_past,1546.6708381270917,24318.0,46.43308040445167,31.77476419186652,46.43308040445167,stable,2026-08-01,3_calendar_months,1.0
030200221_,32,estimated_from_past,1043.0567628589145,24318.0,-21.644556985873184,-380.20105874201056,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9166666666666666
030200222_,32,estimated_from_past,447.48307974288787,24318.0,-13.41650800771113,18.76192940719639,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200223_,31,estimated_from_past,744.8223852096667,24318.0,-51.89169455826907,-3.575694093159135,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200224_,32,estimated_from_past,2614.2212056953917,24318.0,77.96278581842334,3.4585947680525804,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200225_,32,estimated_from_past,1782.9620108896167,24318.0,34.712752027961706,31.21798438390327,34.712752027961706,stable,2026-08-01,3_calendar_months,1.0
030200226_,32,estimated_from_past,46.97671160306273,24318.0,-5.255817841748198,-14.805973566389925,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200227_,32,estimated_from_past,275.2654824175822,24318.0,3.6593652727017814,21.763639744241818,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.8333333333333334
030200239_,14,insufficient_history,102.07142857142857,24294.5,0.0,0.0,0.0,insufficient_recent_history,2025-02-01,all_known_history_stale,
030200240_,19,insufficient_history,5.0,24314.0,0.0,0.0,0.0,insufficient_recent_history,2026-03-01,6_calendar_months,
030200243_,23,insufficient_history,69.0,24319.0,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
030200244_,12,insufficient_history,1.0,24317.0,0.0,0.0,0.0,insufficient_recent_history,2026-06-01,3_calendar_months,
030200245_,13,insufficient_history,3.0,24317.5,0.0,0.0,0.0,insufficient_recent_history,2026-07-01,3_calendar_months,
030200246_,10,insufficient_history,11.3,24298.3,0.0,0.0,0.0,insufficient_recent_history,2025-12-01,all_known_history_stale,
030200247_,21,insufficient_history,1.0,24315.0,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
030200248_,15,insufficient_history,4.0,24315.5,0.0,0.0,0.0,insufficient_recent_history,2026-05-01,6_calendar_months,
030200249_,18,insufficient_history,10.0,24317.5,0.042424242424242406,2.1000000000000005,0.0,unstable_trend_disabled,2026-07-01,3_calendar_months,0.6
030200250_,27,insufficient_history,2.0,24318.0,-4.488833746898262,-1.4594594594594594,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200251_,29,insufficient_history,3.6666666666666665,24318.0,-2.445075757575758,-0.45714285714285713,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030200252_,21,insufficient_history,2.0,24319.0,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
030200253_,17,insufficient_history,4.117647058823529,24299.823529411766,0.0,0.0,0.0,insufficient_recent_history,2026-02-01,all_known_history_stale,
030200254_,10,insufficient_history,1.9,24300.3,0.0,0.0,0.0,insufficient_recent_history,2025-12-01,all_known_history_stale,
030200256_,24,insufficient_history,1.0,24315.0,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
030200257_,18,insufficient_history,44.111111111111114,24298.555555555555,0.0,0.0,0.0,insufficient_recent_history,2025-12-01,all_known_history_stale,
030200258_,16,insufficient_history,10.375,24301.125,0.0,0.0,0.0,insufficient_recent_history,2025-12-01,all_known_history_stale,
030200259_,17,insufficient_history,22.294117647058822,24298.41176470588,0.0,0.0,0.0,insufficient_recent_history,2026-02-01,all_known_history_stale,
030200260_,13,insufficient_history,29.692307692307693,24297.076923076922,0.0,0.0,0.0,insufficient_recent_history,2025-12-01,all_known_history_stale,
030200261_,3,insufficient_history,1.0,24294.0,0.0,0.0,0.0,insufficient_recent_history,2025-04-01,all_known_history_stale,
030200262_,5,insufficient_history,1.8,24294.4,0.0,0.0,0.0,insufficient_recent_history,2025-03-01,all_known_history_stale,
030200263_,15,insufficient_history,4.066666666666666,24297.733333333334,0.0,0.0,0.0,insufficient_recent_history,2025-11-01,all_known_history_stale,
030200264_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200265_,9,insufficient_history,3.6666666666666665,24296.11111111111,0.0,0.0,0.0,insufficient_recent_history,2025-11-01,all_known_history_stale,
030200266_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200292_,5,insufficient_history,5.0,24315.0,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
030200295_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200296_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200297_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200298_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200322_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200323_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200330_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200331_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200345,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200372_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200375_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200379_,2,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-10-01,none,
030200381_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030200382_,21,insufficient_history,4.5,24317.5,0.9320679320679323,-1.2999999999999998,0.0,unstable_trend_disabled,2026-07-01,3_calendar_months,0.9
030200399_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
030201459_,5,insufficient_history,4903.333333333333,24318.0,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
030300013_,19,insufficient_history,58.0,24299.42105263158,0.0,0.0,0.0,insufficient_recent_history,2026-01-01,all_known_history_stale,
030300014_,30,estimated_from_past,106.57105491159194,24318.0,-28.743392161601616,-63.71400969525122,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
030300078_,18,insufficient_history,5.0,24318.5,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
130300026_,30,estimated_from_past,418.4037870552194,24318.0,17.05672455486483,48.46499351972632,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
130300027_,32,estimated_from_past,596.4083776377907,24318.0,-38.65341814528929,37.75739521503446,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
130300028_,27,insufficient_history,261.0,24318.5,-2.424561403508772,42.34883720930231,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.625
280300174_,32,estimated_from_past,1008.4956731715483,24318.0,58.70352328032365,141.1719343145328,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300100003_,8,insufficient_history,5.625,24296.875,0.0,0.0,0.0,insufficient_recent_history,2025-11-01,all_known_history_stale,
300100004_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
300100006_,9,insufficient_history,2.6666666666666665,24297.777777777777,0.0,0.0,0.0,insufficient_recent_history,2025-11-01,all_known_history_stale,
300100012_,1,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2024-01-01,none,
300100015_,5,insufficient_history,17.2,24298.2,0.0,0.0,0.0,insufficient_recent_history,2025-10-01,all_known_history_stale,
300100018_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
300200283_,30,estimated_from_past,56.773539041866286,24318.0,0.383787859321377,3.4014065270119955,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9090909090909091
300200284_,32,estimated_from_past,51.97649604781489,24318.0,0.5667400534600165,-0.1201847902698142,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9166666666666666
300200285_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
300200286_,32,estimated_from_past,5074.32723301365,24318.0,-64.92583438947788,108.73568381711146,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200287_,21,insufficient_history,3.0,24318.5,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
300200288_,31,estimated_from_past,38.62589439647602,24318.0,0.6173123585028927,3.972710017206818,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9166666666666666
300200289_,32,estimated_from_past,135.3851628762322,24318.0,-6.4754665301994345,-4.978513436010867,-6.4754665301994345,stable,2026-08-01,3_calendar_months,1.0
300200290_,19,insufficient_history,4.0,24318.0,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
300200291_,32,estimated_from_past,36.11416550988522,24318.0,-0.7370067845904207,3.6537340183326394,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200292_,27,insufficient_history,2.5,24318.5,-0.7115384615384615,0.0847457627118644,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200293_,32,estimated_from_past,161.99332428524545,24318.0,1.1567422579763038,1.4417288029457604,1.1567422579763038,stable,2026-08-01,3_calendar_months,0.9166666666666666
300200294_,32,estimated_from_past,27.485112791856878,24318.0,-4.544730835158183,-9.654298365414155,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200295_,32,estimated_from_past,19.504111685206105,24318.0,-1.1274480955874095,1.7041784104393627,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200296_,32,estimated_from_past,557.7581019141439,24318.0,13.27489925397446,32.56112782567222,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200297_,32,estimated_from_past,492.7912228724121,24318.0,-12.240017060607435,16.391193156997602,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200298_,32,estimated_from_past,1057.9597183954627,24318.0,19.935377151873762,104.62884342512659,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200299_,20,insufficient_history,2.0,24319.0,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
300200300_,21,insufficient_history,2.0,24318.0,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
300200301_,32,estimated_from_past,433.2616301073188,24318.0,-6.280269598960091,39.91873847105872,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200302_,32,estimated_from_past,249.9502158423683,24318.0,-7.889897950069722,2.6060032215693507,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200303_,32,estimated_from_past,3553.486817472142,24318.0,-12.917876329700784,128.11834663118535,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.75
300200304_,32,estimated_from_past,1230.7234975889762,24318.0,-32.08649145269792,31.0726256575977,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200305_,32,estimated_from_past,474.7178583356426,24318.0,-13.530372986927564,0.250942761112073,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200306_,32,estimated_from_past,178.73815854322572,24318.0,-9.533567747955118,6.829331378702824,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200307_,31,estimated_from_past,28.99308757219968,24318.0,-3.35523451869472,-0.8119291562705461,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200308_,32,estimated_from_past,26.305828282037112,24318.0,-0.649804512879071,3.943648865075982,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9166666666666666
300200309_,30,estimated_from_past,8.916616932867326,24318.0,-0.5426372339299069,1.5586679564608938,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200310_,22,insufficient_history,15.0,24318.5,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
300200311_,32,estimated_from_past,76.62802586938034,24318.0,-6.464250274354076,9.272182657343633,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200312_,14,insufficient_history,6.0,24317.5,0.0,0.0,0.0,insufficient_recent_history,2026-07-01,3_calendar_months,
300200313_,32,estimated_from_past,35.14091537702425,24318.0,2.09580374063482,-92.52770159293814,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.8333333333333334
300200314_,31,estimated_from_past,18.113911488913946,24318.0,2.612330496009363,-54.959278548356615,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200315_,15,insufficient_history,6.0,24317.0,0.0,0.0,0.0,insufficient_recent_history,2026-06-01,3_calendar_months,
300200316_,28,insufficient_history,3.5,24317.5,-0.3926073926073926,0.1,0.0,unstable_trend_disabled,2026-07-01,3_calendar_months,1.0
300200317_,32,estimated_from_past,39.387980540114405,24318.0,4.406640796684586,-83.8677185827659,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200318_,30,estimated_from_past,47.5305778189645,24318.0,2.4437387494980856,-103.26648760446574,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200319_,32,estimated_from_past,373.10210059142855,24318.0,-5.541838412130752,10.003090686686457,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200320_,32,estimated_from_past,107.71875560215888,24318.0,0.7001332793507756,-2.904480252475134,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.75
300200321_,31,estimated_from_past,21.274519491724458,24318.0,-0.15112560300394087,-1.2810618792079567,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.75
300200322_,30,estimated_from_past,88.4547940080753,24318.0,-2.072572340623444,0.49472631609660594,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200323_,32,estimated_from_past,513.442606545156,24318.0,6.481976706453402,45.44134542712072,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.8333333333333334
300200324_,32,estimated_from_past,934.3173092597258,24318.0,-14.668615100408314,-17.757354050805404,-14.668615100408314,stable,2026-08-01,3_calendar_months,1.0
300200325_,32,estimated_from_past,40.62267977069566,24318.0,-0.1306139188872518,5.781463994723928,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.8333333333333334
300200326_,32,estimated_from_past,419.3553371928908,24318.0,10.617841081839336,12.250842115715217,10.617841081839336,stable,2026-08-01,3_calendar_months,1.0
300200327_,32,estimated_from_past,37.32406728146956,24318.0,-0.4136632086878405,5.12178523340491,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.8333333333333334
300200328_,32,estimated_from_past,277.7144260104658,24318.0,8.348478819442752,10.632699242151924,8.348478819442752,stable,2026-08-01,3_calendar_months,1.0
300200330_,25,insufficient_history,1.5,24318.0,-0.044444444444444446,-0.06756756756756756,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.75
300200331_,32,estimated_from_past,1115.1049590456257,24318.0,-12.369725636109488,36.32020577324743,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200332_,32,estimated_from_past,492.48800869887276,24318.0,-18.614822095923817,-9.214522081548896,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200333_,32,estimated_from_past,579.3395471633581,24318.0,-9.729670059829122,47.06069497945298,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200335_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
300200343_,32,estimated_from_past,1322.6268861342846,24318.0,-60.10061137960501,-15.109824357764728,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
300200346_,9,insufficient_history,20.5,24314.5,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
300200347_,20,insufficient_history,19.333333333333332,24318.0,1.1369047619047619,-17.24418604651163,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.75
300200348_,23,insufficient_history,2.3333333333333335,24318.0,0.1312883435582822,0.08108108108108103,0.1312883435582822,stable,2026-08-01,3_calendar_months,1.0
300200350_,13,insufficient_history,7.538461538461538,24299.153846153848,0.0,0.0,0.0,insufficient_recent_history,2026-02-01,all_known_history_stale,
300200351_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
300200352_,2,insufficient_history,,,0.0,0.0,0.0,insufficient_history,2025-07-01,none,
300200362_,0,insufficient_history,,,0.0,0.0,0.0,insufficient_history,,none,
300200363_,20,insufficient_history,2.0,24318.0,0.0,0.0,0.0,insufficient_recent_history,2026-08-01,3_calendar_months,
300200364_,21,insufficient_history,29.0,24315.0,0.0,0.0,0.0,insufficient_recent_history,2026-04-01,6_calendar_months,
300200365_,31,estimated_from_past,206.52587242810878,24318.0,-3.3873566867237344,6.401990282682008,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,0.9166666666666666
300200366_,23,insufficient_history,25.0,24317.5,0.0,0.0,0.0,insufficient_recent_history,2026-07-01,3_calendar_months,
300200367_,25,insufficient_history,6.0,24318.0,0.0,0.0,0.0,insufficient_recent_history,2026-07-01,3_calendar_months,
300200368_,30,insufficient_history,2.0,24318.0,-0.5874125874125874,-1.3714285714285714,0.0,unstable_trend_disabled,2026-08-01,3_calendar_months,1.0
