sku,unit,target_month,predicted_qty,level_qty,seasonal_factor,trend_per_month,months_from_level_anchor,trend_contribution_qty,deseasonalized_forecast,damping,status,warnings,model,supplier_id
020100162_,шт,2026-09-01,7.611402813822908,10.541613177522636,0.7220339700997878,0.0,2.0,0.0,10.541613177522636,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
020100163_,шт,2026-09-01,91.40979399545152,90.07885767760854,1.0147752353011223,0.0,2.0,0.0,90.07885767760854,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200002_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200003_,шт,2026-09-01,20.666666666666668,20.666666666666668,1.0,0.0,2.0,0.0,20.666666666666668,0.0,forecast,neutral_seasonality_insufficient_evidence,decomposition,SYSTEME
030200005_,шт,2026-09-01,19.0,19.0,1.0,0.0,2.0,0.0,19.0,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
030200006_,шт,2026-09-01,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200007_,шт,2026-09-01,43.0,43.0,1.0,0.0,3.0,0.0,43.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
030200008_,шт,2026-09-01,27.142857142857142,27.142857142857142,1.0,0.0,11.0,0.0,27.142857142857142,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200009_,шт,2026-09-01,6.666666666666667,6.666666666666667,1.0,0.0,13.0,0.0,6.666666666666667,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200010_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200011_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200012_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200013_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200015_,шт,2026-09-01,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200016_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200025_,шт,2026-09-01,17.5,17.5,1.0,0.0,29.25,0.0,17.5,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200026_,шт,2026-09-01,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200027_,шт,2026-09-01,2.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
030200028_,шт,2026-09-01,105.93333333333334,105.93333333333334,1.0,0.0,25.0,0.0,105.93333333333334,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200029_,шт,2026-09-01,25.0,25.0,1.0,0.0,25.307692307691468,0.0,25.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200030_,шт,2026-09-01,177.07142857142858,177.07142857142858,1.0,0.0,25.5,0.0,177.07142857142858,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200031_,шт,2026-09-01,103.3076923076923,103.3076923076923,1.0,0.0,25.846153846152447,0.0,103.3076923076923,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200032_,шт,2026-09-01,43.285714285714285,43.285714285714285,1.0,0.0,25.285714285713766,0.0,43.285714285714285,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200034_,шт,2026-09-01,32.0,32.0,1.0,0.0,6.0,0.0,32.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200036_,шт,2026-09-01,39.92857142857143,39.92857142857143,1.0,0.0,25.071428571427532,0.0,39.92857142857143,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200037_,шт,2026-09-01,146.875,146.875,1.0,0.0,24.125,0.0,146.875,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200038_,шт,2026-09-01,317.6470588235294,317.6470588235294,1.0,0.0,23.47058823529369,0.0,317.6470588235294,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200039_,шт,2026-09-01,15.0,15.0,1.0,0.0,6.0,0.0,15.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200042_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200045_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200047_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200052_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200053_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200054_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200060_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200062_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200063_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200069_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200072_,шт,2026-09-01,10.5,10.5,1.0,0.0,4.5,0.0,10.5,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200073_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200075_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200076_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200090_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200092_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200093_,шт,2026-09-01,9.5,9.5,1.0,0.0,5.5,0.0,9.5,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200094_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200095_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200096_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200097_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200105_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200125_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200126_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200127_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200128_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200129_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200134_,шт,2026-09-01,22.666666666666668,22.666666666666668,1.0,0.0,2.0,0.0,22.666666666666668,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
030200135_,шт,2026-09-01,36.0,36.0,1.0,0.0,2.0,0.0,36.0,0.0,forecast,neutral_seasonality_insufficient_evidence,decomposition,SYSTEME
030200136_,шт,2026-09-01,23.5,23.5,1.0,0.0,2.0,0.0,23.5,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
030200140_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200141_,шт,2026-09-01,6.0,6.0,1.0,0.0,8.33333333333212,0.0,6.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200142_,шт,2026-09-01,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200143_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200174_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200175_,шт,2026-09-01,3.5,3.5,1.0,0.0,24.25,0.0,3.5,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200176_,шт,2026-09-01,2.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
030200179_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200183_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200184_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200191_,шт,2026-09-01,8.5,8.5,1.0,0.0,20.75,0.0,8.5,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200192_,шт,2026-09-01,71443.49916954634,60993.37657738315,1.171332088475295,0.0,2.0,0.0,60993.37657738315,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200193_,шт,2026-09-01,29215.09816100598,31932.17773108254,0.9149109217367354,0.0,2.0,0.0,31932.17773108254,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200194_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200198_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200200_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200201_,шт,2026-09-01,28503.74507742775,24514.085084726437,1.1627496999750189,0.0,2.0,0.0,24514.085084726437,0.0,forecast,,decomposition,SYSTEME
030200203_,шт,2026-09-01,4181.5171397611175,3863.8561389600436,1.0822134648332358,0.0,2.0,0.0,3863.8561389600436,0.0,forecast,,decomposition,SYSTEME
030200219_,шт,2026-09-01,3901.1346524171095,4135.658856937132,0.9432921784332783,0.0,2.0,0.0,4135.658856937132,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200220_,шт,2026-09-01,1557.5699787647923,1546.6708381270917,1.0070468391651444,0.0,2.0,0.0,1546.6708381270917,0.0,forecast,,decomposition,SYSTEME
030200221_,шт,2026-09-01,872.9446527453421,1043.0567628589145,0.8369100166252582,0.0,2.0,0.0,1043.0567628589145,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200222_,шт,2026-09-01,557.9334400278102,447.48307974288787,1.2468257802024252,0.0,2.0,0.0,447.48307974288787,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200223_,шт,2026-09-01,959.216932625522,744.8223852096667,1.2878465412334559,0.0,2.0,0.0,744.8223852096667,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200224_,шт,2026-09-01,2951.285897919086,2614.2212056953917,1.1289350310101374,0.0,2.0,0.0,2614.2212056953917,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200225_,шт,2026-09-01,2507.381282174734,1782.9620108896167,1.4063010130673874,0.0,2.0,0.0,1782.9620108896167,0.0,forecast,,decomposition,SYSTEME
030200226_,шт,2026-09-01,47.544475943096764,46.97671160306273,1.0120860809677665,0.0,2.0,0.0,46.97671160306273,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200227_,шт,2026-09-01,177.45873891736252,275.2654824175822,0.644682135074803,0.0,2.0,0.0,275.2654824175822,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030200239_,шт,2026-09-01,102.07142857142857,102.07142857142857,1.0,0.0,25.5,0.0,102.07142857142857,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200240_,шт,2026-09-01,5.0,5.0,1.0,0.0,6.0,0.0,5.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200243_,шт,2026-09-01,69.0,69.0,1.0,0.0,1.0,0.0,69.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
030200244_,шт,2026-09-01,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
030200245_,шт,2026-09-01,3.0,3.0,1.0,0.0,2.5,0.0,3.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
030200246_,шт,2026-09-01,11.3,11.3,1.0,0.0,21.700000000000728,0.0,11.3,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200247_,шт,2026-09-01,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200248_,шт,2026-09-01,4.0,4.0,1.0,0.0,4.5,0.0,4.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200249_,шт,2026-09-01,10.0,10.0,1.0,0.0,2.5,0.0,10.0,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
030200250_,шт,2026-09-01,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
030200251_,шт,2026-09-01,3.6666666666666665,3.6666666666666665,1.0,0.0,2.0,0.0,3.6666666666666665,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
030200252_,шт,2026-09-01,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
030200253_,шт,2026-09-01,4.117647058823529,4.117647058823529,1.0,0.0,20.176470588234224,0.0,4.117647058823529,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200254_,шт,2026-09-01,1.9,1.9,1.0,0.0,19.700000000000728,0.0,1.9,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200256_,шт,2026-09-01,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200257_,шт,2026-09-01,44.111111111111114,44.111111111111114,1.0,0.0,21.444444444445253,0.0,44.111111111111114,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200258_,шт,2026-09-01,10.375,10.375,1.0,0.0,18.875,0.0,10.375,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200259_,шт,2026-09-01,22.294117647058822,22.294117647058822,1.0,0.0,21.58823529411893,0.0,22.294117647058822,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200260_,шт,2026-09-01,29.692307692307693,29.692307692307693,1.0,0.0,22.923076923078042,0.0,29.692307692307693,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200261_,шт,2026-09-01,1.0,1.0,1.0,0.0,26.0,0.0,1.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200262_,шт,2026-09-01,1.8,1.8,1.0,0.0,25.599999999998545,0.0,1.8,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200263_,шт,2026-09-01,4.066666666666666,4.066666666666666,1.0,0.0,22.266666666666424,0.0,4.066666666666666,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200264_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200265_,шт,2026-09-01,3.6666666666666665,3.6666666666666665,1.0,0.0,23.888888888890506,0.0,3.6666666666666665,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030200266_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200292_,шт,2026-09-01,5.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;6_calendar_months,decomposition,SYSTEME
030200295_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200296_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200297_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200298_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200322_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200323_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200330_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200331_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200345,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200372_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200375_,,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200379_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200381_,,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030200382_,шт,2026-09-01,4.5,4.5,1.0,0.0,2.5,0.0,4.5,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
030200399_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
030201459_,шт,2026-09-01,4903.333333333333,4903.333333333333,1.0,0.0,2.0,0.0,4903.333333333333,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
030300013_,шт,2026-09-01,58.0,58.0,1.0,0.0,20.578947368419904,0.0,58.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
030300014_,шт,2026-09-01,111.7666621828678,106.57105491159194,1.0487525179851693,0.0,2.0,0.0,106.57105491159194,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
030300078_,шт,2026-09-01,5.0,5.0,1.0,0.0,1.5,0.0,5.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
130300026_,шт,2026-09-01,460.83861719795243,418.4037870552194,1.1014207601737902,0.0,2.0,0.0,418.4037870552194,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
130300027_,шт,2026-09-01,876.2291742518584,596.4083776377907,1.4691765023864365,0.0,2.0,0.0,596.4083776377907,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
130300028_,шт,2026-09-01,261.0,261.0,1.0,0.0,1.5,0.0,261.0,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
280300174_,шт,2026-09-01,1169.8971099394723,1008.4956731715483,1.1600417741608586,0.0,2.0,0.0,1008.4956731715483,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300100003_,шт,2026-09-01,5.625,5.625,1.0,0.0,23.125,0.0,5.625,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
300100004_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
300100006_,шт,2026-09-01,2.6666666666666665,2.6666666666666665,1.0,0.0,22.222222222222626,0.0,2.6666666666666665,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
300100012_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
300100015_,шт,2026-09-01,17.2,17.2,1.0,0.0,21.799999999999272,0.0,17.2,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history;all_known_history_stale,decomposition,SYSTEME
300100018_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
300200283_,шт,2026-09-01,51.10777727101642,56.773539041866286,0.9002041819751313,0.0,2.0,0.0,56.773539041866286,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200284_,шт,2026-09-01,50.27472451249615,51.97649604781489,0.9672588253399531,0.0,2.0,0.0,51.97649604781489,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200285_,шт,2026-09-01,,,1.0,0.0,,,,0.0,insufficient_history,,decomposition,SYSTEME
300200286_,шт,2026-09-01,5394.203964673943,5074.32723301365,1.0630382545254808,0.0,2.0,0.0,5074.32723301365,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200287_,шт,2026-09-01,3.0,3.0,1.0,0.0,1.5,0.0,3.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
300200288_,шт,2026-09-01,56.82590764317892,38.62589439647602,1.471186843206493,0.0,2.0,0.0,38.62589439647602,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200289_,шт,2026-09-01,152.7953516934931,135.3851628762322,1.128597465537469,-0.0,2.0,-0.0,135.3851628762322,0.0,forecast,,decomposition,SYSTEME
300200290_,шт,2026-09-01,4.0,4.0,1.0,0.0,2.0,0.0,4.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
300200291_,шт,2026-09-01,37.58872410686978,36.11416550988522,1.0408304767994971,0.0,2.0,0.0,36.11416550988522,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200292_,шт,2026-09-01,2.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
300200293_,шт,2026-09-01,174.98487092762898,161.99332428524545,1.0801980371703923,0.0,2.0,0.0,161.99332428524545,0.0,forecast,,decomposition,SYSTEME
300200294_,шт,2026-09-01,32.975753889452946,27.485112791856878,1.1997678211901972,0.0,2.0,0.0,27.485112791856878,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200295_,шт,2026-09-01,25.147835465487926,19.504111685206105,1.2893607189791982,0.0,2.0,0.0,19.504111685206105,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200296_,шт,2026-09-01,545.5687799117352,557.7581019141439,0.9781458629456448,0.0,2.0,0.0,557.7581019141439,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200297_,шт,2026-09-01,562.0367363898907,492.7912228724121,1.1405169376066726,0.0,2.0,0.0,492.7912228724121,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
300200298_,шт,2026-09-01,1082.3697896024596,1057.9597183954627,1.023072779409804,0.0,2.0,0.0,1057.9597183954627,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
