sku,unit,target_month,predicted_qty,level_qty,seasonal_factor,trend_per_month,months_from_level_anchor,trend_contribution_qty,deseasonalized_forecast,damping,status,warnings,model,supplier_id
010400432_,шт,2026-09-01,3.5654025642190508,4.320527717749246,0.8252238608658728,0.0,2.0,0.0,4.320527717749246,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
010400433_,шт,2026-09-01,31.666666666666668,31.666666666666668,1.0,0.0,2.0,0.0,31.666666666666668,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,decomposition,SYSTEME
010400436_,шт,2026-09-01,20.114719947814194,17.438480069116192,1.1534674964842644,0.0,2.0,0.0,17.438480069116192,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
010400437_,шт,2026-09-01,41.719632649908284,29.697552305530902,1.4048172125666525,0.0,2.0,0.0,29.697552305530902,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
010400440_,шт,2026-09-01,14.605818566386574,15.089628481253646,0.9679375860400986,0.0,2.0,0.0,15.089628481253646,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
010400441_,шт,2026-09-01,12.451567249628686,15.289385061007392,0.8143929399347781,-0.0,2.0,-0.0,15.289385061007392,0.0,forecast,,decomposition,SYSTEME
010400444_,шт,2026-09-01,39.55974962228634,35.06251020280806,1.128263475531712,-0.0,2.0,-0.0,35.06251020280806,0.0,forecast,,decomposition,SYSTEME
010400445_,шт,2026-09-01,24.121699655651387,19.501048916427504,1.2369437028246972,0.0,2.0,0.0,19.501048916427504,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
010400447_,шт,2026-09-01,30.052993551950095,30.316434132094127,0.9913103045366031,0.0,2.0,0.0,30.316434132094127,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
010400448_,шт,2026-09-01,16.615585051781338,15.855635764704395,1.047929285104331,0.0,2.0,0.0,15.855635764704395,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
020100158_,шт,2026-09-01,295.33634034417696,234.79257000142255,1.2578606739659077,0.0,2.0,0.0,234.79257000142255,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
020100159_,шт,2026-09-01,8.5,8.5,1.0,0.0,2.5,0.0,8.5,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
020100160_,шт,2026-09-01,133.37172899319486,136.55741067397403,0.9766714844323985,0.0,2.0,0.0,136.55741067397403,0.0,forecast,unstable_trend_disabled,decomposition,SYSTEME
020100161_,шт,2026-09-01,4.0,4.0,1.0,0.0,2.0,0.0,4.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,decomposition,SYSTEME
