sku,month_number,seasonal_factor,status,trained_before
010400432_,1,0.8354121808864158,estimated_from_past,2026-09-01
010400432_,2,0.5317561990607181,estimated_from_past,2026-09-01
010400432_,3,0.8368275861062624,estimated_from_past,2026-09-01
010400432_,4,0.9940879019577694,estimated_from_past,2026-09-01
010400432_,5,0.6922598646832654,estimated_from_past,2026-09-01
010400432_,6,1.235349480378939,estimated_from_past,2026-09-01
010400432_,7,1.6742639054724031,estimated_from_past,2026-09-01
010400432_,8,1.4336705491125163,estimated_from_past,2026-09-01
010400432_,9,0.8252238608658728,estimated_from_past,2026-09-01
010400432_,10,1.2960030924162274,estimated_from_past,2026-09-01
010400432_,11,0.8826910389621265,estimated_from_past,2026-09-01
010400432_,12,0.7624543400974825,estimated_from_past,2026-09-01
010400433_,1,1.0,insufficient_history,2026-09-01
010400433_,2,1.0,insufficient_history,2026-09-01
010400433_,3,1.0,insufficient_history,2026-09-01
010400433_,4,1.0,insufficient_history,2026-09-01
010400433_,5,1.0,insufficient_history,2026-09-01
010400433_,6,1.0,insufficient_history,2026-09-01
010400433_,7,1.0,insufficient_history,2026-09-01
010400433_,8,1.0,insufficient_history,2026-09-01
010400433_,9,1.0,insufficient_history,2026-09-01
010400433_,10,1.0,insufficient_history,2026-09-01
010400433_,11,1.0,insufficient_history,2026-09-01
010400433_,12,1.0,insufficient_history,2026-09-01
010400436_,1,0.6251467414351413,estimated_from_past,2026-09-01
010400436_,2,0.5358844323692036,estimated_from_past,2026-09-01
010400436_,3,0.6094898068431835,estimated_from_past,2026-09-01
010400436_,4,1.083115646202093,estimated_from_past,2026-09-01
010400436_,5,0.9345442372027241,estimated_from_past,2026-09-01
010400436_,6,1.2186698566788003,estimated_from_past,2026-09-01
010400436_,7,1.4325609002694124,estimated_from_past,2026-09-01
010400436_,8,0.9212674267941305,estimated_from_past,2026-09-01
010400436_,9,1.1534674964842644,estimated_from_past,2026-09-01
010400436_,10,1.4241533040572896,estimated_from_past,2026-09-01
010400436_,11,1.2391438242386543,estimated_from_past,2026-09-01
010400436_,12,0.8225563274251015,estimated_from_past,2026-09-01
010400437_,1,0.8206261203409788,estimated_from_past,2026-09-01
010400437_,2,0.7737682190607714,estimated_from_past,2026-09-01
010400437_,3,0.5805238825557588,estimated_from_past,2026-09-01
010400437_,4,0.6948998222522763,estimated_from_past,2026-09-01
010400437_,5,1.0461125957316535,estimated_from_past,2026-09-01
010400437_,6,0.9194325144208163,estimated_from_past,2026-09-01
010400437_,7,1.3168765385313268,estimated_from_past,2026-09-01
010400437_,8,1.1491729306624172,estimated_from_past,2026-09-01
010400437_,9,1.4048172125666525,estimated_from_past,2026-09-01
010400437_,10,1.3208209254661853,estimated_from_past,2026-09-01
010400437_,11,1.18758757956644,estimated_from_past,2026-09-01
010400437_,12,0.7853616588447235,estimated_from_past,2026-09-01
010400440_,1,0.8633217840198101,estimated_from_past,2026-09-01
010400440_,2,0.8511564239417387,estimated_from_past,2026-09-01
010400440_,3,0.5525440835221935,estimated_from_past,2026-09-01
010400440_,4,1.2446302634835076,estimated_from_past,2026-09-01
010400440_,5,1.2232915931154946,estimated_from_past,2026-09-01
010400440_,6,1.0223137753557263,estimated_from_past,2026-09-01
010400440_,7,1.0391376151012068,estimated_from_past,2026-09-01
010400440_,8,1.2179684288045607,estimated_from_past,2026-09-01
010400440_,9,0.9679375860400986,estimated_from_past,2026-09-01
010400440_,10,1.1724743185419388,estimated_from_past,2026-09-01
010400440_,11,0.986673001066168,estimated_from_past,2026-09-01
010400440_,12,0.8585511270075575,estimated_from_past,2026-09-01
010400441_,1,1.0119707874167578,estimated_from_past,2026-09-01
010400441_,2,0.8670935299852414,estimated_from_past,2026-09-01
010400441_,3,0.7397262941467534,estimated_from_past,2026-09-01
010400441_,4,0.872957819000243,estimated_from_past,2026-09-01
010400441_,5,0.9173010112784279,estimated_from_past,2026-09-01
010400441_,6,0.8243978135060667,estimated_from_past,2026-09-01
010400441_,7,1.0815307850017628,estimated_from_past,2026-09-01
010400441_,8,1.1171956648559804,estimated_from_past,2026-09-01
010400441_,9,0.8143929399347781,estimated_from_past,2026-09-01
010400441_,10,1.574216601105284,estimated_from_past,2026-09-01
010400441_,11,0.9236760484647344,estimated_from_past,2026-09-01
010400441_,12,1.255540705303969,estimated_from_past,2026-09-01
010400444_,1,0.7281788748424204,estimated_from_past,2026-09-01
010400444_,2,0.8107179888296474,estimated_from_past,2026-09-01
010400444_,3,0.542941662503162,estimated_from_past,2026-09-01
010400444_,4,1.0937084463478766,estimated_from_past,2026-09-01
010400444_,5,1.0624058687674192,estimated_from_past,2026-09-01
010400444_,6,1.1811194751206475,estimated_from_past,2026-09-01
010400444_,7,1.1681310962904436,estimated_from_past,2026-09-01
010400444_,8,1.2757945193063056,estimated_from_past,2026-09-01
010400444_,9,1.128263475531712,estimated_from_past,2026-09-01
010400444_,10,1.092259703430532,estimated_from_past,2026-09-01
010400444_,11,0.9845298503954765,estimated_from_past,2026-09-01
010400444_,12,0.9319490386343586,estimated_from_past,2026-09-01
010400445_,1,0.8596289292356057,estimated_from_past,2026-09-01
010400445_,2,0.5681552386849125,estimated_from_past,2026-09-01
010400445_,3,0.8018696822240363,estimated_from_past,2026-09-01
010400445_,4,0.9966400976996693,estimated_from_past,2026-09-01
010400445_,5,0.9125110396181153,estimated_from_past,2026-09-01
010400445_,6,0.8266647158250822,estimated_from_past,2026-09-01
010400445_,7,0.9045270342036744,estimated_from_past,2026-09-01
010400445_,8,1.1300040260135613,estimated_from_past,2026-09-01
010400445_,9,1.2369437028246972,estimated_from_past,2026-09-01
010400445_,10,1.601683694507715,estimated_from_past,2026-09-01
010400445_,11,1.1896229753847534,estimated_from_past,2026-09-01
010400445_,12,0.9717488637781766,estimated_from_past,2026-09-01
010400447_,1,0.7182636683806986,estimated_from_past,2026-09-01
010400447_,2,0.8551060994985514,estimated_from_past,2026-09-01
010400447_,3,0.8612064510035824,estimated_from_past,2026-09-01
010400447_,4,1.0906052502047783,estimated_from_past,2026-09-01
010400447_,5,1.0628597964079456,estimated_from_past,2026-09-01
010400447_,6,0.9862253184200374,estimated_from_past,2026-09-01
010400447_,7,1.257879504574653,estimated_from_past,2026-09-01
010400447_,8,1.2072016394631442,estimated_from_past,2026-09-01
010400447_,9,0.9913103045366031,estimated_from_past,2026-09-01
010400447_,10,1.125487433876048,estimated_from_past,2026-09-01
010400447_,11,0.9402460618513419,estimated_from_past,2026-09-01
010400447_,12,0.9036084717826168,estimated_from_past,2026-09-01
010400448_,1,0.7893919310112752,estimated_from_past,2026-09-01
010400448_,2,0.6019862648575234,estimated_from_past,2026-09-01
010400448_,3,0.7391565528274492,estimated_from_past,2026-09-01
010400448_,4,0.9685723286211468,estimated_from_past,2026-09-01
010400448_,5,0.9976095260323037,estimated_from_past,2026-09-01
010400448_,6,1.0316949888043523,estimated_from_past,2026-09-01
010400448_,7,1.0899762555575492,estimated_from_past,2026-09-01
010400448_,8,1.1405947553587794,estimated_from_past,2026-09-01
010400448_,9,1.047929285104331,estimated_from_past,2026-09-01
010400448_,10,1.253651730041044,estimated_from_past,2026-09-01
010400448_,11,1.0083588379369886,estimated_from_past,2026-09-01
010400448_,12,1.3310775438472602,estimated_from_past,2026-09-01
020100158_,1,0.729012906839694,estimated_from_past,2026-09-01
020100158_,2,0.8506282547319791,estimated_from_past,2026-09-01
020100158_,3,0.9550930545562922,estimated_from_past,2026-09-01
