source,row,column,product_code,issue,value
sales,1219,O,120100060_,negative_quantity_preserved,-1
sales,1226,N,120100088_,negative_quantity_preserved,-1
sales,1232,M,120100089_,negative_quantity_preserved,-1
sales,1238,AB,120100308_,negative_quantity_preserved,-1
sales,1280,AC,081100702_,negative_quantity_preserved,-5
sales,1282,N,081100705_,negative_quantity_preserved,-2
sales,1283,AE,081100707_,negative_quantity_preserved,-9
sales,1284,R,081100708_,negative_quantity_preserved,-3
sales,1287,U,081100712_,negative_quantity_preserved,-1
sales,1289,AB,081100711_,negative_quantity_preserved,-15
sales,1294,M,081100717_,negative_quantity_preserved,-2
sales,1299,K,081100722_,negative_quantity_preserved,-5
sales,1301,AE,081100642_,negative_quantity_preserved,-4
sales,1362,O,130301099_,negative_quantity_preserved,-1
sales,1448,Q,020100004_,negative_quantity_preserved,-4
sales,1448,Y,020100004_,negative_quantity_preserved,-9
sales,1451,S,020100007_,negative_quantity_preserved,-2
sales,1482,K,280200050_,negative_quantity_preserved,-1
sales,1490,AI,280200057_,negative_quantity_preserved,-7
sales,1500,W,280300056_,negative_quantity_preserved,-5
sales,1514,P,280100446_,negative_quantity_preserved,-4
sales,1520,AE,030200952_,negative_quantity_preserved,-7
sales,1593,X,030200559_,negative_quantity_preserved,-5
sales,1598,AC,030200468_,negative_quantity_preserved,-2
sales,1604,P,030200560_,negative_quantity_preserved,-10
sales,1610,AE,030200417_,negative_quantity_preserved,-20
sales,1615,P,030200561_,negative_quantity_preserved,-2
sales,1616,AE,030200510_,negative_quantity_preserved,-40
sales,1620,AE,030200418_,negative_quantity_preserved,-36
sales,1623,V,030200483_,negative_quantity_preserved,-52
sales,1626,X,030200511_,negative_quantity_preserved,-2
sales,1626,AE,030200511_,negative_quantity_preserved,-40
sales,1633,V,030200748_,negative_quantity_preserved,-54
sales,1634,X,030200789_,negative_quantity_preserved,-1
sales,1635,X,030200757_,negative_quantity_preserved,-10
sales,1636,AE,030200758_,negative_quantity_preserved,-14
sales,1640,AI,280100139_,negative_quantity_preserved,-6
sales,1649,AF,280300403_,negative_quantity_preserved,-9
sales,1656,X,280300402_,negative_quantity_preserved,-28
sales,1658,D,280300399_,negative_quantity_preserved,-4
sales,1672,E,130600125_,negative_quantity_preserved,-1
sales,1700,Z,010400934_,negative_quantity_preserved,-1
sales,1717,AC,130600027_,negative_quantity_preserved,-1
sales,1735,J,030200879_,negative_quantity_preserved,-9
sales,1743,V,030200542_,negative_quantity_preserved,-39
sales,1743,W,030200542_,negative_quantity_preserved,-18
sales,1749,AG,030201022_,negative_quantity_preserved,-12
sales,1751,R,030200565_,negative_quantity_preserved,-34
sales,1752,R,030200931_,negative_quantity_preserved,-2
sales,1754,O,030200782_,negative_quantity_preserved,-113
sales,1754,AF,030200782_,negative_quantity_preserved,-15
sales,1755,V,030200785_,negative_quantity_preserved,-4
sales,1756,AF,030200989_,negative_quantity_preserved,-14
sales,1759,V,030200520_,negative_quantity_preserved,-1
sales,1780,L,030200479_,negative_quantity_preserved,-25
sales,1797,AA,030200462_,negative_quantity_preserved,-4
sales,1798,M,030200746_,negative_quantity_preserved,-10
sales,1801,Q,030200742_,negative_quantity_preserved,-2
sales,1802,J,030200745_,negative_quantity_preserved,-10
sales,1804,O,030200917_,negative_quantity_preserved,-1
sales,1805,Y,030200918_,negative_quantity_preserved,-2
sales,1807,F,030200568_,negative_quantity_preserved,-1
sales,1815,X,030200527_,negative_quantity_preserved,-5
sales,1829,P,030200555_,negative_quantity_preserved,-2
sales,1829,R,030200555_,negative_quantity_preserved,-1
sales,1830,X,030200504_,negative_quantity_preserved,-4
sales,1834,N,030200990_,negative_quantity_preserved,-7
sales,1859,K,030200925_,negative_quantity_preserved,-1
sales,1859,V,030200925_,negative_quantity_preserved,-37
sales,1860,X,030200924_,negative_quantity_preserved,-12
sales,1861,H,030200926_,negative_quantity_preserved,-100
sales,1871,G,ярп40255,negative_quantity_preserved,-14
sales,1871,P,ярп40255,negative_quantity_preserved,-3
sales,1873,K,030200875_,negative_quantity_preserved,-11
sales,1873,V,030200875_,negative_quantity_preserved,-14
sales,1904,L,081100769_,negative_quantity_preserved,-11
sales,1904,AI,081100769_,negative_quantity_preserved,-1
sales,1905,AA,081100749_,negative_quantity_preserved,-2
sales,1907,G,081100750_,negative_quantity_preserved,-8
sales,1911,N,150101182_,negative_quantity_preserved,-1
sales,1937,O,150101179_,negative_quantity_preserved,-1
sales,1948,W,080800136_,negative_quantity_preserved,-2
sales,1951,W,080800129_,negative_quantity_preserved,-1
sales,1962,H,030200885_,negative_quantity_preserved,-91
sales,1971,K,130300090_,negative_quantity_preserved,-1
sales,1981,T,280100137_,negative_quantity_preserved,-12
sales,1993,AF,280100398_,negative_quantity_preserved,-60
sales,2002,N,011100354_,negative_quantity_preserved,-1
sales,2015,Q,020100019_,negative_quantity_preserved,-4
sales,2018,C,020100022_,negative_quantity_preserved,-1
sales,2039,AI,280200073_,negative_quantity_preserved,-4
sales,2073,AG,030200956_,negative_quantity_preserved,-3
sales,2079,V,130200444_,negative_quantity_preserved,-1
sales,2093,P,ст-9949056,negative_quantity_preserved,-6
sales,2097,O,270300132_,negative_quantity_preserved,-9
sales,2098,Q,270300113_,negative_quantity_preserved,-3
sales,2157,K,010700170_,negative_quantity_preserved,-4
sales,2162,P,010700162_,negative_quantity_preserved,-1
sales,2163,AG,010700163_,negative_quantity_preserved,-3
sales,2164,K,010700164_,negative_quantity_preserved,-2
sales,2180,AH,270300305_,negative_quantity_preserved,-1
sales,2189,E,270300295_,negative_quantity_preserved,-10
sales,2206,D,130200136_,negative_quantity_preserved,-5
sales,2218,I,130200120_,negative_quantity_preserved,-32
sales,2334,D,250600181_,negative_quantity_preserved,-16
sales,2355,X,250600185_,negative_quantity_preserved,-1
sales,2359,T,250600287_,negative_quantity_preserved,-1
sales,2361,G,250600186_,negative_quantity_preserved,-3
sales,2395,F,280300589_,negative_quantity_preserved,-14
sales,2445,AD,250200023_,negative_quantity_preserved,-1
sales,2456,M,250200005_,negative_quantity_preserved,-1
sales,2462,Y,270300253_,negative_quantity_preserved,-1
