source,row,column,product_code,issue,value
stock,689,L,250600087_,negative_quantity_preserved,-5
stock,689,R,250600087_,negative_quantity_preserved,-5
stock,689,AA,250600087_,negative_quantity_preserved,-2
stock,689,AE,250600087_,negative_quantity_preserved,-4
stock,1925,G,280100140_,negative_quantity_preserved,-1
sales,20,AB,010700031_,negative_quantity_preserved,-1
sales,52,R,280300229_,negative_quantity_preserved,-1
sales,112,AB,280300035_,negative_quantity_preserved,-57
sales,124,F,280300088_,negative_quantity_preserved,-3
sales,151,AA,030201067_,negative_quantity_preserved,-19
sales,173,K,030200848_,negative_quantity_preserved,-5
sales,173,R,030200848_,negative_quantity_preserved,-10
sales,174,L,030200847_,negative_quantity_preserved,-36
sales,175,R,030200855_,negative_quantity_preserved,-2
sales,176,S,030200864_,negative_quantity_preserved,-2
sales,177,R,030200865_,negative_quantity_preserved,-2
sales,178,P,030200863_,negative_quantity_preserved,-22
sales,178,R,030200863_,negative_quantity_preserved,-5
sales,179,K,030200866_,negative_quantity_preserved,-3
sales,179,R,030200866_,negative_quantity_preserved,-5
sales,180,K,030200856_,negative_quantity_preserved,-11
sales,180,R,030200856_,negative_quantity_preserved,-4
sales,182,AA,030201075_,negative_quantity_preserved,-4
sales,200,Y,030201106_,negative_quantity_preserved,-23
sales,204,K,030200850_,negative_quantity_preserved,-17
sales,204,R,030200850_,negative_quantity_preserved,-5
sales,206,K,030200857_,negative_quantity_preserved,-11
sales,207,S,030200894_,negative_quantity_preserved,-1
sales,208,Q,030200895_,negative_quantity_preserved,-2
sales,208,R,030200895_,negative_quantity_preserved,-4
sales,208,AC,030200895_,negative_quantity_preserved,-2
sales,209,K,030200893_,negative_quantity_preserved,-4
sales,209,M,030200893_,negative_quantity_preserved,-4
sales,209,R,030200893_,negative_quantity_preserved,-5
sales,210,K,030200896_,negative_quantity_preserved,-10
sales,210,R,030200896_,negative_quantity_preserved,-4
sales,211,K,030200858_,negative_quantity_preserved,-17
sales,211,R,030200858_,negative_quantity_preserved,-2
sales,213,AA,030201083_,negative_quantity_preserved,-1
sales,220,V,030201036_,negative_quantity_preserved,-1
sales,233,K,030200852_,negative_quantity_preserved,-10
sales,233,R,030200852_,negative_quantity_preserved,-3
sales,234,K,030200851_,negative_quantity_preserved,-3
sales,235,R,030200859_,negative_quantity_preserved,-4
sales,236,W,030200898_,negative_quantity_preserved,-2
sales,237,R,030200899_,negative_quantity_preserved,-3
sales,238,K,030200897_,negative_quantity_preserved,-3
sales,239,K,030200900_,negative_quantity_preserved,-10
sales,239,R,030200900_,negative_quantity_preserved,-3
sales,240,K,030200860_,negative_quantity_preserved,-6
sales,240,R,030200860_,negative_quantity_preserved,-4
sales,261,K,030200854_,negative_quantity_preserved,-5
sales,262,K,030200853_,negative_quantity_preserved,-1
sales,262,R,030200853_,negative_quantity_preserved,-1
sales,263,K,030200861_,negative_quantity_preserved,-3
sales,263,R,030200861_,negative_quantity_preserved,-2
sales,264,R,030200902_,negative_quantity_preserved,-2
sales,265,R,030200903_,negative_quantity_preserved,-3
sales,266,K,030200901_,negative_quantity_preserved,-2
sales,266,R,030200901_,negative_quantity_preserved,-3
sales,267,K,030200904_,negative_quantity_preserved,-5
sales,267,R,030200904_,negative_quantity_preserved,-3
sales,268,K,030200862_,negative_quantity_preserved,-4
sales,268,R,030200862_,negative_quantity_preserved,-3
sales,321,S,150101103_,negative_quantity_preserved,-5
sales,338,Y,010300096_,negative_quantity_preserved,-31
sales,357,AI,010300006_,negative_quantity_preserved,-4
sales,392,F,240100028_,negative_quantity_preserved,-69
sales,432,M,270300007_,negative_quantity_preserved,-1
sales,434,D,010700134_,negative_quantity_preserved,-1
sales,448,D,010700148_,negative_quantity_preserved,-1
sales,474,P,030200564_,negative_quantity_preserved,-7
sales,522,V,280300232_,negative_quantity_preserved,-3
sales,524,T,280300236_,negative_quantity_preserved,-3
sales,533,M,081100289_,negative_quantity_preserved,-1
sales,552,AG,280300741_,negative_quantity_preserved,-1
sales,563,X,010800062_,negative_quantity_preserved,-20
sales,613,U,130200423_,negative_quantity_preserved,-1
sales,690,I,010500103_,negative_quantity_preserved,-164
sales,699,O,010500046_,negative_quantity_preserved,-20
sales,713,C,010500034_,negative_quantity_preserved,-42
sales,738,L,270300288_,negative_quantity_preserved,-1
sales,756,AC,280200034_,negative_quantity_preserved,-2
sales,784,AE,030200777_,negative_quantity_preserved,-20
sales,785,Z,030200776_,negative_quantity_preserved,-1
sales,786,K,030200779_,negative_quantity_preserved,-9
sales,786,V,030200779_,negative_quantity_preserved,-18
sales,787,M,030200778_,negative_quantity_preserved,-2
sales,787,AE,030200778_,negative_quantity_preserved,-21
sales,803,M,030200412_,negative_quantity_preserved,-2
sales,803,AE,030200412_,negative_quantity_preserved,-6
sales,815,O,030200874_,negative_quantity_preserved,-10
sales,815,V,030200874_,negative_quantity_preserved,-20
sales,816,M,030200876_,negative_quantity_preserved,-2
sales,822,V,030200473_,negative_quantity_preserved,-6
sales,825,W,030200501_,negative_quantity_preserved,-14
sales,825,X,030200501_,negative_quantity_preserved,-18
sales,828,E,030200436_,negative_quantity_preserved,-9
sales,851,V,030200484_,negative_quantity_preserved,-11
sales,854,W,030200512_,negative_quantity_preserved,-6
sales,854,X,030200512_,negative_quantity_preserved,-6
sales,854,AE,030200512_,negative_quantity_preserved,-10
sales,856,H,030200498_,negative_quantity_preserved,-6
sales,856,AA,030200498_,negative_quantity_preserved,-39
sales,858,M,030200419_,negative_quantity_preserved,-16
sales,858,AC,030200419_,negative_quantity_preserved,-1
sales,858,AE,030200419_,negative_quantity_preserved,-10
sales,861,V,030200475_,negative_quantity_preserved,-2
sales,863,R,030200554_,negative_quantity_preserved,-1
sales,864,X,030200503_,negative_quantity_preserved,-19
sales,867,E,030200438_,negative_quantity_preserved,-3
sales,868,M,030200410_,negative_quantity_preserved,-35
sales,870,AD,030200741_,negative_quantity_preserved,-2
sales,873,K,030200743_,negative_quantity_preserved,-4
sales,873,L,030200743_,negative_quantity_preserved,-12
sales,874,L,030200740_,negative_quantity_preserved,-30
sales,875,W,030200841_,negative_quantity_preserved,-6
sales,881,F,030200970_,negative_quantity_preserved,-1
sales,881,U,030200970_,negative_quantity_preserved,-17
sales,928,D,151000691_,negative_quantity_preserved,-4
sales,965,J,030200891_,negative_quantity_preserved,-14
sales,967,M,030200892_,negative_quantity_preserved,-5
sales,990,AG,280200080_,negative_quantity_preserved,-36
sales,1001,W,030200886_,negative_quantity_preserved,-2
sales,1010,N,130200020_,negative_quantity_preserved,-1
sales,1011,P,130200021_,negative_quantity_preserved,-35
sales,1017,AI,130300608_,negative_quantity_preserved,-24
sales,1027,C,130500004_,negative_quantity_preserved,-6
sales,1045,AI,280100123_,negative_quantity_preserved,-28
sales,1077,G,CKK10-025-016-1-K34_,negative_quantity_preserved,-10
sales,1111,AA,270300151_,negative_quantity_preserved,-32
sales,1120,C,290200030_,negative_quantity_preserved,-1
sales,1144,Q,130900031_,negative_quantity_preserved,-4
sales,1147,R,130900009_,negative_quantity_preserved,-10
