sku,source_as_of,free_stock_raw,quantity_status,warehouse,warehouse_confirmed,unit_conversion_confirmed
300200428_,2026-09-22,1118.0,observed,,False,False
300200442_,2026-09-22,0.0,observed,,False,False
ATN000330,2026-09-22,0.0,observed,,False,False
300200430_,2026-09-22,76.0,observed,,False,False
300200588_,2026-09-22,260.0,observed,,False,False
300200443_,2026-09-22,64.0,observed,,False,False
300200432_,2026-09-22,89.0,observed,,False,False
300200589_,2026-09-22,92.0,observed,,False,False
300200444_,2026-09-22,40.0,observed,,False,False
300200449_,2026-09-22,53.0,observed,,False,False
300200433_,2026-09-22,78.0,observed,,False,False
300200439_,2026-09-22,40.0,observed,,False,False
300200451_,2026-09-22,7.0,observed,,False,False
300200448_,2026-09-22,85.0,observed,,False,False
300200774_,2026-09-22,74.0,observed,,False,False
300200436_,2026-09-22,176.0,observed,,False,False
300200431_,2026-09-22,56.0,observed,,False,False
300200452_,2026-09-22,8.0,observed,,False,False
300200434_,2026-09-22,37.0,observed,,False,False
300200429_,2026-09-22,46.0,observed,,False,False
300200632_,2026-09-22,119.0,observed,,False,False
300200441_,2026-09-22,18.0,observed,,False,False
300200450_,2026-09-22,92.0,observed,,False,False
300200435_,2026-09-22,652.0,observed,,False,False
300200437_,2026-09-22,155.0,observed,,False,False
300200438_,2026-09-22,123.0,observed,,False,False
300200440_,2026-09-22,58.0,observed,,False,False
300200445_,2026-09-22,73.0,observed,,False,False
300200446_,2026-09-22,115.0,observed,,False,False
300200474_,2026-09-22,27.0,observed,,False,False
300200627_,2026-09-22,9.0,observed,,False,False
300200564_,2026-09-22,151.0,observed,,False,False
300200565_,2026-09-22,50.0,observed,,False,False
300200590_,2026-09-22,68.0,observed,,False,False
300200566_,2026-09-22,73.0,observed,,False,False
300200567_,2026-09-22,82.0,observed,,False,False
300200591_,2026-09-22,24.0,observed,,False,False
300200568_,2026-09-22,64.0,observed,,False,False
300200569_,2026-09-22,40.0,observed,,False,False
300200570_,2026-09-22,10.0,observed,,False,False
300200571_,2026-09-22,16.0,observed,,False,False
300200572_,2026-09-22,6.0,observed,,False,False
300200573_,2026-09-22,51.0,observed,,False,False
300200574_,2026-09-22,108.0,observed,,False,False
300200575_,2026-09-22,18.0,observed,,False,False
300200511_,2026-09-22,6.0,observed,,False,False
300200578_,2026-09-22,179.0,observed,,False,False
300200576_,2026-09-22,45.0,observed,,False,False
300200776_,2026-09-22,130.0,observed,,False,False
300200577_,2026-09-22,37.0,observed,,False,False
300200579_,2026-09-22,158.0,observed,,False,False
300200580_,2026-09-22,4.0,observed,,False,False
300200581_,2026-09-22,10.0,observed,,False,False
300200582_,2026-09-22,13.0,observed,,False,False
300200583_,2026-09-22,40.0,observed,,False,False
300200584_,2026-09-22,46.0,observed,,False,False
300200369_,2026-09-22,3.0,observed,,False,False
300200371_,2026-09-22,94.0,observed,,False,False
300200362_,2026-09-22,44.0,observed,,False,False
300200420_,2026-09-22,16.0,observed,,False,False
300200375_,2026-09-22,56.0,observed,,False,False
300200422_,2026-09-22,15.0,observed,,False,False
300200363_,2026-09-22,35.0,observed,,False,False
300200368_,2026-09-22,32.0,observed,,False,False
300200367_,2026-09-22,2.0,observed,,False,False
300200426_,2026-09-22,23.0,observed,,False,False
300200424_,2026-09-22,65.0,observed,,False,False
300200372_,2026-09-22,73.0,observed,,False,False
300200373_,2026-09-22,49.0,observed,,False,False
300200427_,2026-09-22,20.0,observed,,False,False
300200418_,2026-09-22,22.0,observed,,False,False
300200365_,2026-09-22,318.0,observed,,False,False
300200364_,2026-09-22,75.0,observed,,False,False
300200374_,2026-09-22,71.0,observed,,False,False
300200370_,2026-09-22,44.0,observed,,False,False
300200425_,2026-09-22,27.0,observed,,False,False
300200376_,2026-09-22,269.0,observed,,False,False
300200377_,2026-09-22,100.0,observed,,False,False
300200378_,2026-09-22,29.0,observed,,False,False
300200379_,2026-09-22,20.0,observed,,False,False
300200380_,2026-09-22,24.0,observed,,False,False
300200421_,2026-09-22,37.0,observed,,False,False
300200366_,2026-09-22,99.0,observed,,False,False
ATN000446,2026-09-22,16.0,observed,,False,False
300200718_,2026-09-22,599.0,observed,,False,False
300200719_,2026-09-22,61.0,observed,,False,False
300200720_,2026-09-22,3.0,observed,,False,False
300200721_,2026-09-22,9.0,observed,,False,False
300200722_,2026-09-22,8.0,observed,,False,False
300200777_,2026-09-22,71.0,observed,,False,False
300200723_,2026-09-22,6.0,observed,,False,False
300200724_,2026-09-22,7.0,observed,,False,False
300200725_,2026-09-22,32.0,observed,,False,False
300200726_,2026-09-22,66.0,observed,,False,False
300200727_,2026-09-22,5.0,observed,,False,False
300200728_,2026-09-22,13.0,observed,,False,False
300200729_,2026-09-22,58.0,observed,,False,False
300200730_,2026-09-22,65.0,observed,,False,False
300200731_,2026-09-22,6.0,observed,,False,False
300200732_,2026-09-22,0.0,observed,,False,False
300200778_,2026-09-22,71.0,observed,,False,False
300200733_,2026-09-22,13.0,observed,,False,False
300200734_,2026-09-22,3.0,observed,,False,False
300200735_,2026-09-22,523.0,observed,,False,False
300200736_,2026-09-22,189.0,observed,,False,False
300200737_,2026-09-22,67.0,observed,,False,False
300200738_,2026-09-22,29.0,observed,,False,False
300200739_,2026-09-22,4.0,observed,,False,False
300200740_,2026-09-22,35.0,observed,,False,False
300200741_,2026-09-22,103.0,observed,,False,False
300200520_,2026-09-22,461.0,observed,,False,False
300200521_,2026-09-22,30.0,observed,,False,False
300200594_,2026-09-22,81.0,observed,,False,False
300200522_,2026-09-22,9.0,observed,,False,False
300200523_,2026-09-22,48.0,observed,,False,False
300200524_,2026-09-22,2.0,observed,,False,False
300200525_,2026-09-22,39.0,observed,,False,False
300200526_,2026-09-22,42.0,observed,,False,False
300200527_,2026-09-22,275.0,observed,,False,False
300200528_,2026-09-22,27.0,observed,,False,False
300200529_,2026-09-22,68.0,observed,,False,False
300200530_,2026-09-22,27.0,observed,,False,False
300200531_,2026-09-22,8.0,observed,,False,False
300200532_,2026-09-22,8.0,observed,,False,False
300200533_,2026-09-22,24.0,observed,,False,False
300200534_,2026-09-22,6.0,observed,,False,False
300200535_,2026-09-22,4.0,observed,,False,False
300200536_,2026-09-22,237.0,observed,,False,False
300200537_,2026-09-22,108.0,observed,,False,False
300200538_,2026-09-22,28.0,observed,,False,False
300200539_,2026-09-22,61.0,observed,,False,False
300200540_,2026-09-22,74.0,observed,,False,False
300200541_,2026-09-22,60.0,observed,,False,False
300200595_,2026-09-22,350.0,observed,,False,False
300200623_,2026-09-22,156.0,observed,,False,False
300200622_,2026-09-22,57.0,observed,,False,False
300200542_,2026-09-22,1726.0,observed,,False,False
300200624_,2026-09-22,45.0,observed,,False,False
300200704_,2026-09-22,235.0,observed,,False,False
300200543_,2026-09-22,135.0,observed,,False,False
300200544_,2026-09-22,0.0,observed,,False,False
300200545_,2026-09-22,84.0,observed,,False,False
300200593_,2026-09-22,230.0,observed,,False,False
300200546_,2026-09-22,0.0,observed,,False,False
300200547_,2026-09-22,15.0,observed,,False,False
300200548_,2026-09-22,65.0,observed,,False,False
300200549_,2026-09-22,63.0,observed,,False,False
300200550_,2026-09-22,12.0,observed,,False,False
300200551_,2026-09-22,20.0,observed,,False,False
300200773_,2026-09-22,17.0,observed,,False,False
300200552_,2026-09-22,114.0,observed,,False,False
300200553_,2026-09-22,86.0,observed,,False,False
300200554_,2026-09-22,7.0,observed,,False,False
300200555_,2026-09-22,31.0,observed,,False,False
300200556_,2026-09-22,40.0,observed,,False,False
300200557_,2026-09-22,2.0,observed,,False,False
300200558_,2026-09-22,762.0,observed,,False,False
300200559_,2026-09-22,611.0,observed,,False,False
300200560_,2026-09-22,158.0,observed,,False,False
300200561_,2026-09-22,64.0,observed,,False,False
300200562_,2026-09-22,73.0,observed,,False,False
300200563_,2026-09-22,80.0,observed,,False,False
300200965_,2026-09-22,11.0,observed,,False,False
300200966_,2026-09-22,8.0,observed,,False,False
300200963_,2026-09-22,2.0,observed,,False,False
ATN000539,2026-09-22,0.0,observed,,False,False
300200592_,2026-09-22,207.0,observed,,False,False
300200331_,2026-09-22,3087.0,observed,,False,False
300200296_,2026-09-22,1090.0,observed,,False,False
300200283_,2026-09-22,134.0,observed,,False,False
300200302_,2026-09-22,449.0,observed,,False,False
300200333_,2026-09-22,1054.0,observed,,False,False
300200288_,2026-09-22,63.0,observed,,False,False
300200284_,2026-09-22,126.0,observed,,False,False
300200767_,2026-09-22,4.0,observed,,False,False
300200293_,2026-09-22,246.0,observed,,False,False
300200289_,2026-09-22,308.0,observed,,False,False
300200290_,2026-09-22,14.0,observed,,False,False
300200291_,2026-09-22,50.0,observed,,False,False
300200297_,2026-09-22,1009.0,observed,,False,False
300200298_,2026-09-22,2668.0,observed,,False,False
300200299_,2026-09-22,118.0,observed,,False,False
300200294_,2026-09-22,60.0,observed,,False,False
300200286_,2026-09-22,13536.0,observed,,False,False
300200332_,2026-09-22,1257.0,observed,,False,False
300200301_,2026-09-22,930.0,observed,,False,False
300200287_,2026-09-22,40.0,observed,,False,False
300200700_,2026-09-22,86.0,observed,,False,False
300200295_,2026-09-22,333.0,observed,,False,False
300200292_,2026-09-22,16.0,observed,,False,False
300200300_,2026-09-22,17.0,observed,,False,False
300200312_,2026-09-22,6.0,observed,,False,False
300200303_,2026-09-22,9434.0,observed,,False,False
300200304_,2026-09-22,2985.0,observed,,False,False
300200305_,2026-09-22,1385.0,observed,,False,False
300200306_,2026-09-22,247.0,observed,,False,False
300200307_,2026-09-22,86.0,observed,,False,False
300200310_,2026-09-22,54.0,observed,,False,False
300200586_,2026-09-22,6.0,observed,,False,False
300200311_,2026-09-22,86.0,observed,,False,False
300200308_,2026-09-22,60.0,observed,,False,False
300200309_,2026-09-22,33.0,observed,,False,False
300200498_,2026-09-22,217.0,observed,,False,False
ATN000108,2026-09-22,0.0,observed,,False,False
ATN000109,2026-09-22,7.0,observed,,False,False
300200771_,2026-09-22,32.0,observed,,False,False
300200959_,2026-09-22,46.0,observed,,False,False
300200496_,2026-09-22,54.0,observed,,False,False
300200961_,2026-09-22,10.0,observed,,False,False
300200343_,2026-09-22,3875.0,observed,,False,False
020100163_,2026-09-22,286.0,observed,,False,False
300200459_,2026-09-22,184.0,observed,,False,False
020100158_,2026-09-22,489.0,observed,,False,False
020100159_,2026-09-22,68.0,observed,,False,False
300200460_,2026-09-22,84.0,observed,,False,False
020100160_,2026-09-22,320.0,observed,,False,False
020100161_,2026-09-22,17.0,observed,,False,False
300200461_,2026-09-22,26.0,observed,,False,False
300200472_,2026-09-22,158.0,observed,,False,False
300200462_,2026-09-22,111.0,observed,,False,False
300200517_,2026-09-22,20.0,observed,,False,False
020100162_,2026-09-22,34.0,observed,,False,False
300200772_,2026-09-22,136.0,observed,,False,False
300200468_,2026-09-22,162.0,observed,,False,False
300200515_,2026-09-22,113.0,observed,,False,False
300200518_,2026-09-22,32.0,observed,,False,False
300200516_,2026-09-22,231.0,observed,,False,False
300200335_,2026-09-22,40.0,observed,,False,False
300200471_,2026-09-22,113.0,observed,,False,False
300200470_,2026-09-22,29.0,observed,,False,False
300200463_,2026-09-22,1397.0,observed,,False,False
300200464_,2026-09-22,887.0,observed,,False,False
300200465_,2026-09-22,457.0,observed,,False,False
300200466_,2026-09-22,298.0,observed,,False,False
300200467_,2026-09-22,36.0,observed,,False,False
300200519_,2026-09-22,54.0,observed,,False,False
300200775_,2026-09-22,12.0,observed,,False,False
300200781_,2026-09-22,14.0,observed,,False,False
300200780_,2026-09-22,63.0,observed,,False,False
300200779_,2026-09-22,50.0,observed,,False,False
300200782_,2026-09-22,167.0,observed,,False,False
300200783_,2026-09-22,13.0,observed,,False,False
300200964_,2026-09-22,17.0,observed,,False,False
030200375_,2026-09-22,35.0,observed,,False,False
300200962_,2026-09-22,4.0,observed,,False,False
300200749_,2026-09-22,77.0,observed,,False,False
300200750_,2026-09-22,34.0,observed,,False,False
300200751_,2026-09-22,245.0,observed,,False,False
300200752_,2026-09-22,49.0,observed,,False,False
300200753_,2026-09-22,70.0,observed,,False,False
300200754_,2026-09-22,6.0,observed,,False,False
300200755_,2026-09-22,33.0,observed,,False,False
300200742_,2026-09-22,188.0,observed,,False,False
300200743_,2026-09-22,33.0,observed,,False,False
300200744_,2026-09-22,241.0,observed,,False,False
300200745_,2026-09-22,23.0,observed,,False,False
300200746_,2026-09-22,168.0,observed,,False,False
300200747_,2026-09-22,0.0,observed,,False,False
300200748_,2026-09-22,11.0,observed,,False,False
300200784_,2026-09-22,57.0,observed,,False,False
300200785_,2026-09-22,150.0,observed,,False,False
300200786_,2026-09-22,164.0,observed,,False,False
300200787_,2026-09-22,156.0,observed,,False,False
300200788_,2026-09-22,142.0,observed,,False,False
300200789_,2026-09-22,49.0,observed,,False,False
300200790_,2026-09-22,42.0,observed,,False,False
300200791_,2026-09-22,91.0,observed,,False,False
300200792_,2026-09-22,2.0,observed,,False,False
300200793_,2026-09-22,100.0,observed,,False,False
300200794_,2026-09-22,101.0,observed,,False,False
300200795_,2026-09-22,211.0,observed,,False,False
300200796_,2026-09-22,114.0,observed,,False,False
300200797_,2026-09-22,99.0,observed,,False,False
300200798_,2026-09-22,71.0,observed,,False,False
300200799_,2026-09-22,120.0,observed,,False,False
300200800_,2026-09-22,78.0,observed,,False,False
300200801_,2026-09-22,49.0,observed,,False,False
300200802_,2026-09-22,127.0,observed,,False,False
300200803_,2026-09-22,72.0,observed,,False,False
300200804_,2026-09-22,59.0,observed,,False,False
300200805_,2026-09-22,49.0,observed,,False,False
300200806_,2026-09-22,55.0,observed,,False,False
300200807_,2026-09-22,10.0,observed,,False,False
300200808_,2026-09-22,14.0,observed,,False,False
300200809_,2026-09-22,34.0,observed,,False,False
300200933_,2026-09-22,281.0,observed,,False,False
300200934_,2026-09-22,75.0,observed,,False,False
300200935_,2026-09-22,57.0,observed,,False,False
300200936_,2026-09-22,50.0,observed,,False,False
300200937_,2026-09-22,69.0,observed,,False,False
300200938_,2026-09-22,70.0,observed,,False,False
300200939_,2026-09-22,33.0,observed,,False,False
300200940_,2026-09-22,24.0,observed,,False,False
300200941_,2026-09-22,6.0,observed,,False,False
300200942_,2026-09-22,77.0,observed,,False,False
300200943_,2026-09-22,15.0,observed,,False,False
