sku,source_as_of,free_stock_raw,quantity_status,warehouse,warehouse_confirmed,unit_conversion_confirmed
300200944_,2026-09-22,56.0,observed,,False,False
300200945_,2026-09-22,165.0,observed,,False,False
300200946_,2026-09-22,91.0,observed,,False,False
300200947_,2026-09-22,25.0,observed,,False,False
300200948_,2026-09-22,17.0,observed,,False,False
300200949_,2026-09-22,41.0,observed,,False,False
300200950_,2026-09-22,29.0,observed,,False,False
300200951_,2026-09-22,3.0,observed,,False,False
300200952_,2026-09-22,27.0,observed,,False,False
300200953_,2026-09-22,10.0,observed,,False,False
300200954_,2026-09-22,20.0,observed,,False,False
300200955_,2026-09-22,15.0,observed,,False,False
300200833_,2026-09-22,686.0,observed,,False,False
300200834_,2026-09-22,100.0,observed,,False,False
300200835_,2026-09-22,147.0,observed,,False,False
300200836_,2026-09-22,102.0,observed,,False,False
300200837_,2026-09-22,4.0,observed,,False,False
300200838_,2026-09-22,33.0,observed,,False,False
300200839_,2026-09-22,85.0,observed,,False,False
300200840_,2026-09-22,153.0,observed,,False,False
300200841_,2026-09-22,24.0,observed,,False,False
300200842_,2026-09-22,558.0,observed,,False,False
300200843_,2026-09-22,386.0,observed,,False,False
300200844_,2026-09-22,65.0,observed,,False,False
300200845_,2026-09-22,205.0,observed,,False,False
300200846_,2026-09-22,1202.0,observed,,False,False
300200847_,2026-09-22,493.0,observed,,False,False
300200848_,2026-09-22,281.0,observed,,False,False
300200849_,2026-09-22,104.0,observed,,False,False
300200850_,2026-09-22,150.0,observed,,False,False
300200851_,2026-09-22,9.0,observed,,False,False
300200852_,2026-09-22,96.0,observed,,False,False
300200853_,2026-09-22,16.0,observed,,False,False
300200854_,2026-09-22,119.0,observed,,False,False
300200855_,2026-09-22,7.0,observed,,False,False
300200882_,2026-09-22,40.0,observed,,False,False
300200883_,2026-09-22,82.0,observed,,False,False
300200884_,2026-09-22,32.0,observed,,False,False
300200885_,2026-09-22,40.0,observed,,False,False
300200886_,2026-09-22,46.0,observed,,False,False
300200856_,2026-09-22,297.0,observed,,False,False
300200857_,2026-09-22,90.0,observed,,False,False
300200858_,2026-09-22,95.0,observed,,False,False
300200859_,2026-09-22,113.0,observed,,False,False
300200860_,2026-09-22,121.0,observed,,False,False
300200861_,2026-09-22,41.0,observed,,False,False
300200862_,2026-09-22,57.0,observed,,False,False
300200863_,2026-09-22,89.0,observed,,False,False
300200864_,2026-09-22,44.0,observed,,False,False
300200865_,2026-09-22,48.0,observed,,False,False
300200866_,2026-09-22,97.0,observed,,False,False
300200867_,2026-09-22,41.0,observed,,False,False
300200868_,2026-09-22,289.0,observed,,False,False
300200869_,2026-09-22,76.0,observed,,False,False
300200870_,2026-09-22,33.0,observed,,False,False
300200871_,2026-09-22,36.0,observed,,False,False
300200872_,2026-09-22,123.0,observed,,False,False
300200873_,2026-09-22,28.0,observed,,False,False
300200874_,2026-09-22,8.0,observed,,False,False
300200875_,2026-09-22,72.0,observed,,False,False
300200876_,2026-09-22,141.0,observed,,False,False
300200877_,2026-09-22,36.0,observed,,False,False
300200878_,2026-09-22,10.0,observed,,False,False
300200879_,2026-09-22,56.0,observed,,False,False
300200880_,2026-09-22,72.0,observed,,False,False
300200881_,2026-09-22,3.0,observed,,False,False
300200910_,2026-09-22,152.0,observed,,False,False
300200911_,2026-09-22,44.0,observed,,False,False
300200912_,2026-09-22,34.0,observed,,False,False
300200913_,2026-09-22,99.0,observed,,False,False
300200914_,2026-09-22,54.0,observed,,False,False
300200915_,2026-09-22,108.0,observed,,False,False
300200916_,2026-09-22,27.0,observed,,False,False
300200917_,2026-09-22,47.0,observed,,False,False
300200918_,2026-09-22,64.0,observed,,False,False
300200919_,2026-09-22,4.0,observed,,False,False
300200920_,2026-09-22,49.0,observed,,False,False
300200921_,2026-09-22,97.0,observed,,False,False
300200922_,2026-09-22,52.0,observed,,False,False
300200923_,2026-09-22,36.0,observed,,False,False
300200924_,2026-09-22,26.0,observed,,False,False
300200925_,2026-09-22,79.0,observed,,False,False
300200926_,2026-09-22,8.0,observed,,False,False
300200927_,2026-09-22,18.0,observed,,False,False
300200928_,2026-09-22,28.0,observed,,False,False
300200929_,2026-09-22,43.0,observed,,False,False
300200930_,2026-09-22,17.0,observed,,False,False
300200931_,2026-09-22,5.0,observed,,False,False
300200932_,2026-09-22,72.0,observed,,False,False
300200887_,2026-09-22,158.0,observed,,False,False
300200888_,2026-09-22,36.0,observed,,False,False
300200889_,2026-09-22,40.0,observed,,False,False
300200890_,2026-09-22,22.0,observed,,False,False
300200891_,2026-09-22,36.0,observed,,False,False
300200892_,2026-09-22,21.0,observed,,False,False
300200893_,2026-09-22,24.0,observed,,False,False
300200894_,2026-09-22,13.0,observed,,False,False
300200895_,2026-09-22,13.0,observed,,False,False
300200896_,2026-09-22,28.0,observed,,False,False
300200897_,2026-09-22,62.0,observed,,False,False
300200898_,2026-09-22,88.0,observed,,False,False
300200899_,2026-09-22,47.0,observed,,False,False
300200900_,2026-09-22,30.0,observed,,False,False
300200901_,2026-09-22,27.0,observed,,False,False
300200902_,2026-09-22,61.0,observed,,False,False
300200903_,2026-09-22,43.0,observed,,False,False
300200904_,2026-09-22,45.0,observed,,False,False
300200905_,2026-09-22,35.0,observed,,False,False
300200906_,2026-09-22,47.0,observed,,False,False
300200907_,2026-09-22,12.0,observed,,False,False
300200908_,2026-09-22,3.0,observed,,False,False
300200909_,2026-09-22,43.0,observed,,False,False
300200810_,2026-09-22,417.0,observed,,False,False
300200811_,2026-09-22,18.0,observed,,False,False
300200812_,2026-09-22,101.0,observed,,False,False
300200813_,2026-09-22,158.0,observed,,False,False
300200814_,2026-09-22,61.0,observed,,False,False
300200815_,2026-09-22,102.0,observed,,False,False
300200816_,2026-09-22,61.0,observed,,False,False
300200817_,2026-09-22,67.0,observed,,False,False
300200818_,2026-09-22,77.0,observed,,False,False
300200819_,2026-09-22,10.0,observed,,False,False
300200820_,2026-09-22,43.0,observed,,False,False
300200821_,2026-09-22,158.0,observed,,False,False
300200822_,2026-09-22,83.0,observed,,False,False
300200823_,2026-09-22,44.0,observed,,False,False
300200824_,2026-09-22,21.0,observed,,False,False
300200825_,2026-09-22,69.0,observed,,False,False
300200826_,2026-09-22,35.0,observed,,False,False
300200827_,2026-09-22,48.0,observed,,False,False
300200828_,2026-09-22,28.0,observed,,False,False
300200829_,2026-09-22,178.0,observed,,False,False
300200830_,2026-09-22,2.0,observed,,False,False
300200831_,2026-09-22,4.0,observed,,False,False
300200832_,2026-09-22,79.0,observed,,False,False
300201148_,2026-09-22,315.0,observed,,False,False
300201149_,2026-09-22,39.0,observed,,False,False
300201150_,2026-09-22,18.0,observed,,False,False
300201151_,2026-09-22,72.0,observed,,False,False
300201152_,2026-09-22,29.0,observed,,False,False
300201153_,2026-09-22,218.0,observed,,False,False
300201154_,2026-09-22,69.0,observed,,False,False
300201155_,2026-09-22,469.0,observed,,False,False
300200968_,2026-09-22,186.0,observed,,False,False
300200967_,2026-09-22,391.0,observed,,False,False
300200413_,2026-09-22,32.0,observed,,False,False
300200313_,2026-09-22,132.0,observed,,False,False
300200314_,2026-09-22,125.0,observed,,False,False
300200315_,2026-09-22,110.0,observed,,False,False
300200316_,2026-09-22,0.0,observed,,False,False
300200317_,2026-09-22,288.0,observed,,False,False
300200346_,2026-09-22,36.0,observed,,False,False
300200318_,2026-09-22,230.0,observed,,False,False
300200347_,2026-09-22,67.0,observed,,False,False
300200319_,2026-09-22,789.0,observed,,False,False
300200320_,2026-09-22,197.0,observed,,False,False
300200321_,2026-09-22,35.0,observed,,False,False
300200322_,2026-09-22,281.0,observed,,False,False
300200323_,2026-09-22,840.0,observed,,False,False
300200324_,2026-09-22,3115.0,observed,,False,False
300200325_,2026-09-22,38.0,observed,,False,False
300200326_,2026-09-22,1024.0,observed,,False,False
300200327_,2026-09-22,85.0,observed,,False,False
300200328_,2026-09-22,508.0,observed,,False,False
300200330_,2026-09-22,9.0,observed,,False,False
300200348_,2026-09-22,47.0,observed,,False,False
300200350_,2026-09-22,28.0,observed,,False,False
300200352_,2026-09-22,36.0,observed,,False,False
LNVA105011,2026-09-22,15.0,observed,,False,False
030200381_,2026-09-22,0.0,observed,,False,False
030200076_,2026-09-22,0.0,observed,,False,False
030200075_,2026-09-22,0.0,observed,,False,False
030200226_,2026-09-22,202.0,observed,,False,False
030200223_,2026-09-22,2985.0,observed,,False,False
030200227_,2026-09-22,894.0,observed,,False,False
030200225_,2026-09-22,5218.0,observed,,False,False
030200224_,2026-09-22,5163.0,observed,,False,False
280300174_,2026-09-22,2577.0,observed,,False,False
030200220_,2026-09-22,3683.0,observed,,False,False
030200219_,2026-09-22,17066.0,observed,,False,False
030300014_,2026-09-22,994.0,observed,,False,False
030200221_,2026-09-22,5246.0,observed,,False,False
030200222_,2026-09-22,1335.0,observed,,False,False
030200192_,2026-09-22,145921.0,observed,,False,False
030200201_,2026-09-22,60996.0,observed,,False,False
030200193_,2026-09-22,39531.0,observed,,False,False
030201459_,2026-09-22,4183.0,observed,,False,False
030200203_,2026-09-22,6252.0,observed,,False,False
130300026_,2026-09-22,259.0,observed,,False,False
130300027_,2026-09-22,108.0,observed,,False,False
130300028_,2026-09-22,8.0,observed,,False,False
010400436_,2026-09-22,53.0,observed,,False,False
010400432_,2026-09-22,62.0,observed,,False,False
010400440_,2026-09-22,31.0,observed,,False,False
010400444_,2026-09-22,54.0,observed,,False,False
010400447_,2026-09-22,74.0,observed,,False,False
010400433_,2026-09-22,27.0,observed,,False,False
010400437_,2026-09-22,53.0,observed,,False,False
010400441_,2026-09-22,31.0,observed,,False,False
010400445_,2026-09-22,50.0,observed,,False,False
010400448_,2026-09-22,37.0,observed,,False,False
