sku,month,sales_qty_raw,sales_status,unit,is_complete_month,target_qty,stock_qty_model,lag_1,lag_2,lag_3,lag_6,lag_12,opening_stock_lag_1,history_calendar_months,history_observed_months,mean_3,observations_3,mean_6,observations_6,std_6,missing_share_6,zero_share_6,month_number,days_in_month,history_sufficient,stock_qty_raw,stock_status
010400432_,2025-04-01,13.0,observed,шт,True,13.0,,10.0,3.0,15.0,32.0,17.0,,15,15,9.333333333333334,3.0,14.5,6.0,9.648834126463164,0.0,0.0,4,30,True,197.0,observed
010400432_,2025-05-01,8.0,observed,шт,True,8.0,,13.0,10.0,3.0,15.0,4.0,,16,16,8.666666666666666,3.0,11.333333333333334,6.0,4.501851470969123,0.0,0.0,5,31,True,184.0,observed
010400432_,2025-06-01,7.0,observed,шт,True,7.0,,8.0,13.0,10.0,12.0,28.0,,17,17,10.333333333333334,3.0,10.166666666666666,6.0,4.262237284181495,0.0,0.0,6,30,True,176.0,observed
010400432_,2025-07-01,5.0,observed,шт,True,5.0,,7.0,8.0,13.0,15.0,43.0,,18,18,9.333333333333334,3.0,9.333333333333334,6.0,4.320493798938593,0.0,0.0,7,31,True,169.0,observed
010400432_,2025-08-01,18.0,observed,шт,True,18.0,,5.0,7.0,8.0,3.0,95.0,,19,19,6.666666666666667,3.0,7.666666666666667,6.0,3.5590260840104593,0.0,0.0,8,31,True,164.0,observed
010400432_,2025-09-01,1.0,observed,шт,True,1.0,,18.0,5.0,7.0,10.0,21.0,,20,20,10.0,3.0,10.166666666666666,6.0,4.708148963941864,0.0,0.0,9,30,True,146.0,observed
010400432_,2025-10-01,12.0,observed,шт,True,12.0,,1.0,18.0,5.0,13.0,32.0,,21,21,8.0,3.0,8.666666666666666,6.0,6.022181221672662,0.0,0.0,10,31,True,145.0,observed
010400432_,2025-11-01,5.0,observed,шт,True,5.0,,12.0,1.0,18.0,8.0,15.0,,22,22,10.333333333333334,3.0,8.5,6.0,5.890670590009271,0.0,0.0,11,30,True,133.0,observed
010400432_,2025-12-01,2.0,observed,шт,True,2.0,,5.0,12.0,1.0,7.0,12.0,,23,23,6.0,3.0,8.0,6.0,6.066300355241253,0.0,0.0,12,31,True,128.0,observed
010400432_,2026-01-01,5.0,observed,шт,True,5.0,,2.0,5.0,12.0,5.0,15.0,,24,24,6.333333333333333,3.0,7.166666666666667,6.0,6.554896388705685,0.0,0.0,1,31,True,126.0,observed
010400432_,2026-02-01,1.0,observed,шт,True,1.0,,5.0,2.0,5.0,18.0,3.0,,25,25,4.0,3.0,7.166666666666667,6.0,6.554896388705685,0.0,0.0,2,28,True,118.0,observed
010400432_,2026-03-01,6.0,observed,шт,True,6.0,,1.0,5.0,2.0,1.0,10.0,,26,26,2.6666666666666665,3.0,4.333333333333333,6.0,4.179314138308677,0.0,0.0,3,31,True,117.0,observed
010400432_,2026-04-01,8.0,observed,шт,True,8.0,,6.0,1.0,5.0,12.0,13.0,,27,27,4.0,3.0,5.166666666666667,6.0,3.868677637987793,0.0,0.0,4,30,True,111.0,observed
010400432_,2026-05-01,2.0,observed,шт,True,2.0,,8.0,6.0,1.0,5.0,8.0,,28,28,5.0,3.0,4.5,6.0,2.588435821108984,0.0,0.0,5,31,True,105.0,observed
010400432_,2026-06-01,9.0,observed,шт,True,9.0,,2.0,8.0,6.0,2.0,7.0,,29,29,5.333333333333333,3.0,4.0,6.0,2.756809750418069,0.0,0.0,6,30,True,101.0,observed
010400432_,2026-07-01,6.0,observed,шт,True,6.0,,9.0,2.0,8.0,5.0,5.0,,30,30,6.333333333333333,3.0,5.166666666666667,6.0,3.1885210782848543,0.0,0.0,7,31,True,93.0,observed
010400432_,2026-08-01,3.0,observed,шт,True,3.0,,6.0,9.0,2.0,1.0,18.0,,31,31,5.666666666666667,3.0,5.333333333333333,6.0,3.2041639575194667,0.0,0.0,8,31,True,87.0,observed
010400432_,2026-09-01,,blank,шт,False,,,3.0,6.0,9.0,6.0,1.0,,32,32,6.0,3.0,5.666666666666667,6.0,2.73252020425592,0.0,0.0,9,30,True,84.0,observed
010400433_,2024-01-01,3.0,observed,шт,True,3.0,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,5.0,observed
010400433_,2024-02-01,2.0,observed,шт,True,2.0,,3.0,,,,,,1,1,3.0,1.0,3.0,1.0,,0.0,0.0,2,29,False,1.0,observed
010400433_,2024-03-01,3.0,observed,шт,True,3.0,,2.0,3.0,,,,,2,2,2.5,2.0,2.5,2.0,0.7071067811865476,0.0,0.0,3,31,False,59.0,observed
010400433_,2024-04-01,30.0,observed,шт,True,30.0,,3.0,2.0,3.0,,,,3,3,2.6666666666666665,3.0,2.6666666666666665,3.0,0.5773502691896258,0.0,0.0,4,30,True,96.0,observed
010400433_,2024-05-01,42.0,observed,шт,True,42.0,,30.0,3.0,2.0,,,,4,4,11.666666666666666,3.0,9.5,4.0,13.674794331177342,0.0,0.0,5,31,True,188.0,observed
010400433_,2024-06-01,16.0,observed,шт,True,16.0,,42.0,30.0,3.0,,,,5,5,25.0,3.0,16.0,5.0,18.748333259252675,0.0,0.0,6,30,True,146.0,observed
010400433_,2024-07-01,41.0,observed,шт,True,41.0,,16.0,42.0,30.0,3.0,,,6,6,29.333333333333332,3.0,16.0,6.0,16.769019053003667,0.0,0.0,7,31,True,130.0,observed
010400433_,2024-08-01,51.0,observed,шт,True,51.0,,41.0,16.0,42.0,2.0,,,7,7,33.0,3.0,22.333333333333332,6.0,18.00740588387641,0.0,0.0,8,31,True,182.0,observed
010400433_,2024-09-01,66.0,observed,шт,True,66.0,,51.0,41.0,16.0,3.0,,,8,8,36.0,3.0,30.5,6.0,18.052700628991772,0.0,0.0,9,30,True,131.0,observed
010400433_,2024-10-01,72.0,observed,шт,True,72.0,,66.0,51.0,41.0,30.0,,,9,9,52.666666666666664,3.0,41.0,6.0,17.158088471621774,0.0,0.0,10,31,True,65.0,observed
010400433_,2024-11-01,34.0,observed,шт,True,34.0,,72.0,66.0,51.0,42.0,,,10,10,63.0,3.0,48.0,6.0,20.08979840615629,0.0,0.0,11,30,True,33.0,observed
010400433_,2024-12-01,59.0,observed,шт,True,59.0,,34.0,72.0,66.0,16.0,,,11,11,57.333333333333336,3.0,46.666666666666664,6.0,20.819862311424313,0.0,0.0,12,31,True,105.0,observed
010400433_,2025-01-01,30.0,observed,шт,True,30.0,,59.0,34.0,72.0,41.0,3.0,,12,12,55.0,3.0,53.833333333333336,6.0,14.634434279010124,0.0,0.0,1,31,True,202.0,observed
010400433_,2025-02-01,26.0,observed,шт,True,26.0,,30.0,59.0,34.0,51.0,2.0,,13,13,41.0,3.0,52.0,6.0,17.052858997833763,0.0,0.0,2,28,True,172.0,observed
010400433_,2025-03-01,2.0,observed,шт,True,2.0,,26.0,30.0,59.0,66.0,3.0,,14,14,38.333333333333336,3.0,47.833333333333336,6.0,20.123783607131802,0.0,0.0,3,31,True,161.0,observed
010400433_,2025-04-01,12.0,observed,шт,True,12.0,,2.0,26.0,30.0,72.0,30.0,,15,15,19.333333333333332,3.0,37.166666666666664,6.0,24.951285872008015,0.0,0.0,4,30,True,320.0,observed
010400433_,2025-05-01,5.0,observed,шт,True,5.0,,12.0,2.0,26.0,34.0,42.0,,16,16,13.333333333333334,3.0,27.166666666666668,6.0,19.661298702442494,0.0,0.0,5,31,True,308.0,observed
010400433_,2025-06-01,11.0,observed,шт,True,11.0,,5.0,12.0,2.0,59.0,16.0,,17,17,6.333333333333333,3.0,22.333333333333332,6.0,21.15340792086861,0.0,0.0,6,30,True,303.0,observed
010400433_,2025-07-01,18.0,observed,шт,True,18.0,,11.0,5.0,12.0,30.0,41.0,,18,18,9.333333333333334,3.0,14.333333333333334,6.0,11.290113669342169,0.0,0.0,7,31,True,292.0,observed
010400433_,2025-08-01,68.0,observed,шт,True,68.0,,18.0,11.0,5.0,26.0,51.0,,19,19,11.333333333333334,3.0,12.333333333333334,6.0,8.733078876700182,0.0,0.0,8,31,True,274.0,observed
010400433_,2025-09-01,-6.0,negative,шт,True,,,68.0,18.0,11.0,2.0,66.0,,20,20,32.333333333333336,3.0,19.333333333333332,6.0,24.492175621342152,0.0,0.0,9,30,True,206.0,observed
010400433_,2025-10-01,9.0,observed,шт,True,9.0,,,68.0,18.0,12.0,72.0,,21,20,43.0,2.0,22.8,5.0,25.6846257516048,0.16666666666666663,0.0,10,31,True,212.0,observed
010400433_,2025-11-01,6.0,observed,шт,True,6.0,,9.0,,68.0,5.0,34.0,,22,21,38.5,2.0,22.2,5.0,26.03267177989997,0.16666666666666663,0.0,11,30,True,203.0,observed
010400433_,2025-12-01,12.0,observed,шт,True,12.0,,6.0,9.0,,11.0,59.0,,23,22,7.5,2.0,22.4,5.0,25.870832997798896,0.16666666666666663,0.0,12,31,True,197.0,observed
010400433_,2026-01-01,3.0,observed,шт,True,3.0,,12.0,6.0,9.0,18.0,30.0,,24,23,9.0,3.0,22.6,5.0,25.764316408552357,0.16666666666666663,0.0,1,31,True,185.0,observed
010400433_,2026-02-01,2.0,observed,шт,True,2.0,,3.0,12.0,6.0,68.0,26.0,,25,24,7.0,3.0,19.6,5.0,27.263528751795874,0.16666666666666663,0.0,2,28,True,182.0,observed
010400433_,2026-03-01,4.0,observed,шт,True,4.0,,2.0,3.0,12.0,,2.0,,26,25,5.666666666666667,3.0,6.4,5.0,4.159326868617141,0.16666666666666663,0.0,3,31,True,180.0,observed
010400433_,2026-04-01,13.0,observed,шт,True,13.0,,4.0,2.0,3.0,9.0,12.0,,27,26,3.0,3.0,6.0,6.0,3.8470768123343184,0.0,0.0,4,30,True,176.0,observed
010400433_,2026-05-01,7.0,observed,шт,True,7.0,,13.0,4.0,2.0,6.0,5.0,,28,27,6.333333333333333,3.0,6.666666666666667,6.0,4.718756898449743,0.0,0.0,5,31,True,166.0,observed
010400433_,2026-06-01,8.0,observed,шт,True,8.0,,7.0,13.0,4.0,12.0,11.0,,29,28,8.0,3.0,6.833333333333333,6.0,4.708148963941884,0.0,0.0,6,30,True,157.0,observed
010400433_,2026-07-01,15.0,observed,шт,True,15.0,,8.0,7.0,13.0,3.0,18.0,,30,29,9.333333333333334,3.0,6.166666666666667,6.0,4.070217029430623,0.0,0.0,7,31,True,149.0,observed
010400433_,2026-08-01,72.0,observed,шт,True,72.0,,15.0,8.0,7.0,2.0,68.0,,31,30,10.0,3.0,8.166666666666666,6.0,5.036533199202307,0.0,0.0,8,31,True,138.0,observed
010400433_,2026-09-01,7.0,observed,шт,False,,,72.0,15.0,8.0,4.0,,,32,31,31.666666666666668,3.0,19.833333333333332,6.0,25.872121417979372,0.0,0.0,9,30,True,65.0,observed
010400436_,2024-01-01,20.0,observed,шт,True,20.0,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,34.0,observed
010400436_,2024-02-01,3.0,observed,шт,True,3.0,,20.0,,,,,,1,1,20.0,1.0,20.0,1.0,,0.0,0.0,2,29,False,8.0,observed
010400436_,2024-03-01,21.0,observed,шт,True,21.0,,3.0,20.0,,,,,2,2,11.5,2.0,11.5,2.0,12.020815280171307,0.0,0.0,3,31,False,5.0,observed
010400436_,2024-04-01,79.0,observed,шт,True,79.0,,21.0,3.0,20.0,,,,3,3,14.666666666666666,3.0,14.666666666666666,3.0,10.115993936995679,0.0,0.0,4,30,True,134.0,observed
010400436_,2024-05-01,58.0,observed,шт,True,58.0,,79.0,21.0,3.0,,,,4,4,34.333333333333336,3.0,30.75,4.0,33.21018919950121,0.0,0.0,5,31,True,458.0,observed
010400436_,2024-06-01,81.0,observed,шт,True,81.0,,58.0,79.0,21.0,,,,5,5,52.666666666666664,3.0,36.2,5.0,31.23619695161368,0.0,0.0,6,30,True,400.0,observed
010400436_,2024-07-01,100.0,observed,шт,True,100.0,,81.0,58.0,79.0,20.0,,,6,6,72.66666666666667,3.0,43.666666666666664,6.0,33.39261395378724,0.0,0.0,7,31,True,319.0,observed
010400436_,2024-08-01,100.0,observed,шт,True,100.0,,100.0,81.0,58.0,3.0,,,7,7,79.66666666666667,3.0,57.0,6.0,37.74122414548844,0.0,0.0,8,31,True,406.0,observed
010400436_,2024-09-01,69.0,observed,шт,True,69.0,,100.0,100.0,81.0,21.0,,,8,8,93.66666666666667,3.0,73.16666666666667,6.0,29.95607896014874,0.0,0.0,9,30,True,306.0,observed
010400436_,2024-10-01,105.0,observed,шт,True,105.0,,69.0,100.0,100.0,79.0,,,9,9,89.66666666666667,3.0,81.16666666666667,6.0,16.7262269106534,0.0,0.0,10,31,True,237.0,observed
010400436_,2024-11-01,114.0,observed,шт,True,114.0,,105.0,69.0,100.0,58.0,,,10,10,91.33333333333333,3.0,85.5,6.0,19.232784509789507,0.0,0.0,11,30,True,205.0,observed
010400436_,2024-12-01,42.0,observed,шт,True,42.0,,114.0,105.0,69.0,81.0,,,11,11,96.0,3.0,94.83333333333333,6.0,16.630293643428725,0.0,0.0,12,31,True,213.0,observed
010400436_,2025-01-01,69.0,observed,шт,True,69.0,,42.0,114.0,105.0,100.0,20.0,,12,12,87.0,3.0,88.33333333333333,6.0,27.31055961833565,0.0,0.0,1,31,True,296.0,observed
010400436_,2025-02-01,40.0,observed,шт,True,40.0,,69.0,42.0,114.0,100.0,3.0,,13,13,75.0,3.0,83.16666666666667,6.0,27.592873476074683,0.0,0.0,2,28,True,278.0,observed
010400436_,2025-03-01,25.0,observed,шт,True,25.0,,40.0,69.0,42.0,69.0,21.0,,14,14,50.333333333333336,3.0,73.16666666666667,6.0,30.941342353987586,0.0,0.0,3,31,True,298.0,observed
010400436_,2025-04-01,47.0,observed,шт,True,47.0,,25.0,40.0,69.0,105.0,79.0,,15,15,44.666666666666664,3.0,65.83333333333333,6.0,36.788132144302544,0.0,0.0,4,30,True,585.0,observed
010400436_,2025-05-01,27.0,observed,шт,True,27.0,,47.0,25.0,40.0,114.0,58.0,,16,16,37.333333333333336,3.0,56.166666666666664,6.0,31.707517510310797,0.0,0.0,5,31,True,538.0,observed
010400436_,2025-06-01,77.0,observed,шт,True,77.0,,27.0,47.0,25.0,42.0,81.0,,17,17,33.0,3.0,41.666666666666664,6.0,15.945741333242104,0.0,0.0,6,30,True,510.0,observed
010400436_,2025-07-01,84.0,observed,шт,True,84.0,,77.0,27.0,47.0,69.0,100.0,,18,18,50.333333333333336,3.0,47.5,6.0,21.51975836295564,0.0,0.0,7,31,True,432.0,observed
010400436_,2025-08-01,33.0,observed,шт,True,33.0,,84.0,77.0,27.0,40.0,100.0,,19,19,62.666666666666664,3.0,50.0,6.0,25.091831340099496,0.0,0.0,8,31,True,348.0,observed
010400436_,2025-09-01,49.0,observed,шт,True,49.0,,33.0,84.0,77.0,25.0,69.0,,20,20,64.66666666666667,3.0,48.833333333333336,6.0,25.80245466359094,0.0,0.0,9,30,True,315.0,observed
010400436_,2025-10-01,61.0,observed,шт,True,61.0,,49.0,33.0,84.0,47.0,105.0,,21,21,55.333333333333336,3.0,52.833333333333336,6.0,23.086070836473365,0.0,0.0,10,31,True,266.0,observed
010400436_,2025-11-01,25.0,observed,шт,True,25.0,,61.0,49.0,33.0,27.0,114.0,,22,22,47.666666666666664,3.0,55.166666666666664,6.0,23.086070836473365,0.0,0.0,11,30,True,205.0,observed
010400436_,2025-12-01,13.0,observed,шт,True,13.0,,25.0,61.0,49.0,77.0,42.0,,23,23,45.0,3.0,54.833333333333336,6.0,23.583186100836038,0.0,0.0,12,31,True,230.0,observed
010400436_,2026-01-01,11.0,observed,шт,True,11.0,,13.0,25.0,61.0,84.0,69.0,,24,24,33.0,3.0,44.166666666666664,6.0,25.91074423220348,0.0,0.0,1,31,True,217.0,observed
010400436_,2026-02-01,6.0,observed,шт,True,6.0,,11.0,13.0,25.0,33.0,40.0,,25,25,16.333333333333332,3.0,32.0,6.0,19.909796583591678,0.0,0.0,2,28,True,196.0,observed
010400436_,2026-03-01,9.0,observed,шт,True,9.0,,6.0,11.0,13.0,49.0,25.0,,26,26,10.0,3.0,27.5,6.0,22.518880966868643,0.0,0.0,3,31,True,190.0,observed
010400436_,2026-04-01,30.0,observed,шт,True,30.0,,9.0,6.0,11.0,61.0,47.0,,27,27,8.666666666666666,3.0,20.833333333333332,6.0,20.730814423622274,0.0,0.0,4,30,True,181.0,observed
010400436_,2026-05-01,22.0,observed,шт,True,22.0,,30.0,9.0,6.0,25.0,27.0,,28,28,15.0,3.0,15.666666666666666,6.0,9.58471004604027,0.0,0.0,5,31,True,151.0,observed
010400436_,2026-06-01,20.0,observed,шт,True,20.0,,22.0,30.0,9.0,13.0,77.0,,29,29,20.333333333333332,3.0,15.166666666666666,6.0,9.064583093924687,0.0,0.0,6,30,True,129.0,observed
010400436_,2026-07-01,25.0,observed,шт,True,25.0,,20.0,22.0,30.0,11.0,84.0,,30,30,24.0,3.0,16.333333333333332,6.0,9.179687721631128,0.0,0.0,7,31,True,109.0,observed
010400436_,2026-08-01,17.0,observed,шт,True,17.0,,25.0,20.0,22.0,6.0,33.0,,31,31,22.333333333333332,3.0,18.666666666666668,6.0,9.330952077181905,0.0,0.0,8,31,True,84.0,observed
010400436_,2026-09-01,12.0,observed,шт,False,,,17.0,25.0,20.0,9.0,49.0,,32,32,20.666666666666668,3.0,20.5,6.0,7.17635004720357,0.0,0.0,9,30,True,67.0,observed
010400437_,2024-01-01,2.0,observed,шт,True,2.0,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,3.0,observed
010400437_,2024-02-01,,blank,шт,True,,,2.0,,,,,,1,1,2.0,1.0,2.0,1.0,,0.0,0.0,2,29,False,1.0,observed
010400437_,2024-03-01,9.0,observed,шт,True,9.0,,,2.0,,,,,2,1,2.0,1.0,2.0,1.0,,0.5,0.0,3,31,False,1.0,observed
010400437_,2024-04-01,59.0,observed,шт,True,59.0,,9.0,,2.0,,,,3,2,5.5,2.0,5.5,2.0,4.949747468305833,0.33333333333333337,0.0,4,30,False,102.0,observed
010400437_,2024-05-01,56.0,observed,шт,True,56.0,,59.0,9.0,,,,,4,3,34.0,2.0,23.333333333333332,3.0,31.0859024854247,0.25,0.0,5,31,True,255.0,observed
010400437_,2024-06-01,40.0,observed,шт,True,40.0,,56.0,59.0,9.0,,,,5,4,41.333333333333336,3.0,31.5,4.0,30.18277654557314,0.19999999999999996,0.0,6,30,True,199.0,observed
010400437_,2024-07-01,46.0,observed,шт,True,46.0,,40.0,56.0,59.0,2.0,,,6,5,51.666666666666664,3.0,33.2,5.0,26.414011433328337,0.16666666666666663,0.0,7,31,True,159.0,observed
010400437_,2024-08-01,91.0,observed,шт,True,91.0,,46.0,40.0,56.0,,,,7,6,47.333333333333336,3.0,42.0,5.0,19.96246477767713,0.16666666666666663,0.0,8,31,True,300.0,observed
010400437_,2024-09-01,81.0,observed,шт,True,81.0,,91.0,46.0,40.0,9.0,,,8,7,59.0,3.0,50.166666666666664,6.0,26.813553786595815,0.0,0.0,9,30,True,208.0,observed
010400437_,2024-10-01,99.0,observed,шт,True,99.0,,81.0,91.0,46.0,59.0,,,9,8,72.66666666666667,3.0,62.166666666666664,6.0,19.934057957843578,0.0,0.0,10,31,True,127.0,observed
010400437_,2024-11-01,79.0,observed,шт,True,79.0,,99.0,81.0,91.0,56.0,,,10,9,90.33333333333333,3.0,68.83333333333333,6.0,24.766240462909725,0.0,0.0,11,30,True,109.0,observed
010400437_,2024-12-01,18.0,observed,шт,True,18.0,,79.0,99.0,81.0,40.0,,,11,10,86.33333333333333,3.0,72.66666666666667,6.0,24.155054681508524,0.0,0.0,12,31,True,152.0,observed
010400437_,2025-01-01,36.0,observed,шт,True,36.0,,18.0,79.0,99.0,46.0,2.0,,12,11,65.33333333333333,3.0,69.0,6.0,30.84801452281816,0.0,0.0,1,31,True,220.0,observed
010400437_,2025-02-01,32.0,observed,шт,True,32.0,,36.0,18.0,79.0,91.0,,,13,12,44.333333333333336,3.0,67.33333333333333,6.0,32.56173623544461,0.0,0.0,2,28,True,201.0,observed
010400437_,2025-03-01,21.0,observed,шт,True,21.0,,32.0,36.0,18.0,81.0,9.0,,14,13,28.666666666666668,3.0,57.5,6.0,32.89224832692347,0.0,0.0,3,31,True,214.0,observed
010400437_,2025-04-01,21.0,observed,шт,True,21.0,,21.0,32.0,36.0,99.0,59.0,,15,14,29.666666666666668,3.0,47.5,6.0,33.43501158964955,0.0,0.0,4,30,True,434.0,observed
010400437_,2025-05-01,51.0,observed,шт,True,51.0,,21.0,21.0,32.0,79.0,56.0,,16,15,24.666666666666668,3.0,34.5,6.0,22.915060549778154,0.0,0.0,5,31,True,413.0,observed
010400437_,2025-06-01,35.0,observed,шт,True,35.0,,51.0,21.0,21.0,18.0,40.0,,17,16,31.0,3.0,29.833333333333332,6.0,12.544587146122645,0.0,0.0,6,30,True,362.0,observed
010400437_,2025-07-01,60.0,observed,шт,True,60.0,,35.0,51.0,21.0,36.0,46.0,,18,17,35.666666666666664,3.0,32.666666666666664,6.0,11.183320914051675,0.0,0.0,7,31,True,327.0,observed
010400437_,2025-08-01,48.0,observed,шт,True,48.0,,60.0,35.0,51.0,32.0,91.0,,19,18,48.666666666666664,3.0,36.666666666666664,6.0,15.908069231263287,0.0,0.0,8,31,True,267.0,observed
010400437_,2025-09-01,73.0,observed,шт,True,73.0,,48.0,60.0,35.0,21.0,81.0,,20,19,47.666666666666664,3.0,39.333333333333336,6.0,16.30541832234505,0.0,0.0,9,30,True,219.0,observed
010400437_,2025-10-01,44.0,observed,шт,True,44.0,,73.0,48.0,60.0,21.0,99.0,,21,20,60.333333333333336,3.0,48.0,6.0,18.308467986153275,0.0,0.0,10,31,True,166.0,observed
010400437_,2025-11-01,38.0,observed,шт,True,38.0,,44.0,73.0,48.0,51.0,79.0,,22,21,55.0,3.0,51.833333333333336,6.0,13.227496613746162,0.0,0.0,11,30,True,152.0,observed
010400437_,2025-12-01,27.0,observed,шт,True,27.0,,38.0,44.0,73.0,35.0,18.0,,23,22,51.666666666666664,3.0,49.666666666666664,6.0,14.403703227526805,0.0,0.0,12,31,True,154.0,observed
010400437_,2026-01-01,24.0,observed,шт,True,24.0,,27.0,38.0,44.0,60.0,36.0,,24,23,36.333333333333336,3.0,48.333333333333336,6.0,16.280868117722285,0.0,0.0,1,31,True,147.0,observed
010400437_,2026-02-01,13.0,observed,шт,True,13.0,,24.0,27.0,38.0,48.0,32.0,,25,24,29.666666666666668,3.0,42.333333333333336,6.0,17.693690024035853,0.0,0.0,2,28,True,123.0,observed
010400437_,2026-03-01,10.0,observed,шт,True,10.0,,13.0,24.0,27.0,73.0,21.0,,26,25,21.333333333333332,3.0,36.5,6.0,20.926060307664198,0.0,0.0,3,31,True,110.0,observed
010400437_,2026-04-01,11.0,observed,шт,True,11.0,,10.0,13.0,24.0,44.0,21.0,,27,26,15.666666666666666,3.0,26.0,6.0,13.401492454200723,0.0,0.0,4,30,True,120.0,observed
010400437_,2026-05-01,13.0,observed,шт,True,13.0,,11.0,10.0,13.0,38.0,51.0,,28,27,11.333333333333334,3.0,20.5,6.0,11.113055385446382,0.0,0.0,5,31,True,125.0,observed
010400437_,2026-06-01,34.0,observed,шт,True,34.0,,13.0,11.0,10.0,27.0,35.0,,29,28,11.333333333333334,3.0,16.333333333333332,6.0,7.257180352358994,0.0,0.0,6,30,True,112.0,observed
010400437_,2026-07-01,48.0,observed,шт,True,48.0,,34.0,13.0,11.0,24.0,60.0,,30,29,19.333333333333332,3.0,17.5,6.0,9.523654760647236,0.0,0.0,7,31,True,78.0,observed
010400437_,2026-08-01,18.0,observed,шт,True,18.0,,48.0,34.0,13.0,13.0,48.0,,31,30,31.666666666666668,3.0,21.5,6.0,15.782902141241287,0.0,0.0,8,31,True,81.0,observed
010400437_,2026-09-01,19.0,observed,шт,False,,,18.0,48.0,34.0,10.0,73.0,,32,31,33.333333333333336,3.0,22.333333333333332,6.0,15.370968306084867,0.0,0.0,9,30,True,63.0,observed
010400440_,2024-01-01,8.0,observed,шт,True,8.0,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,18.0,observed
010400440_,2024-02-01,3.0,observed,шт,True,3.0,,8.0,,,,,,1,1,8.0,1.0,8.0,1.0,,0.0,0.0,2,29,False,9.0,observed
010400440_,2024-03-01,5.0,observed,шт,True,5.0,,3.0,8.0,,,,,2,2,5.5,2.0,5.5,2.0,3.5355339059327378,0.0,0.0,3,31,False,6.0,observed
010400440_,2024-04-01,59.0,observed,шт,True,59.0,,5.0,3.0,8.0,,,,3,3,5.333333333333333,3.0,5.333333333333333,3.0,2.516611478423583,0.0,0.0,4,30,True,81.0,observed
