sku,month,sales_qty_raw,sales_status,unit,is_complete_month,target_qty,stock_qty_model,lag_1,lag_2,lag_3,lag_6,lag_12,opening_stock_lag_1,history_calendar_months,history_observed_months,mean_3,observations_3,mean_6,observations_6,std_6,missing_share_6,zero_share_6,month_number,days_in_month,history_sufficient,stock_qty_raw,stock_status
010400432_,2024-01-01,11.0,observed,шт,True,11.0,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,9.0,observed
010400432_,2024-02-01,7.0,observed,шт,True,7.0,,11.0,,,,,,1,1,11.0,1.0,11.0,1.0,,0.0,0.0,2,29,False,9.0,observed
010400432_,2024-03-01,2.0,observed,шт,True,2.0,,7.0,11.0,,,,,2,2,9.0,2.0,9.0,2.0,2.8284271247461903,0.0,0.0,3,31,False,52.0,observed
010400432_,2024-04-01,17.0,observed,шт,True,17.0,,2.0,7.0,11.0,,,,3,3,6.666666666666667,3.0,6.666666666666667,3.0,4.509249752822894,0.0,0.0,4,30,True,95.0,observed
010400432_,2024-05-01,4.0,observed,шт,True,4.0,,17.0,2.0,7.0,,,,4,4,8.666666666666666,3.0,9.25,4.0,6.34428877022476,0.0,0.0,5,31,True,208.0,observed
010400432_,2024-06-01,28.0,observed,шт,True,28.0,,4.0,17.0,2.0,,,,5,5,7.666666666666667,3.0,8.2,5.0,5.974947698515862,0.0,0.0,6,30,True,204.0,observed
010400432_,2024-07-01,43.0,observed,шт,True,43.0,,28.0,4.0,17.0,11.0,,,6,6,16.333333333333332,3.0,11.5,6.0,9.690201236300513,0.0,0.0,7,31,True,176.0,observed
010400432_,2024-08-01,95.0,observed,шт,True,95.0,,43.0,28.0,4.0,7.0,,,7,7,25.0,3.0,16.833333333333332,6.0,16.067565673326705,0.0,0.0,8,31,True,129.0,observed
010400432_,2024-09-01,21.0,observed,шт,True,21.0,,95.0,43.0,28.0,2.0,,,8,8,55.333333333333336,3.0,31.5,6.0,34.679965397906614,0.0,0.0,9,30,True,35.0,observed
010400432_,2024-10-01,32.0,observed,шт,True,32.0,,21.0,95.0,43.0,17.0,,,9,9,53.0,3.0,34.666666666666664,6.0,32.22835190739152,0.0,0.0,10,31,True,114.0,observed
010400432_,2024-11-01,15.0,observed,шт,True,15.0,,32.0,21.0,95.0,4.0,,,10,10,49.333333333333336,3.0,37.166666666666664,6.0,31.147498561949828,0.0,0.0,11,30,True,85.0,observed
010400432_,2024-12-01,12.0,observed,шт,True,12.0,,15.0,32.0,21.0,28.0,,,11,11,22.666666666666668,3.0,39.0,6.0,29.058561561095896,0.0,0.0,12,31,True,115.0,observed
010400432_,2025-01-01,15.0,observed,шт,True,15.0,,12.0,15.0,32.0,43.0,11.0,,12,12,19.666666666666668,3.0,36.333333333333336,6.0,30.942958272709912,0.0,0.0,1,31,True,114.0,observed
010400432_,2025-02-01,3.0,observed,шт,True,3.0,,15.0,12.0,15.0,95.0,7.0,,13,13,14.0,3.0,31.666666666666668,6.0,31.834991230824407,0.0,0.0,2,28,True,108.0,observed
010400432_,2025-03-01,10.0,observed,шт,True,10.0,,3.0,15.0,12.0,21.0,2.0,,14,14,10.0,3.0,16.333333333333332,6.0,9.667816023625338,0.0,0.0,3,31,True,129.0,observed
