target_month,sku,unit,month_number,days_in_month,lag_1,lag_2,lag_3,lag_6,lag_12,mean_3,mean_6,std_6,observations_3,observations_6,missing_share_6,zero_share_6,history_observed_months,history_calendar_months,opening_stock_lag_1,target_qty,split
2024-04-01,010400432_,шт,4,30,2.0,7.0,11.0,,,6.666666666666667,6.666666666666667,4.509249752822894,3.0,3.0,0.0,0.0,3,3,,17.0,train
2024-05-01,010400432_,шт,5,31,17.0,2.0,7.0,,,8.666666666666666,9.25,6.34428877022476,3.0,4.0,0.0,0.0,4,4,,4.0,train
2024-06-01,010400432_,шт,6,30,4.0,17.0,2.0,,,7.666666666666667,8.2,5.974947698515862,3.0,5.0,0.0,0.0,5,5,,28.0,train
2024-07-01,010400432_,шт,7,31,28.0,4.0,17.0,11.0,,16.333333333333332,11.5,9.690201236300513,3.0,6.0,0.0,0.0,6,6,,43.0,train
2024-08-01,010400432_,шт,8,31,43.0,28.0,4.0,7.0,,25.0,16.833333333333332,16.067565673326705,3.0,6.0,0.0,0.0,7,7,,95.0,train
2024-09-01,010400432_,шт,9,30,95.0,43.0,28.0,2.0,,55.333333333333336,31.5,34.679965397906614,3.0,6.0,0.0,0.0,8,8,,21.0,train
2024-10-01,010400432_,шт,10,31,21.0,95.0,43.0,17.0,,53.0,34.666666666666664,32.22835190739152,3.0,6.0,0.0,0.0,9,9,,32.0,train
2024-11-01,010400432_,шт,11,30,32.0,21.0,95.0,4.0,,49.333333333333336,37.166666666666664,31.147498561949828,3.0,6.0,0.0,0.0,10,10,,15.0,train
2024-12-01,010400432_,шт,12,31,15.0,32.0,21.0,28.0,,22.666666666666668,39.0,29.058561561095896,3.0,6.0,0.0,0.0,11,11,,12.0,train
2025-01-01,010400432_,шт,1,31,12.0,15.0,32.0,43.0,11.0,19.666666666666668,36.333333333333336,30.942958272709912,3.0,6.0,0.0,0.0,12,12,,15.0,train
2025-02-01,010400432_,шт,2,28,15.0,12.0,15.0,95.0,7.0,14.0,31.666666666666668,31.834991230824407,3.0,6.0,0.0,0.0,13,13,,3.0,train
2025-03-01,010400432_,шт,3,31,3.0,15.0,12.0,21.0,2.0,10.0,16.333333333333332,9.667816023625338,3.0,6.0,0.0,0.0,14,14,,10.0,train
2025-04-01,010400432_,шт,4,30,10.0,3.0,15.0,32.0,17.0,9.333333333333334,14.5,9.648834126463164,3.0,6.0,0.0,0.0,15,15,,13.0,train
2025-05-01,010400432_,шт,5,31,13.0,10.0,3.0,15.0,4.0,8.666666666666666,11.333333333333334,4.501851470969123,3.0,6.0,0.0,0.0,16,16,,8.0,train
2025-06-01,010400432_,шт,6,30,8.0,13.0,10.0,12.0,28.0,10.333333333333334,10.166666666666666,4.262237284181495,3.0,6.0,0.0,0.0,17,17,,7.0,train
2025-07-01,010400432_,шт,7,31,7.0,8.0,13.0,15.0,43.0,9.333333333333334,9.333333333333334,4.320493798938593,3.0,6.0,0.0,0.0,18,18,,5.0,train
2025-08-01,010400432_,шт,8,31,5.0,7.0,8.0,3.0,95.0,6.666666666666667,7.666666666666667,3.5590260840104593,3.0,6.0,0.0,0.0,19,19,,18.0,train
2025-09-01,010400432_,шт,9,30,18.0,5.0,7.0,10.0,21.0,10.0,10.166666666666666,4.708148963941864,3.0,6.0,0.0,0.0,20,20,,1.0,train
2025-10-01,010400432_,шт,10,31,1.0,18.0,5.0,13.0,32.0,8.0,8.666666666666666,6.022181221672662,3.0,6.0,0.0,0.0,21,21,,12.0,train
