sku,shipment,eta,qty_raw,quantity_status,source_as_of,eta_year_inferred,unit_conversion_confirmed
300200437_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200438_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200440_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200445_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200446_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200474_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200627_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200564_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200565_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200590_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200566_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200567_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200591_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200568_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200569_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200570_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200571_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200572_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200573_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200574_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200575_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200511_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200578_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200576_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200776_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200577_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200579_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200580_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200581_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200582_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200583_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200584_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200369_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200371_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200362_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200420_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200375_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200422_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200363_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200368_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200367_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200426_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200424_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200372_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200373_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200427_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200418_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200365_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200364_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200374_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200370_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200425_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200376_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200377_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200378_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200379_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200380_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200421_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200366_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
ATN000446,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200718_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200719_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200720_,сэ в пути 24.09,2026-09-24,80.0,observed,2026-09-22,True,False
300200721_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200722_,сэ в пути 24.09,2026-09-24,40.0,observed,2026-09-22,True,False
300200777_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200723_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200724_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200725_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200726_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200727_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200728_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200729_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200730_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200731_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200732_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200778_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200733_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200734_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200735_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200736_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200737_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200738_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200739_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200740_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200741_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200520_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200521_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200594_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200522_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200523_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200524_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200525_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200526_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200527_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200528_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200529_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200530_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200531_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200532_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200533_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200534_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200535_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200536_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200537_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200538_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200539_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200540_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200541_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200595_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200623_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200622_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200542_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200624_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200704_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200543_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200544_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200545_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200593_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200546_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200547_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200548_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200549_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200550_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200551_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200773_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200552_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200553_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200554_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200555_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200556_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200557_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200558_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200559_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200560_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200561_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200562_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200563_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200965_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200966_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200963_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
ATN000539,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200592_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200331_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200296_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200283_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200302_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200333_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200288_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200284_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200767_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200293_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200289_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200290_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200291_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200297_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200298_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200299_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200294_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200286_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200332_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200301_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200287_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200700_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200295_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200292_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200300_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200312_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200303_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200304_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200305_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200306_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200307_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200310_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200586_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200311_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200308_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200309_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200498_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
ATN000108,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
ATN000109,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200771_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200959_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200496_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200961_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200343_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
020100163_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200459_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
020100158_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
020100159_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200460_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
020100160_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
020100161_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200461_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200472_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200462_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200517_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
020100162_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200772_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200468_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200515_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200518_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200516_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200335_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200471_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200470_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200463_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200464_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200465_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200466_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200467_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200519_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200775_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200781_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200780_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200779_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200782_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200783_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200964_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
030200375_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200962_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200749_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200750_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200751_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200752_,сэ в пути 24.09,2026-09-24,60.0,observed,2026-09-22,True,False
300200753_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200754_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200755_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200742_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200743_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200744_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200745_,сэ в пути 24.09,2026-09-24,120.0,observed,2026-09-22,True,False
300200746_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200747_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200748_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200784_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200785_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200786_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200787_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200788_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200789_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200790_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200791_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200792_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200793_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200794_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200795_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200796_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200797_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200798_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200799_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200800_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200801_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200802_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200803_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200804_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200805_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200806_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200807_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200808_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200809_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200933_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200934_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200935_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200936_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200937_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200938_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200939_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200940_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200941_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200942_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200943_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200944_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200945_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200946_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200947_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200948_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200949_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200950_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200951_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200952_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200953_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200954_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200955_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200833_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200834_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200835_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200836_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200837_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200838_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200839_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200840_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200841_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200842_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200843_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200844_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200845_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200846_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200847_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200848_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200849_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200850_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200851_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200852_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200853_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200854_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200855_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200882_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200883_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200884_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200885_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200886_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200856_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200857_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
