sku,shipment,eta,qty_raw,quantity_status,source_as_of,eta_year_inferred,unit_conversion_confirmed
300200428_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200442_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
ATN000330,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200430_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200588_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200443_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200432_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200589_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200444_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200449_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200433_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200439_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200451_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200448_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200774_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200436_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200431_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200452_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200434_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200429_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200632_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200441_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200450_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
300200435_,сэ в пути 24.09,2026-09-24,0.0,observed,2026-09-22,True,False
