sku,month,sales_qty_raw,sales_status,transactions_signed_qty,transactions_positive_qty,transaction_unknown_qty_rows,comparable,matches_signed,matches_positive,difference_signed
010400433_,2024-02-01,2.0,observed,,,,False,False,False,
010400433_,2024-03-01,3.0,observed,,,,False,False,False,
010400433_,2024-04-01,30.0,observed,,,,False,False,False,
010400433_,2024-05-01,42.0,observed,,,,False,False,False,
010400433_,2024-06-01,16.0,observed,,,,False,False,False,
010400433_,2024-07-01,41.0,observed,,,,False,False,False,
010400433_,2024-08-01,51.0,observed,,,,False,False,False,
010400433_,2024-09-01,66.0,observed,,,,False,False,False,
010400433_,2024-10-01,72.0,observed,,,,False,False,False,
010400433_,2024-11-01,34.0,observed,,,,False,False,False,
010400433_,2024-12-01,59.0,observed,,,,False,False,False,
010400433_,2025-01-01,30.0,observed,37.0,37.0,0.0,True,False,False,7.0
010400433_,2025-02-01,26.0,observed,29.0,29.0,0.0,True,False,False,3.0
010400433_,2025-03-01,2.0,observed,2.0,2.0,0.0,True,True,True,0.0
010400433_,2025-04-01,12.0,observed,21.0,21.0,0.0,True,False,False,9.0
010400433_,2025-05-01,5.0,observed,4.0,4.0,0.0,True,False,False,-1.0
010400433_,2025-06-01,11.0,observed,10.0,10.0,0.0,True,False,False,-1.0
010400433_,2025-07-01,18.0,observed,13.0,13.0,0.0,True,False,False,-5.0
010400433_,2025-08-01,68.0,observed,32.0,32.0,0.0,True,False,False,-36.0
010400433_,2025-09-01,-6.0,negative,28.0,28.0,0.0,True,False,False,34.0
010400433_,2025-10-01,9.0,observed,8.0,8.0,0.0,True,False,False,-1.0
010400433_,2025-11-01,6.0,observed,5.0,5.0,0.0,True,False,False,-1.0
010400433_,2025-12-01,12.0,observed,4.0,4.0,0.0,True,False,False,-8.0
010400433_,2026-01-01,3.0,observed,2.0,2.0,0.0,True,False,False,-1.0
010400433_,2026-02-01,2.0,observed,1.0,1.0,0.0,True,False,False,-1.0
010400433_,2026-03-01,4.0,observed,4.0,4.0,0.0,True,True,True,0.0
010400433_,2026-04-01,13.0,observed,13.0,13.0,0.0,True,True,True,0.0
010400433_,2026-05-01,7.0,observed,9.0,9.0,0.0,True,False,False,2.0
010400433_,2026-06-01,8.0,observed,8.0,8.0,0.0,True,True,True,0.0
010400433_,2026-07-01,15.0,observed,16.0,16.0,0.0,True,False,False,1.0
010400433_,2026-08-01,72.0,observed,73.0,73.0,0.0,True,False,False,1.0
010400436_,2024-01-01,20.0,observed,,,,False,False,False,
010400436_,2024-02-01,3.0,observed,,,,False,False,False,
010400436_,2024-03-01,21.0,observed,,,,False,False,False,
010400436_,2024-04-01,79.0,observed,,,,False,False,False,
010400436_,2024-05-01,58.0,observed,,,,False,False,False,
010400436_,2024-06-01,81.0,observed,,,,False,False,False,
010400436_,2024-07-01,100.0,observed,,,,False,False,False,
010400436_,2024-08-01,100.0,observed,,,,False,False,False,
010400436_,2024-09-01,69.0,observed,,,,False,False,False,
010400436_,2024-10-01,105.0,observed,,,,False,False,False,
010400436_,2024-11-01,114.0,observed,,,,False,False,False,
010400436_,2024-12-01,42.0,observed,,,,False,False,False,
010400436_,2025-01-01,69.0,observed,69.0,69.0,0.0,True,True,True,0.0
010400436_,2025-02-01,40.0,observed,42.0,42.0,0.0,True,False,False,2.0
010400436_,2025-03-01,25.0,observed,34.0,34.0,0.0,True,False,False,9.0
010400436_,2025-04-01,47.0,observed,73.0,73.0,0.0,True,False,False,26.0
010400436_,2025-05-01,27.0,observed,22.0,22.0,0.0,True,False,False,-5.0
010400436_,2025-06-01,77.0,observed,109.0,109.0,0.0,True,False,False,32.0
010400436_,2025-07-01,84.0,observed,87.0,87.0,0.0,True,False,False,3.0
010400436_,2025-08-01,33.0,observed,24.0,24.0,0.0,True,False,False,-9.0
010400436_,2025-09-01,49.0,observed,45.0,45.0,0.0,True,False,False,-4.0
010400436_,2025-10-01,61.0,observed,51.0,51.0,0.0,True,False,False,-10.0
010400436_,2025-11-01,25.0,observed,22.0,22.0,0.0,True,False,False,-3.0
010400436_,2025-12-01,13.0,observed,9.0,9.0,0.0,True,False,False,-4.0
010400436_,2026-01-01,11.0,observed,20.0,20.0,0.0,True,False,False,9.0
010400436_,2026-02-01,6.0,observed,5.0,5.0,0.0,True,False,False,-1.0
010400436_,2026-03-01,9.0,observed,6.0,6.0,0.0,True,False,False,-3.0
010400436_,2026-04-01,30.0,observed,25.0,25.0,0.0,True,False,False,-5.0
010400436_,2026-05-01,22.0,observed,19.0,19.0,0.0,True,False,False,-3.0
010400436_,2026-06-01,20.0,observed,21.0,21.0,0.0,True,False,False,1.0
010400436_,2026-07-01,25.0,observed,23.0,23.0,0.0,True,False,False,-2.0
010400436_,2026-08-01,17.0,observed,12.0,12.0,0.0,True,False,False,-5.0
010400437_,2024-01-01,2.0,observed,,,,False,False,False,
010400437_,2024-02-01,,blank,,,,False,False,False,
010400437_,2024-03-01,9.0,observed,,,,False,False,False,
010400437_,2024-04-01,59.0,observed,,,,False,False,False,
010400437_,2024-05-01,56.0,observed,,,,False,False,False,
010400437_,2024-06-01,40.0,observed,,,,False,False,False,
010400437_,2024-07-01,46.0,observed,,,,False,False,False,
010400437_,2024-08-01,91.0,observed,,,,False,False,False,
010400437_,2024-09-01,81.0,observed,,,,False,False,False,
010400437_,2024-10-01,99.0,observed,,,,False,False,False,
010400437_,2024-11-01,79.0,observed,,,,False,False,False,
010400437_,2024-12-01,18.0,observed,,,,False,False,False,
010400437_,2025-01-01,36.0,observed,42.0,42.0,0.0,True,False,False,6.0
010400437_,2025-02-01,32.0,observed,32.0,32.0,0.0,True,True,True,0.0
010400437_,2025-03-01,21.0,observed,22.0,22.0,0.0,True,False,False,1.0
010400437_,2025-04-01,21.0,observed,63.0,63.0,0.0,True,False,False,42.0
010400437_,2025-05-01,51.0,observed,38.0,38.0,0.0,True,False,False,-13.0
010400437_,2025-06-01,35.0,observed,35.0,35.0,0.0,True,True,True,0.0
010400437_,2025-07-01,60.0,observed,51.0,51.0,0.0,True,False,False,-9.0
010400437_,2025-08-01,48.0,observed,41.0,41.0,0.0,True,False,False,-7.0
010400437_,2025-09-01,73.0,observed,67.0,67.0,0.0,True,False,False,-6.0
010400437_,2025-10-01,44.0,observed,21.0,21.0,0.0,True,False,False,-23.0
010400437_,2025-11-01,38.0,observed,36.0,36.0,0.0,True,False,False,-2.0
010400437_,2025-12-01,27.0,observed,26.0,26.0,0.0,True,False,False,-1.0
010400437_,2026-01-01,24.0,observed,22.0,22.0,0.0,True,False,False,-2.0
010400437_,2026-02-01,13.0,observed,11.0,11.0,0.0,True,False,False,-2.0
010400437_,2026-03-01,10.0,observed,8.0,8.0,0.0,True,False,False,-2.0
010400437_,2026-04-01,11.0,observed,15.0,15.0,0.0,True,False,False,4.0
010400437_,2026-05-01,13.0,observed,15.0,15.0,0.0,True,False,False,2.0
010400437_,2026-06-01,34.0,observed,43.0,43.0,0.0,True,False,False,9.0
010400437_,2026-07-01,48.0,observed,72.0,72.0,0.0,True,False,False,24.0
010400437_,2026-08-01,18.0,observed,23.0,23.0,0.0,True,False,False,5.0
010400440_,2024-01-01,8.0,observed,,,,False,False,False,
010400440_,2024-02-01,3.0,observed,,,,False,False,False,
010400440_,2024-03-01,5.0,observed,,,,False,False,False,
010400440_,2024-04-01,59.0,observed,,,,False,False,False,
010400440_,2024-05-01,62.0,observed,,,,False,False,False,
010400440_,2024-06-01,30.0,observed,,,,False,False,False,
010400440_,2024-07-01,39.0,observed,,,,False,False,False,
010400440_,2024-08-01,73.0,observed,,,,False,False,False,
010400440_,2024-09-01,30.0,observed,,,,False,False,False,
010400440_,2024-10-01,58.0,observed,,,,False,False,False,
010400440_,2024-11-01,44.0,observed,,,,False,False,False,
010400440_,2024-12-01,19.0,observed,,,,False,False,False,
010400440_,2025-01-01,28.0,observed,20.0,20.0,0.0,True,False,False,-8.0
010400440_,2025-02-01,32.0,observed,38.0,38.0,0.0,True,False,False,6.0
010400440_,2025-03-01,40.0,observed,49.0,49.0,0.0,True,False,False,9.0
010400440_,2025-04-01,43.0,observed,69.0,69.0,0.0,True,False,False,26.0
010400440_,2025-05-01,41.0,observed,36.0,36.0,0.0,True,False,False,-5.0
010400440_,2025-06-01,40.0,observed,37.0,37.0,0.0,True,False,False,-3.0
010400440_,2025-07-01,42.0,observed,37.0,37.0,0.0,True,False,False,-5.0
010400440_,2025-08-01,38.0,observed,34.0,34.0,0.0,True,False,False,-4.0
010400440_,2025-09-01,28.0,observed,24.0,24.0,0.0,True,False,False,-4.0
010400440_,2025-10-01,27.0,observed,24.0,24.0,0.0,True,False,False,-3.0
010400440_,2025-11-01,17.0,observed,11.0,11.0,0.0,True,False,False,-6.0
010400440_,2025-12-01,22.0,observed,21.0,21.0,0.0,True,False,False,-1.0
010400440_,2026-01-01,19.0,observed,15.0,15.0,0.0,True,False,False,-4.0
010400440_,2026-02-01,18.0,observed,19.0,19.0,0.0,True,False,False,1.0
010400440_,2026-03-01,6.0,observed,6.0,6.0,0.0,True,True,True,0.0
010400440_,2026-04-01,19.0,observed,18.0,18.0,0.0,True,False,False,-1.0
010400440_,2026-05-01,17.0,observed,17.0,17.0,0.0,True,True,True,0.0
010400440_,2026-06-01,22.0,observed,22.0,22.0,0.0,True,True,True,0.0
010400440_,2026-07-01,17.0,observed,17.0,17.0,0.0,True,True,True,0.0
010400440_,2026-08-01,9.0,observed,9.0,9.0,0.0,True,True,True,0.0
010400441_,2024-01-01,,blank,,,,False,False,False,
010400441_,2024-02-01,,blank,,,,False,False,False,
010400441_,2024-03-01,2.0,observed,,,,False,False,False,
010400441_,2024-04-01,30.0,observed,,,,False,False,False,
010400441_,2024-05-01,32.0,observed,,,,False,False,False,
010400441_,2024-06-01,23.0,observed,,,,False,False,False,
010400441_,2024-07-01,40.0,observed,,,,False,False,False,
010400441_,2024-08-01,41.0,observed,,,,False,False,False,
010400441_,2024-09-01,19.0,observed,,,,False,False,False,
010400441_,2024-10-01,120.0,observed,,,,False,False,False,
010400441_,2024-11-01,10.0,observed,,,,False,False,False,
010400441_,2024-12-01,59.0,observed,,,,False,False,False,
010400441_,2025-01-01,52.0,observed,48.0,48.0,0.0,True,False,False,-4.0
010400441_,2025-02-01,19.0,observed,16.0,16.0,0.0,True,False,False,-3.0
010400441_,2025-03-01,16.0,observed,15.0,15.0,0.0,True,False,False,-1.0
010400441_,2025-04-01,22.0,observed,54.0,54.0,0.0,True,False,False,32.0
010400441_,2025-05-01,13.0,observed,11.0,11.0,0.0,True,False,False,-2.0
010400441_,2025-06-01,18.0,observed,16.0,16.0,0.0,True,False,False,-2.0
010400441_,2025-07-01,17.0,observed,15.0,15.0,0.0,True,False,False,-2.0
010400441_,2025-08-01,34.0,observed,30.0,30.0,0.0,True,False,False,-4.0
010400441_,2025-09-01,16.0,observed,19.0,19.0,0.0,True,False,False,3.0
010400441_,2025-10-01,13.0,observed,12.0,12.0,0.0,True,False,False,-1.0
010400441_,2025-11-01,29.0,observed,25.0,25.0,0.0,True,False,False,-4.0
010400441_,2025-12-01,22.0,observed,21.0,21.0,0.0,True,False,False,-1.0
010400441_,2026-01-01,6.0,observed,6.0,6.0,0.0,True,True,True,0.0
010400441_,2026-02-01,15.0,observed,11.0,11.0,0.0,True,False,False,-4.0
010400441_,2026-03-01,15.0,observed,14.0,14.0,0.0,True,False,False,-1.0
010400441_,2026-04-01,9.0,observed,8.0,8.0,0.0,True,False,False,-1.0
010400441_,2026-05-01,17.0,observed,15.0,15.0,0.0,True,False,False,-2.0
010400441_,2026-06-01,13.0,observed,18.0,18.0,0.0,True,False,False,5.0
010400441_,2026-07-01,19.0,observed,18.0,18.0,0.0,True,False,False,-1.0
010400441_,2026-08-01,14.0,observed,22.0,22.0,0.0,True,False,False,8.0
010400444_,2024-01-01,61.0,observed,,,,False,False,False,
010400444_,2024-02-01,2.0,observed,,,,False,False,False,
010400444_,2024-03-01,19.0,observed,,,,False,False,False,
010400444_,2024-04-01,149.0,observed,,,,False,False,False,
010400444_,2024-05-01,115.0,observed,,,,False,False,False,
010400444_,2024-06-01,133.0,observed,,,,False,False,False,
010400444_,2024-07-01,128.0,observed,,,,False,False,False,
010400444_,2024-08-01,152.0,observed,,,,False,False,False,
010400444_,2024-09-01,124.0,observed,,,,False,False,False,
010400444_,2024-10-01,140.0,observed,,,,False,False,False,
010400444_,2024-11-01,128.0,observed,,,,False,False,False,
010400444_,2024-12-01,96.0,observed,,,,False,False,False,
010400444_,2025-01-01,105.0,observed,98.0,98.0,0.0,True,False,False,-7.0
010400444_,2025-02-01,96.0,observed,109.0,109.0,0.0,True,False,False,13.0
010400444_,2025-03-01,99.0,observed,156.0,156.0,0.0,True,False,False,57.0
010400444_,2025-04-01,93.0,observed,148.0,148.0,0.0,True,False,False,55.0
010400444_,2025-05-01,102.0,observed,88.0,88.0,0.0,True,False,False,-14.0
010400444_,2025-06-01,104.0,observed,100.0,100.0,0.0,True,False,False,-4.0
010400444_,2025-07-01,114.0,observed,100.0,100.0,0.0,True,False,False,-14.0
010400444_,2025-08-01,105.0,observed,95.0,95.0,0.0,True,False,False,-10.0
010400444_,2025-09-01,84.0,observed,96.0,96.0,0.0,True,False,False,12.0
010400444_,2025-10-01,58.0,observed,52.0,52.0,0.0,True,False,False,-6.0
010400444_,2025-11-01,34.0,observed,32.0,32.0,0.0,True,False,False,-2.0
010400444_,2025-12-01,40.0,observed,33.0,33.0,0.0,True,False,False,-7.0
010400444_,2026-01-01,33.0,observed,41.0,41.0,0.0,True,False,False,8.0
010400444_,2026-02-01,40.0,observed,64.0,64.0,0.0,True,False,False,24.0
010400444_,2026-03-01,13.0,observed,16.0,16.0,0.0,True,False,False,3.0
010400444_,2026-04-01,57.0,observed,53.0,53.0,0.0,True,False,False,-4.0
010400444_,2026-05-01,55.0,observed,52.0,52.0,0.0,True,False,False,-3.0
010400444_,2026-06-01,53.0,observed,66.0,66.0,0.0,True,False,False,13.0
010400444_,2026-07-01,32.0,observed,51.0,51.0,0.0,True,False,False,19.0
010400444_,2026-08-01,42.0,observed,45.0,45.0,0.0,True,False,False,3.0
010400445_,2024-01-01,13.0,observed,,,,False,False,False,
010400445_,2024-02-01,2.0,observed,,,,False,False,False,
010400445_,2024-03-01,9.0,observed,,,,False,False,False,
010400445_,2024-04-01,33.0,observed,,,,False,False,False,
010400445_,2024-05-01,28.0,observed,,,,False,False,False,
010400445_,2024-06-01,23.0,observed,,,,False,False,False,
010400445_,2024-07-01,27.0,observed,,,,False,False,False,
010400445_,2024-08-01,77.0,observed,,,,False,False,False,
010400445_,2024-09-01,54.0,observed,,,,False,False,False,
010400445_,2024-10-01,67.0,observed,,,,False,False,False,
010400445_,2024-11-01,46.0,observed,,,,False,False,False,
010400445_,2024-12-01,33.0,observed,,,,False,False,False,
010400445_,2025-01-01,27.0,observed,23.0,23.0,0.0,True,False,False,-4.0
010400445_,2025-02-01,16.0,observed,18.0,18.0,0.0,True,False,False,2.0
010400445_,2025-03-01,23.0,observed,34.0,34.0,0.0,True,False,False,11.0
010400445_,2025-04-01,48.0,observed,98.0,98.0,0.0,True,False,False,50.0
010400445_,2025-05-01,28.0,observed,23.0,23.0,0.0,True,False,False,-5.0
010400445_,2025-06-01,48.0,observed,45.0,45.0,0.0,True,False,False,-3.0
010400445_,2025-07-01,49.0,observed,40.0,40.0,0.0,True,False,False,-9.0
010400445_,2025-08-01,34.0,observed,25.0,25.0,0.0,True,False,False,-9.0
010400445_,2025-09-01,34.0,observed,29.0,29.0,0.0,True,False,False,-5.0
010400445_,2025-10-01,62.0,observed,60.0,60.0,0.0,True,False,False,-2.0
010400445_,2025-11-01,34.0,observed,30.0,30.0,0.0,True,False,False,-4.0
010400445_,2025-12-01,21.0,observed,18.0,18.0,0.0,True,False,False,-3.0
010400445_,2026-01-01,20.0,observed,16.0,16.0,0.0,True,False,False,-4.0
010400445_,2026-02-01,7.0,observed,8.0,8.0,0.0,True,False,False,1.0
010400445_,2026-03-01,17.0,observed,19.0,19.0,0.0,True,False,False,2.0
010400445_,2026-04-01,9.0,observed,13.0,13.0,0.0,True,False,False,4.0
010400445_,2026-05-01,16.0,observed,13.0,13.0,0.0,True,False,False,-3.0
010400445_,2026-06-01,16.0,observed,21.0,21.0,0.0,True,False,False,5.0
010400445_,2026-07-01,17.0,observed,16.0,16.0,0.0,True,False,False,-1.0
010400445_,2026-08-01,23.0,observed,24.0,24.0,0.0,True,False,False,1.0
010400447_,2024-01-01,41.0,observed,,,,False,False,False,
010400447_,2024-02-01,21.0,observed,,,,False,False,False,
010400447_,2024-03-01,62.0,observed,,,,False,False,False,
010400447_,2024-04-01,105.0,observed,,,,False,False,False,
010400447_,2024-05-01,74.0,observed,,,,False,False,False,
010400447_,2024-06-01,103.0,observed,,,,False,False,False,
010400447_,2024-07-01,122.0,observed,,,,False,False,False,
010400447_,2024-08-01,143.0,observed,,,,False,False,False,
010400447_,2024-09-01,98.0,observed,,,,False,False,False,
010400447_,2024-10-01,129.0,observed,,,,False,False,False,
010400447_,2024-11-01,89.0,observed,,,,False,False,False,
010400447_,2024-12-01,74.0,observed,,,,False,False,False,
010400447_,2025-01-01,48.0,observed,27.0,27.0,0.0,True,False,False,-21.0
010400447_,2025-02-01,85.0,observed,74.0,74.0,0.0,True,False,False,-11.0
010400447_,2025-03-01,73.0,observed,65.0,65.0,0.0,True,False,False,-8.0
010400447_,2025-04-01,96.0,observed,143.0,143.0,0.0,True,False,False,47.0
010400447_,2025-05-01,73.0,observed,91.0,91.0,0.0,True,False,False,18.0
010400447_,2025-06-01,47.0,observed,54.0,54.0,0.0,True,False,False,7.0
010400447_,2025-07-01,90.0,observed,79.0,79.0,0.0,True,False,False,-11.0
010400447_,2025-08-01,81.0,observed,74.0,74.0,0.0,True,False,False,-7.0
010400447_,2025-09-01,45.0,observed,46.0,46.0,0.0,True,False,False,1.0
010400447_,2025-10-01,50.0,observed,48.0,48.0,0.0,True,False,False,-2.0
010400447_,2025-11-01,34.0,observed,39.0,39.0,0.0,True,False,False,5.0
010400447_,2025-12-01,34.0,observed,29.0,29.0,0.0,True,False,False,-5.0
010400447_,2026-01-01,27.0,observed,38.0,38.0,0.0,True,False,False,11.0
010400447_,2026-02-01,37.0,observed,37.0,37.0,0.0,True,True,True,0.0
010400447_,2026-03-01,36.0,observed,63.0,63.0,0.0,True,False,False,27.0
010400447_,2026-04-01,46.0,observed,67.0,67.0,0.0,True,False,False,21.0
010400447_,2026-05-01,48.0,observed,41.0,41.0,0.0,True,False,False,-7.0
010400447_,2026-06-01,40.0,observed,62.0,62.0,0.0,True,False,False,22.0
010400447_,2026-07-01,29.0,observed,41.0,41.0,0.0,True,False,False,12.0
010400447_,2026-08-01,33.0,observed,38.0,38.0,0.0,True,False,False,5.0
010400448_,2024-01-01,17.0,observed,,,,False,False,False,
010400448_,2024-02-01,2.0,observed,,,,False,False,False,
010400448_,2024-03-01,5.0,observed,,,,False,False,False,
010400448_,2024-04-01,24.0,observed,,,,False,False,False,
010400448_,2024-05-01,36.0,observed,,,,False,False,False,
010400448_,2024-06-01,26.0,observed,,,,False,False,False,
010400448_,2024-07-01,18.0,observed,,,,False,False,False,
010400448_,2024-08-01,54.0,observed,,,,False,False,False,
010400448_,2024-09-01,35.0,observed,,,,False,False,False,
010400448_,2024-10-01,26.0,observed,,,,False,False,False,
010400448_,2024-11-01,31.0,observed,,,,False,False,False,
010400448_,2024-12-01,49.0,observed,,,,False,False,False,
010400448_,2025-01-01,15.0,observed,15.0,15.0,0.0,True,True,True,0.0
010400448_,2025-02-01,15.0,observed,16.0,16.0,0.0,True,False,False,1.0
010400448_,2025-03-01,18.0,observed,18.0,18.0,0.0,True,True,True,0.0
010400448_,2025-04-01,35.0,observed,65.0,65.0,0.0,True,False,False,30.0
010400448_,2025-05-01,21.0,observed,23.0,23.0,0.0,True,False,False,2.0
010400448_,2025-06-01,26.0,observed,24.0,24.0,0.0,True,False,False,-2.0
010400448_,2025-07-01,40.0,observed,33.0,33.0,0.0,True,False,False,-7.0
010400448_,2025-08-01,12.0,observed,10.0,10.0,0.0,True,False,False,-2.0
010400448_,2025-09-01,14.0,observed,10.0,10.0,0.0,True,False,False,-4.0
010400448_,2025-10-01,37.0,observed,29.0,29.0,0.0,True,False,False,-8.0
010400448_,2025-11-01,13.0,observed,11.0,11.0,0.0,True,False,False,-2.0
010400448_,2025-12-01,22.0,observed,22.0,22.0,0.0,True,True,True,0.0
010400448_,2026-01-01,11.0,observed,11.0,11.0,0.0,True,True,True,0.0
010400448_,2026-02-01,6.0,observed,10.0,10.0,0.0,True,False,False,4.0
010400448_,2026-03-01,10.0,observed,11.0,11.0,0.0,True,False,False,1.0
010400448_,2026-04-01,15.0,observed,10.0,10.0,0.0,True,False,False,-5.0
010400448_,2026-05-01,10.0,observed,8.0,8.0,0.0,True,False,False,-2.0
010400448_,2026-06-01,13.0,observed,13.0,13.0,0.0,True,True,True,0.0
010400448_,2026-07-01,19.0,observed,17.0,17.0,0.0,True,False,False,-2.0
010400448_,2026-08-01,20.0,observed,21.0,21.0,0.0,True,False,False,1.0
020100158_,2024-01-01,66.0,observed,,,,False,False,False,
020100158_,2024-02-01,21.0,observed,,,,False,False,False,
020100158_,2024-03-01,511.0,observed,,,,False,False,False,
020100158_,2024-04-01,586.0,observed,,,,False,False,False,
020100158_,2024-05-01,564.0,observed,,,,False,False,False,
020100158_,2024-06-01,1003.0,observed,,,,False,False,False,
020100158_,2024-07-01,683.0,observed,,,,False,False,False,
020100158_,2024-08-01,621.0,observed,,,,False,False,False,
020100158_,2024-09-01,981.0,observed,,,,False,False,False,
020100158_,2024-10-01,517.0,observed,,,,False,False,False,
020100158_,2024-11-01,437.0,observed,,,,False,False,False,
020100158_,2024-12-01,488.0,observed,,,,False,False,False,
020100158_,2025-01-01,448.0,observed,406.0,406.0,0.0,True,False,False,-42.0
020100158_,2025-02-01,417.0,observed,526.0,526.0,0.0,True,False,False,109.0
020100158_,2025-03-01,491.0,observed,560.0,560.0,0.0,True,False,False,69.0
020100158_,2025-04-01,431.0,observed,418.0,418.0,0.0,True,False,False,-13.0
020100158_,2025-05-01,310.0,observed,336.0,336.0,0.0,True,False,False,26.0
020100158_,2025-06-01,441.0,observed,515.0,515.0,0.0,True,False,False,74.0
020100158_,2025-07-01,292.0,observed,303.0,303.0,0.0,True,False,False,11.0
020100158_,2025-08-01,476.0,observed,475.0,475.0,0.0,True,False,False,-1.0
020100158_,2025-09-01,378.0,observed,421.0,421.0,0.0,True,False,False,43.0
020100158_,2025-10-01,208.0,observed,187.0,187.0,0.0,True,False,False,-21.0
020100158_,2025-11-01,371.0,observed,338.0,338.0,0.0,True,False,False,-33.0
020100158_,2025-12-01,439.0,observed,433.0,433.0,0.0,True,False,False,-6.0
020100158_,2026-01-01,179.0,observed,185.0,185.0,0.0,True,False,False,6.0
020100158_,2026-02-01,237.0,observed,224.0,224.0,0.0,True,False,False,-13.0
020100158_,2026-03-01,244.0,observed,245.0,245.0,0.0,True,False,False,1.0
020100158_,2026-04-01,192.0,observed,208.0,208.0,0.0,True,False,False,16.0
020100158_,2026-05-01,330.0,observed,318.0,318.0,0.0,True,False,False,-12.0
020100158_,2026-06-01,175.0,observed,208.0,208.0,0.0,True,False,False,33.0
020100158_,2026-07-01,230.0,observed,310.0,310.0,0.0,True,False,False,80.0
020100158_,2026-08-01,337.0,observed,357.0,357.0,0.0,True,False,False,20.0
020100159_,2024-01-01,4.0,observed,,,,False,False,False,
020100159_,2024-02-01,64.0,observed,,,,False,False,False,
020100159_,2024-03-01,50.0,observed,,,,False,False,False,
020100159_,2024-04-01,27.0,observed,,,,False,False,False,
020100159_,2024-05-01,41.0,observed,,,,False,False,False,
020100159_,2024-06-01,6.0,observed,,,,False,False,False,
020100159_,2024-07-01,25.0,observed,,,,False,False,False,
020100159_,2024-08-01,33.0,observed,,,,False,False,False,
020100159_,2024-09-01,34.0,observed,,,,False,False,False,
020100159_,2024-10-01,-2.0,negative,,,,False,False,False,
020100159_,2024-11-01,25.0,observed,,,,False,False,False,
020100159_,2024-12-01,8.0,observed,,,,False,False,False,
020100159_,2025-01-01,18.0,observed,,,,False,False,False,
020100159_,2025-02-01,150.0,observed,120.0,120.0,0.0,True,False,False,-30.0
020100159_,2025-03-01,11.0,observed,11.0,11.0,0.0,True,True,True,0.0
020100159_,2025-04-01,39.0,observed,30.0,30.0,0.0,True,False,False,-9.0
020100159_,2025-05-01,14.0,observed,22.0,22.0,0.0,True,False,False,8.0
020100159_,2025-06-01,34.0,observed,34.0,34.0,0.0,True,True,True,0.0
020100159_,2025-07-01,29.0,observed,26.0,26.0,0.0,True,False,False,-3.0
020100159_,2025-08-01,3.0,observed,3.0,3.0,0.0,True,True,True,0.0
020100159_,2025-09-01,10.0,observed,15.0,15.0,0.0,True,False,False,5.0
020100159_,2025-10-01,6.0,observed,6.0,6.0,0.0,True,True,True,0.0
020100159_,2025-11-01,,blank,,,,False,False,False,
020100159_,2025-12-01,22.0,observed,4.0,4.0,0.0,True,False,False,-18.0
020100159_,2026-01-01,,blank,,,,False,False,False,
020100159_,2026-02-01,,blank,,,,False,False,False,
