sku,month,sales_qty_raw,sales_status,transactions_signed_qty,transactions_positive_qty,transaction_unknown_qty_rows,comparable,matches_signed,matches_positive,difference_signed
010400432_,2024-01-01,11.0,observed,,,,False,False,False,
010400432_,2024-02-01,7.0,observed,,,,False,False,False,
010400432_,2024-03-01,2.0,observed,,,,False,False,False,
010400432_,2024-04-01,17.0,observed,,,,False,False,False,
010400432_,2024-05-01,4.0,observed,,,,False,False,False,
010400432_,2024-06-01,28.0,observed,,,,False,False,False,
010400432_,2024-07-01,43.0,observed,,,,False,False,False,
010400432_,2024-08-01,95.0,observed,,,,False,False,False,
010400432_,2024-09-01,21.0,observed,,,,False,False,False,
010400432_,2024-10-01,32.0,observed,,,,False,False,False,
010400432_,2024-11-01,15.0,observed,,,,False,False,False,
010400432_,2024-12-01,12.0,observed,,,,False,False,False,
010400432_,2025-01-01,15.0,observed,13.0,13.0,0.0,True,False,False,-2.0
010400432_,2025-02-01,3.0,observed,6.0,6.0,0.0,True,False,False,3.0
010400432_,2025-03-01,10.0,observed,13.0,13.0,0.0,True,False,False,3.0
010400432_,2025-04-01,13.0,observed,31.0,31.0,0.0,True,False,False,18.0
010400432_,2025-05-01,8.0,observed,7.0,7.0,0.0,True,False,False,-1.0
010400432_,2025-06-01,7.0,observed,7.0,7.0,0.0,True,True,True,0.0
010400432_,2025-07-01,5.0,observed,4.0,4.0,0.0,True,False,False,-1.0
010400432_,2025-08-01,18.0,observed,11.0,11.0,0.0,True,False,False,-7.0
010400432_,2025-09-01,1.0,observed,9.0,9.0,0.0,True,False,False,8.0
010400432_,2025-10-01,12.0,observed,8.0,8.0,0.0,True,False,False,-4.0
010400432_,2025-11-01,5.0,observed,5.0,5.0,0.0,True,True,True,0.0
010400432_,2025-12-01,2.0,observed,2.0,2.0,0.0,True,True,True,0.0
010400432_,2026-01-01,5.0,observed,7.0,7.0,0.0,True,False,False,2.0
010400432_,2026-02-01,1.0,observed,1.0,1.0,0.0,True,True,True,0.0
010400432_,2026-03-01,6.0,observed,5.0,5.0,0.0,True,False,False,-1.0
010400432_,2026-04-01,8.0,observed,8.0,8.0,0.0,True,True,True,0.0
010400432_,2026-05-01,2.0,observed,4.0,4.0,0.0,True,False,False,2.0
010400432_,2026-06-01,9.0,observed,9.0,9.0,0.0,True,True,True,0.0
010400432_,2026-07-01,6.0,observed,4.0,4.0,0.0,True,False,False,-2.0
010400432_,2026-08-01,3.0,observed,3.0,3.0,0.0,True,True,True,0.0
010400433_,2024-01-01,3.0,observed,,,,False,False,False,
