sku,supplier_sku,pack_size,min_order_qty
300200909_,GAL000946,5.0,
300200910_,GAL000643,10.0,
300200911_,GAL000645,10.0,
300200912_,GAL000611,10.0,
300200913_,GAL000613,10.0,
300200914_,GAL000651,10.0,
300200915_,GAL000653,10.0,
300200916_,GAL000686,5.0,
300200917_,GAL000661,10.0,
300200918_,GAL000671,5.0,
300200919_,GAL000688,1.0,
300200920_,GAL000691,5.0,
300200921_,GAL000601,20.0,
300200922_,GAL000602,10.0,
300200923_,GAL000603,5.0,
300200924_,GAL000604,5.0,
300200925_,GAL000605,5.0,
300200926_,GAL000665,10.0,
300200927_,GAL000615,5.0,
300200928_,GAL000699,5.0,
300200929_,GAL000689,5.0,
300200930_,GAL000629,1.0,
300200931_,GAL000623,1.0,
300200932_,GAL000646,10.0,
300200933_,GAL001443,5.0,
300200934_,GAL001411,5.0,
300200935_,GAL001413,5.0,
300200936_,GAL001451,5.0,
300200937_,GAL001453,5.0,
300200938_,GAL001486,5.0,
300200939_,GAL001461,5.0,
300200940_,GAL001471,5.0,
300200941_,GAL001488,1.0,
300200942_,GAL001445,5.0,
300200943_,GAL001446,5.0,
300200944_,GAL001491,5.0,
300200945_,GAL001401,10.0,
300200946_,GAL001402,5.0,
300200947_,GAL001403,5.0,
300200948_,GAL001404,5.0,
300200949_,GAL001405,5.0,
300200950_,GAL001465,5.0,
300200951_,GAL001423,1.0,
300200952_,GAL001415,5.0,
300200953_,GAL001499,5.0,
300200954_,GAL001489,5.0,
300200955_,GAL001429,1.0,
300200371_,ATN000412,10.0,
300200420_,ATN000413,10.0,
300200375_,ATN000452,10.0,
300200422_,ATN000453,10.0,
300200363_,ATN000431,10.0,
300200368_,ATN000483,5.0,
300200367_,ATN000461,10.0,
300200426_,ATN000463,10.0,
300200424_,ATN000471,5.0,
300200372_,ATN000420,6.0,
300200373_,ATN000426,6.0,
300200418_,ATN000485,10.0,
300200365_,ATN000443,10.0,
300200364_,ATN000441,10.0,
300200374_,ATN000444,10.0,
300200370_,ATN000491,10.0,
300200425_,ATN000481,5.0,
300200419_,ATN000433,1.0,
300200376_,ATN000401,20.0,
300200377_,ATN000402,10.0,
300200378_,ATN000403,5.0,
300200379_,ATN000404,5.0,
300200380_,ATN000405,5.0,
300200421_,ATN000465,10.0,
щщщ0116254,GSL000151,20.0,
300200520_,ATN000943,5.0,
300200521_,ATN000912,5.0,
300200522_,ATN000913,5.0,
300200523_,ATN000952,5.0,
300200524_,ATN000953,5.0,
300200525_,ATN000931,5.0,
300200526_,ATN000983,1.0,
300200527_,ATN000961,5.0,
300200529_,ATN000971,1.0,
300200530_,ATN000920,6.0,
300200531_,ATN000926,6.0,
300200532_,ATN000985,1.0,
300200533_,ATN000944,5.0,
300200534_,ATN000991,5.0,
300200535_,ATN000981,1.0,
300200536_,ATN000901,10.0,
300200537_,ATN000902,5.0,
300200538_,ATN000903,5.0,
300200539_,ATN000904,5.0,
300200540_,ATN000905,5.0,
300200541_,ATN000965,5.0,
300200542_,ATN000543,10.0,
300200624_,ATN000545,10.0,
300200704_,ATN000541,10.0,
300200543_,ATN000512,10.0,
300200544_,ATN000513,10.0,
300200545_,ATN000552,10.0,
300200593_,ATN000551,10.0,
300200546_,ATN000553,10.0,
300200547_,ATN000531,10.0,
300200548_,ATN000583,5.0,
300200549_,ATN000561,10.0,
300200550_,ATN000563,10.0,
300200551_,ATN000571,5.0,
300200773_,ATN000573,5.0,
300200552_,ATN000520,6.0,
300200553_,ATN000526,6.0,
300200554_,ATN000585,5.0,
300200555_,ATN000544,10.0,
300200556_,ATN000591,10.0,
300200557_,ATN000581,10.0,
300200558_,ATN000501,20.0,
300200559_,ATN000502,10.0,
300200560_,ATN000503,5.0,
300200561_,ATN000504,5.0,
300200562_,ATN000505,5.0,
300200563_,ATN000565,10.0,
300200564_,ATN000743,10.0,
300200565_,ATN000712,10.0,
300200590_,ATN000711,10.0,
300200566_,ATN000713,10.0,
300200567_,ATN000752,10.0,
300200591_,ATN000751,10.0,
300200568_,ATN000753,10.0,
300200569_,ATN000731,10.0,
300200570_,ATN000783,5.0,
300200571_,ATN000761,10.0,
300200572_,ATN000763,5.0,
300200573_,ATN000771,5.0,
300200574_,ATN000720,6.0,
300200575_,ATN000726,6.0,
300200511_,ATN000785,10.0,
300200576_,ATN000744,10.0,
300200776_,ATN000741,10.0,
300200577_,ATN000791,10.0,
300200579_,ATN000701,20.0,
300200580_,ATN000702,10.0,
300200581_,ATN000703,5.0,
300200582_,ATN000704,5.0,
300200583_,ATN000705,5.0,
300200584_,ATN000765,10.0,
300200343_,ATN001043,10.0,
020100163_,ATN001041,10.0,
300200459_,ATN001012,5.0,
020100158_,ATN001011,10.0,
020100159_,ATN001013,5.0,
300200460_,ATN001052,5.0,
020100160_,ATN001051,10.0,
020100161_,ATN001053,5.0,
300200461_,ATN001031,5.0,
300200472_,ATN001083,5.0,
300200462_,ATN001061,10.0,
300200517_,ATN001063,5.0,
020100162_,ATN001071,5.0,
300200772_,ATN001073,5.0,
300200468_,ATN001020,6.0,
300200515_,ATN001026,6.0,
300200518_,ATN001085,5.0,
300200516_,ATN001044,5.0,
300200471_,ATN001091,5.0,
300200470_,ATN001081,5.0,
300200463_,ATN001001,20.0,
300200464_,ATN001002,10.0,
300200465_,ATN001003,5.0,
300200466_,ATN001004,5.0,
300200467_,ATN001005,5.0,
300200519_,ATN001065,5.0,
300200775_,ATN001023,1.0,
300200781_,ATN441051,5.0,
300200779_,ATN441046,10.0,
300200782_,ATN441001,10.0,
300200783_,ATN441002,5.0,
300100015_,KD-1-18,90.0,
300100006_,KD-2-18,60.0,
300100003_,KD-3-18,15.0,
300100012_,KD-4-18,15.0,
030200006_,S16-057-B,1.0,
030200008_,S56-043-B,1.0,
030200005_,S16-053-B,1.0,
030200007_,S56-039-B,1.0,
030200015_,RS16-004-B,1.0,
030200002_,A16-051-B,1.0,
030200003_,A56-007-B,1.0,
030200009_,RA10-164-B,1.0,
030200030_,VS16-133-B,20.0,
030200031_,VS56-234-B,20.0,
030200036_,RS10-132-B,20.0,
030200038_,RS16-134-B,20.0,
030200037_,RS16-235-B,10.0,
030200039_,RS16-236-B,10.0,
030200028_,VA16-131-B,25.0,
030200029_,VA56-232-B,25.0,
030200032_,RA10-131-B,25.0,
030200034_,RA16-133-B,17.0,
030200239_,RA16-237I-B,16.0,
030200240_,RA16-238I-B,16.0,
030200379_,VS110-153-18,1.0,
030200026_,VA66-102B-BI,1.0,
030200025_,VA56-225B-BI,1.0,
030200027_,RS16-126B-BI,1.0,
030200052_,RA10-125B-BI,1.0,
030200053_,RA16-112B-BI,1.0,
030200054_,RA16-227B-BI,1.0,
030200183_,РС16-006В,1.0,
030200191_,PC16-044B,14.0,
030200175_,BA10-045B,14.0,
030200176_,PA16-044B,12.0,
030200247_,GSL000112,15.0,
030200246_,GSL000113,20.0,
030200243_,GSL000152,15.0,
030200244_,GSL000153,20.0,
030200245_,GSL000131,20.0,
030200248_,GSL000161,20.0,
030200249_,GSL000163,20.0,
030200259_,GSL000120,15.0,
030200260_,GSL000126,10.0,
030200256_,GSL000142,15.0,
030200257_,GSL000144,15.0,
030200258_,GSL000148,10.0,
030200263_,GSL000181K,10.0,
030200262_,GSL000185,10.0,
030200265_,GSL000192,10.0,
030200261_,GSL000181T,10.0,
030200292_,GSL000133,1.0,
030200250_,GSL000101,45.0,
030200251_,GSL000102,30.0,
030200252_,GSL000103,15.0,
030200253_,GSL000104,15.0,
030200254_,GSL000105,5.0,
300200331_,ATN000111,20.0,
300200296_,ATN000112,15.0,
300200283_,ATN000113,20.0,
300200302_,ATN000152,15.0,
300200333_,ATN000151,20.0,
300200288_,ATN000153,20.0,
300200284_,ATN000131,20.0,
300200767_,ATN000123,1.0,
300200293_,ATN000183,10.0,
300200289_,ATN000161,20.0,
300200290_,ATN000163,20.0,
300200291_,ATN000171,5.0,
300200297_,ATN000120,15.0,
300200298_,ATN000126,10.0,
300200299_,ATN000128,6.0,
300200294_,ATN000185,10.0,
300200286_,ATN000143,20.0,
300200332_,ATN000141,20.0,
300200301_,ATN000144,15.0,
300200287_,ATN000147,15.0,
300200700_,ATN000146,15.0,
300200295_,ATN000191,10.0,
300200292_,ATN000181,5.0,
300200300_,ATN000138,1.0,
300200312_,ATN000133,1.0,
300200303_,ATN000101,45.0,
300200304_,ATN000102,30.0,
300200305_,ATN000103,15.0,
300200306_,ATN000104,15.0,
300200307_,ATN000105,5.0,
300200310_,ATN440161,20.0,
300200311_,ATN440146,15.0,
300200308_,ATN440101,10.0,
300200309_,ATN440102,5.0,
300200313_,BLNVS006101,10.0,
300200498_,ATN000165,20.0,
ATN000108,ATN000108,5.0,
300200314_,BLNVS006501,10.0,
ATN000109,ATN000109,5.0,
300200315_,BLNRS000011,10.0,
300200771_,ATN000173,5.0,
300200316_,BLNRS000021,6.0,
300200959_,ATN000199,10.0,
300200317_,BLNRS001011,10.0,
300200496_,ATN000115,5.0,
300200346_,BLNRS001111,10.0,
300200318_,BLNRS001021,6.0,
300200347_,BLNRS001121,6.0,
300200319_,BLNVA061011,15.0,
300200320_,BLNVA065011,15.0,
300200321_,BLNRA000111,18.0,
300200322_,BLNRA000211,10.0,
300200323_,BLNRA010111,12.0,
300200324_,BLNRA010211,8.0,
300200325_,BLNRA000311,6.0,
300200326_,BLNRA010311,5.0,
300200327_,BLNRA000411,5.0,
300200328_,BLNRA011411,4.0,
300200330_,BLNZA000011,8.0,
300200348_,BLNRS441121,5.0,
300200350_,BLNIS045001,10.0,
300200352_,BLNTS000011,10.0,
300200430_,ATN000312,10.0,
300200588_,ATN000311,10.0,
300200443_,ATN000313,10.0,
300200432_,ATN000352,10.0,
300200444_,ATN000353,10.0,
300200449_,ATN000331,10.0,
300200447_,ATN000334,1.0,
300200433_,ATN000383,5.0,
300200439_,ATN000361,10.0,
300200451_,ATN000363,10.0,
300200448_,ATN000371,5.0,
300200774_,ATN000373,5.0,
300200436_,ATN000320,6.0,
300200431_,ATN000326,6.0,
300200452_,ATN000328,6.0,
300200434_,ATN000385,5.0,
300200429_,ATN000344,10.0,
300200632_,ATN000341,10.0,
300200441_,ATN000391,10.0,
300200450_,ATN000381,10.0,
300200435_,ATN000301,20.0,
300200437_,ATN000302,10.0,
300200438_,ATN000303,5.0,
300200440_,ATN000304,5.0,
300200445_,ATN000305,5.0,
300200446_,ATN000365,10.0,
ATN000399,ATN000399,10.0,
300200592_,ATN000511,10.0,
300200366_,ATN000451,10.0,
LNVA105011,BLNVA105011,15.0,
300200595_,ATN000951,5.0,
030200097_,VS16-135-B,20.0,
300200718_,ATN001243,5.0,
300200719_,ATN001245,5.0,
300200720_,ATN001212,5.0,
300200721_,ATN001213,5.0,
300200722_,ATN001252,5.0,
300200777_,ATN001251,5.0,
300200723_,ATN001253,5.0,
300200724_,ATN001231,5.0,
300200725_,ATN001283,5.0,
300200726_,ATN001261,5.0,
300200727_,ATN001263,5.0,
300200728_,ATN001271,5.0,
300200729_,ATN001220,6.0,
300200730_,ATN001226,6.0,
300200731_,ATN001285,5.0,
300200732_,ATN001244,5.0,
300200778_,ATN001241,5.0,
300200733_,ATN001291,5.0,
300200734_,ATN001281,5.0,
300200735_,ATN001201,10.0,
300200736_,ATN001202,5.0,
300200737_,ATN001203,5.0,
300200738_,ATN001204,5.0,
300200742_,ATN540111,12.0,
300200739_,ATN001205,5.0,
300200743_,ATN540151,12.0,
300200740_,ATN001265,5.0,
300200741_,ATN001211,5.0,
300200744_,ATN540145,12.0,
300200745_,ATN540126,6.0,
300200746_,ATN540161,12.0,
300200747_,ATN540174,6.0,
300200748_,ATN540170,6.0,
300200749_,ATN544011,12.0,
300200750_,ATN544051,12.0,
300200751_,ATN544045,12.0,
300200752_,ATN544026,6.0,
300200753_,ATN544061,12.0,
300200754_,ATN544074,6.0,
300200755_,ATN544070,6.0,
300200497_,BLNMK000001,2.0,
030200226_,IMT35093,150.0,
030200223_,IMT35090,96.0,
030200227_,IMT35094,96.0,
030200225_,IMT35092,72.0,
030200224_,IMT35091,45.0,
030200221_,IMT35160,120.0,
030200222_,IMT35161,72.0,
300200473_,ATN000424,6.0,
ATN000446,ATN000446,10.0,
ATN000389,ATN000389,5.0,
130300026_,U731M,140.0,
130300027_,U733M,140.0,
130300028_,U734M,140.0,
030200203_,IMT35180,900.0,
