sku,supplier_sku,pack_size,min_order_qty
030200128_,VS616-157B-18,1.0,
030200382_,VS510-252-18,1.0,
030200127_,VS616-157-18,1.0,
030200141_,SR-5S2-18,1.0,
030200096_,RTS-151-18,1.0,
030200072_,RS16-151-18,1.0,
030200093_,RS16-152-18,20.0,
030200135_,RS16-254-18,12.0,
030200136_,RS16-255-18,6.0,
030200134_,RS16-152B-18,10.0,
030200094_,RSI-152T-18,1.0,
030200090_,RSI-152K5E-18,1.0,
030200095_,RSI-251TK5E-18,1.0,
030200142_,RSI-251KK5E-1-86,10.0,
280300174_,IMT35120,175.0,
030300013_,U195,108.0,
030200220_,IMT35122,72.0,
030200219_,IMT35121,84.0,
030300078_,U191,100.0,
030300014_,U192,56.0,
030200193_,IMT35150,3780.0,
030201459_,IMT35151,120.0,
030200192_,IMT35100,3600.0,
030200201_,IMT35101,120.0,
300200428_,ATN000343,10.0,
ATN544015,ATN544015,12.0,
ATN540115,ATN540115,12.0,
ATN000532,ATN000532,1.0,
ATN001232,ATN001232,1.0,
300201148_,BLNVA101006,15.0,
300201149_,BLNVA105016,15.0,
300201150_,BLNRA000116,18.0,
300201151_,BLNRA000216,10.0,
300201152_,BLNRA000316,6.0,
300201153_,BLNRA010316,5.0,
300201154_,BLNRA000416,5.0,
300201155_,BLNRA011416,4.0,
300200968_,BLNRA010116,12.0,
300200967_,BLNRA010216,8.0,
300200413_,BLNSK003231,6.0,
010400436_,EZ9E112S2FRU,1.0,
010400432_,EZ9E108S2FRU,1.0,
010400440_,EZ9E118S2FRU,1.0,
010400444_,EZ9E212S2FRU,1.0,
010400447_,EZ9E312S2FRU,1.0,
010400433_,EZ9E108S2SRU,1.0,
010400437_,EZ9E112S2SRU,1.0,
010400441_,EZ9E118S2SRU,1.0,
010400445_,EZ9E212S2SRU,1.0,
010400448_,EZ9E312S2SRU,1.0,
300200784_,GAL000343,10.0,
300200785_,GAL000311,10.0,
300200786_,GAL000313,10.0,
300200787_,GAL000351,10.0,
300200788_,GAL000353,10.0,
300200789_,GAL000386,5.0,
300200790_,GAL000361,10.0,
300200791_,GAL000371,5.0,
300200792_,GAL000388,1.0,
300200793_,GAL000345,10.0,
300200794_,GAL000391,5.0,
300200795_,GAL000301,20.0,
300200796_,GAL000302,10.0,
300200797_,GAL000303,5.0,
300200798_,GAL000304,5.0,
300200799_,GAL000305,5.0,
300200800_,GAL000365,10.0,
300200801_,GAL440301,10.0,
300200802_,GAL440302,5.0,
300200803_,GAL440346,10.0,
300200804_,GAL000315,5.0,
300200805_,GAL000399,5.0,
300200806_,GAL000389,5.0,
300200807_,GAL000329,1.0,
300200808_,GAL000323,1.0,
300200809_,GAL000346,10.0,
300200810_,GAL000543,10.0,
300200811_,GAL000545,10.0,
300200812_,GAL000511,10.0,
300200813_,GAL000513,10.0,
300200814_,GAL000551,10.0,
300200815_,GAL000553,10.0,
300200816_,GAL000586,5.0,
300200817_,GAL000561,10.0,
300200818_,GAL000571,5.0,
300200819_,GAL000588,1.0,
300200820_,GAL000591,5.0,
300200821_,GAL000501,20.0,
300200822_,GAL000502,10.0,
300200823_,GAL000503,5.0,
300200824_,GAL000504,5.0,
300200825_,GAL000505,5.0,
300200826_,GAL000565,10.0,
300200827_,GAL000515,5.0,
300200828_,GAL000599,5.0,
300200829_,GAL000589,5.0,
300200830_,GAL000529,1.0,
300200831_,GAL000523,1.0,
300200832_,GAL000546,10.0,
300200833_,GAL001311,5.0,
300200834_,GAL001313,5.0,
300200835_,GAL001351,5.0,
300200836_,GAL001353,5.0,
300200837_,GAL001323,1.0,
300200838_,GAL001386,5.0,
300200839_,GAL001361,5.0,
300200840_,GAL001371,5.0,
300200841_,GAL001388,1.0,
300200842_,GAL001343,5.0,
300200843_,GAL001345,5.0,
300200844_,GAL001346,5.0,
300200845_,GAL001391,5.0,
300200846_,GAL001301,10.0,
300200847_,GAL001302,5.0,
300200848_,GAL001303,5.0,
300200849_,GAL001304,5.0,
300200850_,GAL001305,5.0,
300200851_,GAL001365,5.0,
300200852_,GAL001315,5.0,
300200853_,GAL001399,5.0,
300200854_,GAL001389,5.0,
300200855_,GAL001329,1.0,
300200856_,GAL001043,5.0,
300200857_,GAL001011,5.0,
300200858_,GAL001013,5.0,
300200859_,GAL001051,5.0,
300200860_,GAL001053,5.0,
300200861_,GAL001086,5.0,
300200862_,GAL001061,5.0,
300200863_,GAL001071,5.0,
300200864_,GAL001088,1.0,
300200865_,GAL001045,5.0,
300200866_,GAL001046,5.0,
300200867_,GAL001091,5.0,
300200868_,GAL001001,10.0,
300200869_,GAL001002,5.0,
300200870_,GAL001003,5.0,
300200871_,GAL001004,5.0,
300200872_,GAL001005,5.0,
300200873_,GAL001065,5.0,
300200874_,GAL001023,1.0,
300200875_,GAL441046,5.0,
300200876_,GAL441001,5.0,
300200877_,GAL441002,5.0,
300200878_,GAL001015,5.0,
300200879_,GAL001099,5.0,
300200880_,GAL001089,5.0,
300200881_,GAL001029,1.0,
300200882_,GAL001601,10.0,
300200883_,GAL001602,5.0,
300200884_,GAL001603,5.0,
300200885_,GAL001604,5.0,
300200886_,GAL001605,5.0,
300200887_,GAL000943,5.0,
300200888_,GAL000911,5.0,
300200889_,GAL000913,5.0,
300200890_,GAL000951,5.0,
300200892_,GAL000986,5.0,
300200893_,GAL000961,5.0,
300200894_,GAL000971,5.0,
300200895_,GAL000988,1.0,
300200896_,GAL000945,5.0,
300200897_,GAL000991,5.0,
300200898_,GAL000901,10.0,
300200899_,GAL000902,5.0,
300200900_,GAL000903,5.0,
300200901_,GAL000904,5.0,
300200902_,GAL000905,5.0,
300200903_,GAL000965,5.0,
300200904_,GAL000915,5.0,
300200905_,GAL000999,5.0,
300200906_,GAL000989,5.0,
300200907_,GAL000929,1.0,
300200908_,GAL000923,1.0,
