sku,product_name,unit,supplier_sku
010400432_,City 9 ЩРВ-П 8 Прозрач./дв. Systeme Electric,шт,EZ9E108S2FRU
010400433_,City 9 ЩРН-П 8 Прозрач./дв. Systeme Electric,шт,EZ9E108S2SRU
010400436_,City 9 ЩРВ-П 12 Прозрач./дв. Systeme Electric,шт,EZ9E112S2FRU
010400437_,City 9 ЩРН-П 12 Прозрач./дв. Systeme Electric,шт,EZ9E112S2SRU
010400440_,City 9 ЩРВ-П 18 Прозрач./дв. Systeme Electric,шт,EZ9E118S2FRU
010400441_,City 9 ЩРН-П 18 Прозрач./дв. Systeme Electric,шт,EZ9E118S2SRU
010400444_,City 9 ЩРВ-П 24 Прозрач./дв. Systeme Electric,шт,EZ9E212S2FRU
010400445_,City 9 ЩРН-П 24 Прозрач./дв. Systeme Electric,шт,EZ9E212S2SRU
010400447_,City 9 ЩРВ-П 36 Прозрач./дв. Systeme Electric,шт,EZ9E312S2FRU
010400448_,City 9 ЩРН-П 36 Прозрач./дв. Systeme Electric,шт,EZ9E312S2SRU
020100158_,"K0688 Выкл 1 кл 10А механизм ""ATLAS"" КАРБОН ATN1011 (5)",шт,ATN001011
020100159_,"K069 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" КАРБОН - ATN1013",шт,ATN001013
020100160_,"K0700 Выкл 2 кл 10А механизм ""ATLAS"" КАРБОН ATN1051 (5)",шт,ATN001051
020100161_,"K071 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" КАРБОН - ATN1053",шт,ATN001053
020100162_,"K077 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"", КАРБОН - ATN1071 (2)",шт,ATN001071
020100163_,"K0677 Роз. без з/к без шторок, 16А, механизм ""ATLAS"" КАРБОН ATN1041 (10)",шт,ATN001041
030200002_,"S239 1кл о/у. 6А IP20 ""Прима"" ВА 16-051-б (130) !!!",шт,A16-051-B
030200003_,"S242 2кл.инд о/у 6А IP20 ""Прима"" ВА 56-007-б (130) !!!",шт,A56-007-B
030200005_,"S233 1кл. инд.с/у 6А IP20 ""Прима"" ВС 16-053-б (96) !!!",шт,S16-053-B
030200006_,"S231 1кл с/у. 6А IP20 ""Прима"" ВС 16-057-б (96) !!!",шт,S16-057-B
030200007_,"S234 2кл.инд.с/у 6А IP20 ""Прима"" ВС 56-039-б (96) !!!",шт,S56-039-B
030200008_,"S232 2кл с/у. 6А IP20 ""Прима"" ВС 56-043-б (96) !!!",шт,S56-043-B
030200009_,"S243 о\у 10А IP20 ""Прима"" РА 10-164-б (168) !!!",шт,RA10-164-B
030200010_,"S245 2-я.о/у 10А IP20 ""Прима"" РА 16-213-б (112)",шт,
030200011_,"S244 о/у з/к.з/ш 16А IP20 ""Прима"" РА 16-003/1-б (111)",шт,
030200012_,"S246 2-я о\у.з/к.з/ш 16А IP20 ""Прима"" РА 16-214-б (84)",шт,
030200013_,"S235 с/у 10А IP20 ""Прима"" РС 10-184-б (99) !!!",шт,
030200015_,"S236 с/у з/к.з/ш.16А IP20 ""Прима"" РС 16-004-б (81) !!!",шт,RS16-004-B
030200016_,"S238 2-я с/у.з/к.з/ш 16А IP20 ""Прима"" РС 16-212-б (68) !!!",шт,
030200025_,"S284 2кл. о/у 6А IP44 ""Рондо"" ВА 56-225Б-би (10/60) !!!",шт,VA56-225B-BI
030200026_,"S283 о/у. 6А IP44 ""Рондо"" ВА 66-102Б-би переключатель (10/60) !!!",шт,VA66-102B-BI
030200027_,"S285 с/у.з/к.з/ш 16А IP44 ""Рондо"" РС 16-126Б-би (10/60) !!!",шт,RS16-126B-BI
030200028_,"S254 о/у. 6А IP20 ""ХИТ"" ВА 16-131-б (168) !!!",шт,VA16-131-B
030200029_,"S255 2кл.о/у. 6А IP20 ""ХИТ"" ВА 56-232-б (168) !!!",шт,VA56-232-B
030200030_,"S248 с/у. 6А IP20 ""ХИТ"" ВС 16-133-б (96) !!!",шт,VS16-133-B
030200031_,"S249 2кл. с/у. 6А IP20 ""ХИТ"" ВС 56-234-б (96) !!!",шт,VS56-234-B
030200032_,"S256 о/у.10А IP20 ""ХИТ"" РА 10-131-б (168) !!!",шт,RA10-131-B
030200034_,"S257 о/у. з/к 16А IP20 ""ХИТ"" РА 16-133-б (132) !!!",шт,RA16-133-B
030200036_,"S250 с/у 10А IP20 ""ХИТ"" РС 10-132-б / 10-135-б (114) !!!",шт,RS10-132-B
030200037_,"S252 2-я с/у 10А IP20 ""ХИТ"" РС 16-235-б / 16-230-б (80) !!!",шт,RS16-235-B
