sku,supplier_sku,min_order_qty,moq_known
081100768_,LDPA0-5030-1H-K01,1.0,True
081100769_,LDPA0-5030-3H-K01,1.0,True
130200381_,LDBA0-3926-30-K01,1.0,True
081100762_,LDBA0-3927-90-K01,1.0,True
130200378_,LDBA0-3928-60-K01,1.0,True
081100766_,LDRO1-2060-04-10-K02,1.0,True
081100767_,LDRO1-2061-09-10-K02,1.0,True
081100760_,LDNN5-001-SQ-P-00-S-K01,1.0,True
081100759_,LDNN1-002-OV-P-00-S-K01,1.0,True
081100758_,LDNN0-005-OV-P-00-S-K01,1.0,True
081100761_,LDNN8-018-SQ-P-00-S-K01,1.0,True
150101182_,LT-UBU0-5100-E27-1-K02,1.0,True
150101183_,LT-UBU0-5101-E27-2-K02,1.0,True
150101200_,LT-UPU0-5104-GX53-1-K01,1.0,True
150101202_,LT-UPU0-5104-GX53-1-K03,1.0,True
150101201_,LT-UPU0-5104-GX53-1-K02,1.0,True
150101188_,LT-UBU0-5107-GU10-1-K01,1.0,True
150101190_,LT-UBU0-5107-GU10-1-K03,1.0,True
150101189_,LT-UBU0-5107-GU10-1-K02,1.0,True
150101191_,LT-UBU0-5108-GU10-2-K01,1.0,True
150101193_,LT-UBU0-5108-GU10-2-K03,1.0,True
150101192_,LT-UBU0-5108-GU10-2-K02,1.0,True
150101205_,LT-UPU0-5110-GU10-1-K03,1.0,True
150101204_,LT-UPU0-5110-GU10-1-K02,1.0,True
150101207_,LT-UPU0-5112-GU10-1-K03,1.0,True
150101209_,LT-UPU0-5113-GU10-2-K03,1.0,True
150101208_,LT-UPU0-5113-GU10-2-K02,1.0,True
150101194_,LT-UBU0-5220-GU10-1-K01,1.0,True
150101196_,LT-UBU0-5220-GU10-1-K03,1.0,True
150101195_,LT-UBU0-5220-GU10-1-K02,1.0,True
150101197_,LT-UBU0-5221-GU10-2-K01,1.0,True
150101199_,LT-UBU0-5221-GU10-2-K03,1.0,True
150101198_,LT-UBU0-5221-GU10-2-K02,1.0,True
150101210_,LT-UPU0-5222-GU10-1-K01,1.0,True
150101178_,LT-DBU0-5103-010-40-K03,1.0,True
150101177_,LT-DBU0-5103-010-40-K02,1.0,True
150101179_,LT-DBU0-5111-006-40-K01,1.0,True
150101181_,LT-DBU0-5111-006-40-K03,1.0,True
150101180_,LT-DBU0-5111-006-40-K02,1.0,True
080800137_,LSR5-1-120-65-2-10-S0,1.0,True
080800139_,LSR5-2-120-65-2-10-S0,1.0,True
080800141_,LSR5-RGB-060-65-2-10-S0,1.0,True
080800138_,LSR5-2-120-65-2-05-S0,1.0,True
080800136_,LSR5-1-120-65-2-05-S0,1.0,True
080800140_,LSR5-RGB-060-65-2-05-S0,1.0,True
080800130_,LSR1-1-060-20-1-D12-S3,1.0,True
080800129_,LSR1-1-060-20-1-2XD12-S3,1.0,True
080800132_,LSR1-2-060-20-1-05-S1,1.0,True
080800133_,LSR1-2-060-65-1-05-S1,1.0,True
080800128_,LSR1-1-060-20-1-05-S1,1.0,True
080800131_,LSR1-1-060-65-1-05-S1,1.0,True
080800134_,LSR2-3-060-20-1-05-S2,1.0,True
080800135_,LSR2-3-060-65-1-05-S2,1.0,True
151000059_,LNPP0-1101-1-100-K01,1.0,True
151000061_,LNPP0-1102-1-100-K01,1.0,True
151000082_,LNPP0-1401-1-060-K01,1.0,True
151000175_,WSP20-10-K09,1.0,True
151000137_,WSP20-05-K09,1.0,True
081100277_,LLE-A60-11-230-30-E27,10.0,True
081100278_,LLE-A60-11-230-40-E27,10.0,True
081100745_,LLE-T80-10-230-40-GX53,10.0,True
081100746_,LLE-T80-10-230-65-GX53,10.0,True
081100747_,LLE-T80-15-230-40-GX53,10.0,True
081100635_,LLE-T80-15-230-65-GX53,10.0,True
081100743_,LLE-T80-6-230-40-GX53,10.0,True
081100744_,LLE-T80-6-230-65-GX53,10.0,True
081100749_,LUVB0-GX53-1-K01,10.0,True
081100750_,LUPB0-GX53-1-K01,10.0,True
081100706_,LLF-A60-9-230-30-E27-CLG,10.0,True
081100702_,LLF-A60-11-230-30-E27-CLG,10.0,True
081100703_,LLF-A60-7-230-30-E27-CL,10.0,True
