target_month,sku,unit,month_number,days_in_month,lag_1,lag_2,lag_3,lag_6,lag_12,mean_3,mean_6,std_6,observations_3,observations_6,missing_share_6,zero_share_6,history_observed_months,history_calendar_months,opening_stock_lag_1,target_qty,split
2024-04-01,010300001_,шт,4,30,4.0,3.0,24.0,,,10.333333333333334,10.333333333333334,11.846237095944574,3.0,3.0,0.0,0.0,3,3,36.0,11.0,train
2024-05-01,010300001_,шт,5,31,11.0,4.0,3.0,,,6.0,10.5,9.678154093971983,3.0,4.0,0.0,0.0,4,4,61.0,4.0,train
2024-06-01,010300001_,шт,6,30,4.0,11.0,4.0,,,6.333333333333333,9.2,8.87130204648675,3.0,5.0,0.0,0.0,5,5,21.0,5.0,train
2024-07-01,010300001_,шт,7,31,5.0,4.0,11.0,24.0,,6.666666666666667,8.5,8.117881497040962,3.0,6.0,0.0,0.0,6,6,125.0,13.0,train
2024-08-01,010300001_,шт,8,31,13.0,5.0,4.0,3.0,,7.333333333333333,6.666666666666667,4.226897995772628,3.0,6.0,0.0,0.0,7,7,123.0,14.0,train
2024-09-01,010300001_,шт,9,30,14.0,13.0,5.0,4.0,,10.666666666666666,8.5,4.679743582719035,3.0,6.0,0.0,0.0,8,8,102.0,16.0,train
2024-10-01,010300001_,шт,10,31,16.0,14.0,13.0,11.0,,14.333333333333334,10.5,4.9295030175464944,3.0,6.0,0.0,0.0,9,9,16.0,42.0,train
2024-11-01,010300001_,шт,11,30,42.0,16.0,14.0,4.0,,24.0,15.666666666666666,13.808210118138652,3.0,6.0,0.0,0.0,10,10,,4.0,train
2024-12-01,010300001_,шт,12,31,4.0,42.0,16.0,5.0,,20.666666666666668,15.666666666666666,13.808210118138652,3.0,6.0,0.0,0.0,11,11,58.0,19.0,train
2025-01-01,010300001_,шт,1,31,19.0,4.0,42.0,13.0,24.0,21.666666666666668,18.0,12.790621564255586,3.0,6.0,0.0,0.0,12,12,50.0,28.0,train
2025-03-01,010300001_,шт,3,31,,28.0,19.0,16.0,4.0,23.5,21.8,14.184498581197715,2.0,5.0,0.16666666666666663,0.0,13,14,23.0,14.0,train
2025-04-01,010300001_,шт,4,30,14.0,,28.0,42.0,11.0,21.0,21.4,14.415269681833912,2.0,5.0,0.16666666666666663,0.0,14,15,63.0,14.0,train
2025-05-01,010300001_,шт,5,31,14.0,14.0,,4.0,4.0,14.0,15.8,8.729261137118076,2.0,5.0,0.16666666666666663,0.0,15,16,49.0,72.0,train
2025-07-01,010300001_,шт,7,31,,72.0,14.0,28.0,13.0,43.0,32.0,27.47119703738202,2.0,4.0,0.33333333333333337,0.0,16,18,4.0,2.0,train
2025-08-01,010300001_,шт,8,31,2.0,,72.0,,14.0,37.0,25.5,31.51190251317746,2.0,4.0,0.33333333333333337,0.0,17,19,64.0,3.0,train
2025-09-01,010300001_,шт,9,30,3.0,2.0,,14.0,16.0,2.5,21.0,29.086079144497972,2.0,5.0,0.16666666666666663,0.0,18,20,62.0,2.0,train
2025-10-01,010300001_,шт,10,31,2.0,3.0,2.0,14.0,42.0,2.3333333333333335,18.6,30.278705388440898,3.0,5.0,0.16666666666666663,0.0,19,21,55.0,89.0,train
2025-11-01,010300001_,шт,11,30,89.0,2.0,3.0,72.0,4.0,31.333333333333332,33.6,43.23540216072935,3.0,5.0,0.16666666666666663,0.0,20,22,58.0,14.0,train
2025-12-01,010300001_,шт,12,31,14.0,89.0,2.0,,19.0,35.0,22.0,37.795502377928514,3.0,5.0,0.16666666666666663,0.0,21,23,15.0,4.0,train
2026-01-01,010300001_,шт,1,31,4.0,14.0,89.0,2.0,28.0,35.666666666666664,19.0,34.59479729670345,3.0,6.0,0.0,0.0,22,24,1.0,10.0,validation
2026-02-01,010300001_,шт,2,28,10.0,4.0,14.0,3.0,,9.333333333333334,20.333333333333332,33.95683534528308,3.0,6.0,0.0,0.0,23,25,76.0,10.0,validation
2026-04-01,010300001_,шт,4,30,,10.0,10.0,89.0,14.0,10.0,25.4,35.73233829460367,2.0,5.0,0.16666666666666663,0.0,24,27,55.0,24.0,validation
2026-06-01,010300001_,шт,6,30,,24.0,,4.0,,24.0,12.0,8.485281374238555,1.0,4.0,0.33333333333333337,0.0,25,29,55.0,7.0,validation
2024-04-01,010300002_,шт,4,30,78.0,27.0,95.0,,,66.66666666666667,66.66666666666667,35.388321990924254,3.0,3.0,0.0,0.0,3,3,518.0,195.0,train
2024-05-01,010300002_,шт,5,31,195.0,78.0,27.0,,,100.0,98.75,70.37222463443939,3.0,4.0,0.0,0.0,4,4,386.0,407.0,train
2024-06-01,010300002_,шт,6,30,407.0,195.0,78.0,,,226.66666666666666,160.4,150.72425153239274,3.0,5.0,0.0,0.0,5,5,390.0,40.0,train
2024-07-01,010300002_,шт,7,31,40.0,407.0,195.0,95.0,,214.0,140.33333333333334,143.4930892644892,3.0,6.0,0.0,0.0,6,6,,492.0,train
2024-08-01,010300002_,шт,8,31,492.0,40.0,407.0,27.0,,313.0,206.5,199.14693068184607,3.0,6.0,0.0,0.0,7,7,,55.0,train
2024-09-01,010300002_,шт,9,30,55.0,492.0,40.0,78.0,,195.66666666666666,211.16666666666666,194.37017946862804,3.0,6.0,0.0,0.0,8,8,,311.0,train
2024-10-01,010300002_,шт,10,31,311.0,55.0,492.0,195.0,,286.0,250.0,185.51765414644507,3.0,6.0,0.0,0.0,9,9,,182.0,train
2024-11-01,010300002_,шт,11,30,182.0,311.0,55.0,407.0,,182.66666666666666,247.83333333333334,186.36246045453112,3.0,6.0,0.0,0.0,10,10,241.0,703.0,train
2024-12-01,010300002_,шт,12,31,703.0,182.0,311.0,40.0,,398.6666666666667,297.1666666666667,261.1110236406473,3.0,6.0,0.0,0.0,11,11,419.0,442.0,train
2025-01-01,010300002_,шт,1,31,442.0,703.0,182.0,492.0,95.0,442.3333333333333,364.1666666666667,231.86324992690555,3.0,6.0,0.0,0.0,12,12,1.0,366.0,train
2025-02-01,010300002_,шт,2,28,366.0,442.0,703.0,55.0,27.0,503.6666666666667,343.1666666666667,223.52576287011453,3.0,6.0,0.0,0.0,13,13,559.0,245.0,train
2025-03-01,010300002_,шт,3,31,245.0,366.0,442.0,311.0,78.0,351.0,374.8333333333333,184.6070601755704,3.0,6.0,0.0,0.0,14,14,313.0,499.0,train
2025-04-01,010300002_,шт,4,30,499.0,245.0,366.0,182.0,195.0,370.0,406.1666666666667,187.53710743921235,3.0,6.0,0.0,0.0,15,15,668.0,79.0,train
2025-05-01,010300002_,шт,5,31,79.0,499.0,245.0,703.0,407.0,274.3333333333333,389.0,214.88136261667742,3.0,6.0,0.0,0.0,16,16,359.0,331.0,train
2025-06-01,010300002_,шт,6,30,331.0,79.0,499.0,442.0,40.0,303.0,327.0,150.0493252234078,3.0,6.0,0.0,0.0,17,17,945.0,214.0,train
2025-07-01,010300002_,шт,7,31,214.0,331.0,79.0,366.0,492.0,208.0,289.0,143.84296993596874,3.0,6.0,0.0,0.0,18,18,631.0,185.0,train
2025-08-01,010300002_,шт,8,31,185.0,214.0,331.0,245.0,55.0,243.33333333333334,258.8333333333333,143.44394956451342,3.0,6.0,0.0,0.0,19,19,479.0,309.0,train
2025-09-01,010300002_,шт,9,30,309.0,185.0,214.0,499.0,311.0,236.0,269.5,144.58457732413925,3.0,6.0,0.0,0.0,20,20,998.0,204.0,train
2025-10-01,010300002_,шт,10,31,204.0,309.0,185.0,79.0,182.0,232.66666666666666,220.33333333333334,91.25714583892416,3.0,6.0,0.0,0.0,21,21,1089.0,527.0,train
2025-11-01,010300002_,шт,11,30,527.0,204.0,309.0,331.0,703.0,346.6666666666667,295.0,128.2637906815482,3.0,6.0,0.0,0.0,22,22,1006.0,103.0,train
2025-12-01,010300002_,шт,12,31,103.0,527.0,204.0,214.0,442.0,278.0,257.0,147.75791010974677,3.0,6.0,0.0,0.0,23,23,959.0,291.0,train
2026-01-01,010300002_,шт,1,31,291.0,103.0,527.0,185.0,366.0,307.0,269.8333333333333,146.61571084527972,3.0,6.0,0.0,0.0,24,24,977.0,5.0,validation
2026-02-01,010300002_,шт,2,28,5.0,291.0,103.0,309.0,245.0,133.0,239.83333333333334,181.67048925641907,3.0,6.0,0.0,0.0,25,25,1016.0,194.0,validation
2026-03-01,010300002_,шт,3,31,194.0,5.0,291.0,204.0,499.0,163.33333333333334,220.66666666666666,178.9599582774501,3.0,6.0,0.0,0.0,26,26,987.0,549.0,validation
2026-04-01,010300002_,шт,4,30,549.0,194.0,5.0,527.0,79.0,249.33333333333334,278.1666666666667,222.6301117698742,3.0,6.0,0.0,0.0,27,27,823.0,37.0,validation
2026-05-01,010300002_,шт,5,31,37.0,549.0,194.0,103.0,331.0,260.0,196.5,202.01361340266158,3.0,6.0,0.0,0.0,28,28,753.0,53.0,validation
2026-06-01,010300002_,шт,6,30,53.0,37.0,549.0,291.0,214.0,213.0,188.16666666666666,207.59616245650275,3.0,6.0,0.0,0.0,29,29,796.0,71.0,validation
2026-07-01,010300002_,шт,7,31,71.0,53.0,37.0,5.0,185.0,53.666666666666664,151.5,205.2157401370568,3.0,6.0,0.0,0.0,30,30,902.0,375.0,test
2026-08-01,010300002_,шт,8,31,375.0,71.0,53.0,194.0,309.0,166.33333333333334,213.16666666666666,207.96193561963855,3.0,6.0,0.0,0.0,31,31,786.0,84.0,test
2024-04-01,010300003_,шт,4,30,73.0,55.0,162.0,,,96.66666666666667,96.66666666666667,57.29165151514951,3.0,3.0,0.0,0.0,3,3,248.0,55.0,train
2024-05-01,010300003_,шт,5,31,55.0,73.0,55.0,,,61.0,86.25,51.20790954530364,3.0,4.0,0.0,0.0,4,4,218.0,148.0,train
2024-06-01,010300003_,шт,6,30,148.0,55.0,73.0,,,92.0,98.6,52.24270283972682,3.0,5.0,0.0,0.0,5,5,274.0,165.0,train
2024-07-01,010300003_,шт,7,31,165.0,148.0,55.0,162.0,,122.66666666666667,109.66666666666667,54.020983577371744,3.0,6.0,0.0,0.0,6,6,128.0,175.0,train
2024-08-01,010300003_,шт,8,31,175.0,165.0,148.0,55.0,,162.66666666666666,111.83333333333333,56.73241284016278,3.0,6.0,0.0,0.0,7,7,284.0,250.0,train
2024-09-01,010300003_,шт,9,30,250.0,175.0,165.0,73.0,,196.66666666666666,144.33333333333334,71.575601056971,3.0,6.0,0.0,0.0,8,8,142.0,101.0,train
2024-10-01,010300003_,шт,10,31,101.0,250.0,175.0,55.0,,175.33333333333334,149.0,66.74428814512895,3.0,6.0,0.0,0.0,9,9,92.0,26.0,train
2024-11-01,010300003_,шт,11,30,26.0,101.0,250.0,148.0,,125.66666666666667,144.16666666666666,75.40137045615728,3.0,6.0,0.0,0.0,10,10,185.0,109.0,train
2024-12-01,010300003_,шт,12,31,109.0,26.0,101.0,165.0,,78.66666666666667,137.66666666666666,76.67507200300935,3.0,6.0,0.0,0.0,11,11,562.0,362.0,train
2025-01-01,010300003_,шт,1,31,362.0,109.0,26.0,175.0,162.0,165.66666666666666,170.5,120.42051320269317,3.0,6.0,0.0,0.0,12,12,380.0,237.0,train
2025-02-01,010300003_,шт,2,28,237.0,362.0,109.0,250.0,55.0,236.0,180.83333333333334,123.50452083493408,3.0,6.0,0.0,0.0,13,13,219.0,101.0,train
2025-03-01,010300003_,шт,3,31,101.0,237.0,362.0,101.0,73.0,233.33333333333334,156.0,121.78341430588978,3.0,6.0,0.0,0.0,14,14,143.0,55.0,train
2025-04-01,010300003_,шт,4,30,55.0,101.0,237.0,26.0,55.0,131.0,148.33333333333334,127.26298231090871,3.0,6.0,0.0,0.0,15,15,413.0,125.0,train
2025-05-01,010300003_,шт,5,31,125.0,55.0,101.0,109.0,148.0,93.66666666666667,164.83333333333334,113.95159791186198,3.0,6.0,0.0,0.0,16,16,321.0,21.0,train
2025-06-01,010300003_,шт,6,30,21.0,125.0,55.0,362.0,165.0,67.0,150.16666666666666,127.4400512659449,3.0,6.0,0.0,0.0,17,17,422.0,98.0,train
2025-07-01,010300003_,шт,7,31,98.0,21.0,125.0,237.0,175.0,81.33333333333333,106.16666666666667,74.07676198826906,3.0,6.0,0.0,0.0,18,18,402.0,19.0,train
2025-08-01,010300003_,шт,8,31,19.0,98.0,21.0,101.0,250.0,46.0,69.83333333333333,44.71427810740836,3.0,6.0,0.0,0.0,19,19,305.0,153.0,train
2025-09-01,010300003_,шт,9,30,153.0,19.0,98.0,55.0,101.0,90.0,78.5,55.66237508407266,3.0,6.0,0.0,0.0,20,20,526.0,74.0,train
2025-10-01,010300003_,шт,10,31,74.0,153.0,19.0,125.0,26.0,82.0,81.66666666666667,54.588155003321546,3.0,6.0,0.0,0.0,21,21,372.0,195.0,train
2025-11-01,010300003_,шт,11,30,195.0,74.0,153.0,21.0,109.0,140.66666666666666,93.33333333333333,70.78041160283443,3.0,6.0,0.0,0.0,22,22,360.0,153.0,train
2025-12-01,010300003_,шт,12,31,153.0,195.0,74.0,98.0,362.0,140.66666666666666,115.33333333333333,63.98958248548479,3.0,6.0,0.0,0.0,23,23,413.0,80.0,train
2026-01-01,010300003_,шт,1,31,80.0,153.0,195.0,19.0,237.0,142.66666666666666,112.33333333333333,65.3717574084303,3.0,6.0,0.0,0.0,24,24,341.0,55.0,validation
2026-02-01,010300003_,шт,2,28,55.0,80.0,153.0,153.0,101.0,96.0,118.33333333333333,56.08446011745733,3.0,6.0,0.0,0.0,25,25,423.0,47.0,validation
2026-03-01,010300003_,шт,3,31,47.0,55.0,80.0,74.0,55.0,60.666666666666664,100.66666666666667,59.567328852875896,3.0,6.0,0.0,0.0,26,26,487.0,199.0,validation
2026-04-01,010300003_,шт,4,30,199.0,47.0,55.0,195.0,125.0,100.33333333333333,121.5,69.41973782722026,3.0,6.0,0.0,0.0,27,27,364.0,22.0,validation
2026-05-01,010300003_,шт,5,31,22.0,199.0,47.0,153.0,21.0,89.33333333333333,92.66666666666667,68.71001867753101,3.0,6.0,0.0,0.0,28,28,109.0,5.0,validation
2026-06-01,010300003_,шт,6,30,5.0,22.0,199.0,80.0,98.0,75.33333333333333,68.0,69.28203230275503,3.0,6.0,0.0,0.0,29,29,327.0,268.0,validation
2026-07-01,010300003_,шт,7,31,268.0,5.0,22.0,55.0,19.0,98.33333333333333,99.33333333333333,107.67110413972108,3.0,6.0,0.0,0.0,30,30,322.0,151.0,test
2026-08-01,010300003_,шт,8,31,151.0,268.0,5.0,47.0,153.0,141.33333333333334,115.33333333333333,106.89558768567888,3.0,6.0,0.0,0.0,31,31,279.0,6.0,test
2024-04-01,010300004_,шт,4,30,5.0,7.0,18.0,,,10.0,10.0,7.0,3.0,3.0,0.0,0.0,3,3,60.0,28.0,train
2024-05-01,010300004_,шт,5,31,28.0,5.0,7.0,,,13.333333333333334,14.5,10.661457061146317,3.0,4.0,0.0,0.0,4,4,34.0,37.0,train
2024-06-01,010300004_,шт,6,30,37.0,28.0,5.0,,,23.333333333333332,19.0,13.656500283747663,3.0,5.0,0.0,0.0,5,5,39.0,9.0,train
2024-07-01,010300004_,шт,7,31,9.0,37.0,28.0,18.0,,24.666666666666668,17.333333333333332,12.878923350446135,3.0,6.0,0.0,0.0,6,6,16.0,207.0,train
2024-08-01,010300004_,шт,8,31,207.0,9.0,37.0,7.0,,84.33333333333333,48.833333333333336,78.5478622666885,3.0,6.0,0.0,0.0,7,7,52.0,1.0,train
2024-09-01,010300004_,шт,9,30,1.0,207.0,9.0,5.0,,72.33333333333333,47.833333333333336,79.22226118122775,3.0,6.0,0.0,0.0,8,8,,6.0,train
2024-10-01,010300004_,шт,10,31,6.0,1.0,207.0,28.0,,71.33333333333333,48.0,79.11510601648713,3.0,6.0,0.0,0.0,9,9,79.0,5.0,train
2024-11-01,010300004_,шт,11,30,5.0,6.0,1.0,37.0,,4.0,44.166666666666664,80.81687117592877,3.0,6.0,0.0,0.0,10,10,114.0,15.0,train
2024-12-01,010300004_,шт,12,31,15.0,5.0,6.0,9.0,,8.666666666666666,40.5,81.70128517961024,3.0,6.0,0.0,0.0,11,11,119.0,8.0,train
2025-01-01,010300004_,шт,1,31,8.0,15.0,5.0,207.0,18.0,9.333333333333334,40.333333333333336,81.77937800366708,3.0,6.0,0.0,0.0,12,12,104.0,12.0,train
2025-02-01,010300004_,шт,2,28,12.0,8.0,15.0,1.0,7.0,11.666666666666666,7.833333333333333,5.036533199202211,3.0,6.0,0.0,0.0,13,13,116.0,4.0,train
2025-03-01,010300004_,шт,3,31,4.0,12.0,8.0,6.0,5.0,8.0,8.333333333333334,4.320493798938501,3.0,6.0,0.0,0.0,14,14,104.0,38.0,train
