sku,product_name,unit,supplier_sku
0000352,Контактор КТИ-65003 реверс. 500А 230В IEK !!!,шт,
010300001_,УЗО АД 12 (2ф) 10А IEK (5/40),шт,MAD10-2-010-C-030
010300002_,УЗО АД 12 (2ф) 16А IEK (5/40),шт,MAD10-2-016-C-030
010300003_,УЗО АД 12 (2ф) 25А IEK (5/40),шт,MAD10-2-025-C-030
010300004_,УЗО АД 12 (2ф) 32А IEK (5/40),шт,MAD10-2-032-C-030
010300005_,УЗО АД 12 (2ф) 40А IEK (4/32),шт,MAD10-2-040-C-030
010300006_,УЗО АД 12 (2ф) 50А IEK (4/32),шт,MAD10-2-050-C-030
010300007_,УЗО АД 12 (2ф) 63А IEK (4/32),шт,MAD10-2-063-C-030
010300008_,УЗО АД 14 (4ф) 16А IEK (3/24),шт,MAD10-4-016-C-030
010300009_,УЗО АД 14 (4ф) 25А IEK (3/24),шт,MAD10-4-025-C-030
010300010_,УЗО АД 14 (4ф) 32А IEK (3/24),шт,MAD10-4-032-C-030
010300011_,УЗО АД 14 (4ф) 40А IEK (3/24),шт,MAD10-4-040-C-030
010300012_,УЗО АД 14 (4ф) 50А IEK (3/24),шт,MAD10-4-050-C-030
010300013_,УЗО АД 14 (4ф) 63А IEK (3/24),шт,MAD10-4-063-C-030
010300014_,УЗО ВД1 63 (2ф) 16А IEK (1/48),шт,MDV10-2-016-030
010300015_,УЗО ВД1 63 (2ф) 25А 30мА IEK (1/48),шт,MDV10-2-025-030
010300016_,УЗО ВД1 63 (2ф) 32А 30мА IEK (1/48),шт,MDV10-2-032-030
010300017_,УЗО ВД1 63 (2ф) 40А 30мА IEK (1/48),шт,MDV10-2-040-030
010300018_,УЗО ВД1 63 (2ф) 50А 30мА IEK (1/48),шт,MDV10-2-050-030
010300019_,УЗО ВД1-63 (4ф) 25А 30мА IEK (1/24),шт,MDV10-4-025-030
010300020_,УЗО ВД1-63 (4ф) 32А 30мА IEK (1/24),шт,MDV10-4-032-030
010300021_,УЗО ВД1-63 (4ф) 63А 30мА IEK (1/24),шт,MDV10-4-063-030
010300023_,УЗО ВД1-63 (4ф) 40А 30мА IEK (1/24),шт,MDV10-4-040-030
010300024_,УЗО ВД1-63 (4ф) 50А 30мА IEK (1/24),шт,MDV10-4-050-030
010300052_,УЗО ВД1-63 (4ф) 16А 30мА IEK (1/24),шт,MDV10-4-016-030
010300053_,УЗО АВДТ 32 25А IEK (6/60),шт,MAD22-5-025-C-30
010300057_,УЗО ВД1 63 (2ф) 63А 30мА IEK (1/48),шт,MDV10-2-063-030
010300066_,УЗО АД12М (2ф) 16А IEK (5/40)*,,MAD12-2-016-C-030
010300068_,УЗО АД12М (2ф) 25А IEK (5/40),шт,MAD12-2-025-C-030
010300069_,УЗО АД12М (2ф) 32А IEK (5/40),шт,MAD12-2-032-C-030
010300074_,УЗО АВДТ 32 10А IEK (6/60),шт,MAD22-5-010-C-30
010300075_,УЗО АВДТ 32 16А IEK (6/60),шт,MAD22-5-016-C-30
010300094_,УЗО АВДТ 32 6А IEK (6/60),шт,MAD22-5-006-C-30
010300095_,УЗО АВДТ 32 20А IEK (6/60),шт,MAD22-5-020-C-30
010300096_,УЗО АВДТ 32 40А IEK (6/60),шт,MAD22-5-040-C-30
010300103_,УЗО ВД1-63 (4ф) 40А 300мА IEK (24) !!!,шт,
010300108_,УЗО АД 14 (4ф) 50А (300мА) IEK (24) !!!,шт,
010300115_,УЗО ВД1-63 (4a) 25А 300мА IEK !!!,шт,
010300121_,УЗО АВДТ 32 32А IEK (6/60),шт,MAD22-5-032-C-30
010300122_,УЗО АД 14 (4ф) 32А (300мА) IEK (24) !!!,шт,
010300123_,УЗО АД 12 (2ф) 20А IEK (5/40),шт,MAD10-2-020-C-030
010300124_,УЗО АД 14 (4ф) 10А IEK (3/24),шт,MAD10-4-010-C-030
010300125_,УЗО АВДТ 32 63А 100mA IEK !!!,шт,
